True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.265420738,California,Los Angeles,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
0.271991953,California,San Diego,Conventional,6073,San Diego County,CA,"San Diego County, CA"
0.26890926,California,Orange,Conventional,6059,Orange County,CA,"Orange County, CA"
0.26278844,California,Riverside,Conventional,6065,Riverside County,CA,"Riverside County, CA"
0.257380782,California,San Bernardino,Conventional,6071,San Bernardino County,CA,"San Bernardino County, CA"
0.276838285,California,Santa Clara,Conventional,6085,Santa Clara County,CA,"Santa Clara County, CA"
0.270863446,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
0.273657639,California,Contra Costa,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
0.271350689,California,Fresno,Conventional,6019,Fresno County,CA,"Fresno County, CA"
0.265470351,California,Kern,Conventional,6029,Kern County,CA,"Kern County, CA"
0.27062899,California,Ventura,Conventional,6111,Ventura County,CA,"Ventura County, CA"
0.272529649,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
0.27717591,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
0.275609426,California,Stanislaus,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
0.268867005,California,Tulare,Conventional,6107,Tulare County,CA,"Tulare County, CA"
0.272036739,California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
0.272563365,California,Santa Barbara,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
0.281327561,California,Monterey,Conventional,6053,Monterey County,CA,"Monterey County, CA"
0.264262483,California,Placer,Conventional,6061,Placer County,CA,"Placer County, CA"
0.274081705,California,Merced,Conventional,6047,Merced County,CA,"Merced County, CA"
0.277931276,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
0.276550009,California,Santa Cruz,Conventional,6087,Santa Cruz County,CA,"Santa Cruz County, CA"
0.271022619,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
0.26651526,California,Butte,Conventional,6007,Butte County,CA,"Butte County, CA"
0.295403017,California,Shasta,Conventional,6089,Shasta County,CA,"Shasta County, CA"
0.259807494,California,Imperial,Conventional,6025,Imperial County,CA,"Imperial County, CA"
0.263864799,California,Nevada,Conventional,6057,Nevada County,CA,"Nevada County, CA"
0.26889712,California,Sutter,Conventional,6101,Sutter County,CA,"Sutter County, CA"
0.267933129,California,Yuba,Conventional,6115,Yuba County,CA,"Yuba County, CA"
0.272070715,California,Tehama,Conventional,6103,Tehama County,CA,"Tehama County, CA"
0.281917384,California,San Benito,Conventional,6069,San Benito County,CA,"San Benito County, CA"
0.291956678,California,Siskiyou,Conventional,6093,Siskiyou County,CA,"Siskiyou County, CA"
0.266408322,California,Lassen,Conventional,6035,Lassen County,CA,"Lassen County, CA"
0.263621913,California,Plumas,Conventional,6063,Plumas County,CA,"Plumas County, CA"
0.290789247,California,Modoc,Conventional,6049,Modoc County,CA,"Modoc County, CA"
0.262542813,California,Sierra,Conventional,6091,Sierra County,CA,"Sierra County, CA"
0.149368186,Colorado,El Paso,Conventional,8041,El Paso County,CO,"El Paso County, CO"
0.143498716,Colorado,Denver,Conventional,8031,Denver County,CO,"Denver County, CO"
0.142121145,Colorado,Arapahoe,Conventional,8005,Arapahoe County,CO,"Arapahoe County, CO"
0.141762768,Colorado,Jefferson,Conventional,8059,Jefferson County,CO,"Jefferson County, CO"
0.142392272,Colorado,Adams,Conventional,8001,Adams County,CO,"Adams County, CO"
0.142772517,Colorado,Douglas,Conventional,8035,Douglas County,CO,"Douglas County, CO"
0.141840069,Colorado,Larimer,Conventional,8069,Larimer County,CO,"Larimer County, CO"
