True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.414016038,California,Los Angeles,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
0.413730322,California,San Diego,Conventional,6073,San Diego County,CA,"San Diego County, CA"
0.414329425,California,Orange,Conventional,6059,Orange County,CA,"Orange County, CA"
0.403851239,California,Riverside,Conventional,6065,Riverside County,CA,"Riverside County, CA"
0.401894984,California,San Bernardino,Conventional,6071,San Bernardino County,CA,"San Bernardino County, CA"
0.430955655,California,Santa Clara,Conventional,6085,Santa Clara County,CA,"Santa Clara County, CA"
0.418714266,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
0.425239403,California,Contra Costa,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
0.42785525,California,Fresno,Conventional,6019,Fresno County,CA,"Fresno County, CA"
0.414988374,California,Kern,Conventional,6029,Kern County,CA,"Kern County, CA"
0.418623532,California,Ventura,Conventional,6111,Ventura County,CA,"Ventura County, CA"
0.422351354,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
0.429552172,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
0.425484579,California,Stanislaus,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
0.428785114,California,Sonoma,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
0.423865521,California,Tulare,Conventional,6107,Tulare County,CA,"Tulare County, CA"
0.421380306,California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
0.427746498,California,Santa Barbara,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
0.433736883,California,Monterey,Conventional,6053,Monterey County,CA,"Monterey County, CA"
0.416429824,California,Placer,Conventional,6061,Placer County,CA,"Placer County, CA"
0.43071048,California,Merced,Conventional,6047,Merced County,CA,"Merced County, CA"
0.427694374,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
0.431879728,California,Santa Cruz,Conventional,6087,Santa Cruz County,CA,"Santa Cruz County, CA"
0.426789606,California,Marin,Conventional,6041,Marin County,CA,"Marin County, CA"
0.41990475,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
0.419750309,California,Butte,Conventional,6007,Butte County,CA,"Butte County, CA"
0.413204579,California,El Dorado,Conventional,6017,El Dorado County,CA,"El Dorado County, CA"
0.423591388,California,Shasta,Conventional,6089,Shasta County,CA,"Shasta County, CA"
0.403849308,California,Imperial,Conventional,6025,Imperial County,CA,"Imperial County, CA"
0.4241004,California,Napa,Conventional,6055,Napa County,CA,"Napa County, CA"
0.440855331,California,Humboldt,Conventional,6023,Humboldt County,CA,"Humboldt County, CA"
0.410909198,California,Nevada,Conventional,6057,Nevada County,CA,"Nevada County, CA"
0.41766471,California,Sutter,Conventional,6101,Sutter County,CA,"Sutter County, CA"
0.430038661,California,Mendocino,Conventional,6045,Mendocino County,CA,"Mendocino County, CA"
0.41502248,California,Yuba,Conventional,6115,Yuba County,CA,"Yuba County, CA"
0.425510962,California,Lake,Conventional,6033,Lake County,CA,"Lake County, CA"
0.423891905,California,Tehama,Conventional,6103,Tehama County,CA,"Tehama County, CA"
0.434335986,California,San Benito,Conventional,6069,San Benito County,CA,"San Benito County, CA"
0.41747745,California,Calaveras,Conventional,6009,Calaveras County,CA,"Calaveras County, CA"
0.428677005,California,Siskiyou,Conventional,6093,Siskiyou County,CA,"Siskiyou County, CA"
0.414815915,California,Lassen,Conventional,6035,Lassen County,CA,"Lassen County, CA"
0.423075297,California,Glenn,Conventional,6021,Glenn County,CA,"Glenn County, CA"
0.412160814,California,Plumas,Conventional,6063,Plumas County,CA,"Plumas County, CA"
0.408035306,California,Inyo,Conventional,6027,Inyo County,CA,"Inyo County, CA"
0.41676509,California,Mariposa,Conventional,6043,Mariposa County,CA,"Mariposa County, CA"
0.430905462,California,Trinity,Conventional,6105,Trinity County,CA,"Trinity County, CA"
0.411362225,California,Modoc,Conventional,6049,Modoc County,CA,"Modoc County, CA"
0.411422071,California,Sierra,Conventional,6091,Sierra County,CA,"Sierra County, CA"
0.23803314,Colorado,El Paso,Conventional,8041,El Paso County,CO,"El Paso County, CO"
