True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.796156271,Idaho,Canyon,Conventional,16027,Canyon County,ID,"Canyon County, ID"
0.786383896,Idaho,Power,Conventional,16077,Power County,ID,"Power County, ID"
0.748961512,Idaho,Caribou,Conventional,16029,Caribou County,ID,"Caribou County, ID"
1.831056052,Minnesota,Benton,Conventional,27009,Benton County,MN,"Benton County, MN"
1.290245357,Montana,Gallatin,Conventional,30031,Gallatin County,MT,"Gallatin County, MT"
1.275500503,Montana,Wibaux,Conventional,30109,Wibaux County,MT,"Wibaux County, MT"
2.226947847,Oregon,Linn,Conventional,41043,Linn County,OR,"Linn County, OR"
2.214909463,Oregon,Umatilla,Conventional,41059,Umatilla County,OR,"Umatilla County, OR"
1.85749211,Washington,Snohomish,Conventional,53061,Snohomish County,WA,"Snohomish County, WA"
1.845967333,Washington,Spokane,Conventional,53063,Spokane County,WA,"Spokane County, WA"
1.849078358,Washington,Whitman,Conventional,53075,Whitman County,WA,"Whitman County, WA"
0.911601615,Indiana,Putnam,Organic,18133,Putnam County,IN,"Putnam County, IN"
0.916677538,Indiana,Knox,Organic,18083,Knox County,IN,"Knox County, IN"
0.547274183,Montana,Gallatin,Organic,30031,Gallatin County,MT,"Gallatin County, MT"
0.53252933,Montana,Wibaux,Organic,30109,Wibaux County,MT,"Wibaux County, MT"
