True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.889375307,Idaho,Canyon,Conventional,16027,Canyon County,ID,"Canyon County, ID"
0.899106378,Idaho,Nez Perce,Conventional,16069,Nez Perce County,ID,"Nez Perce County, ID"
0.900671533,Idaho,Latah,Conventional,16057,Latah County,ID,"Latah County, ID"
0.898843789,Idaho,Idaho,Conventional,16049,Idaho County,ID,"Idaho County, ID"
0.867486962,Idaho,Power,Conventional,16077,Power County,ID,"Power County, ID"
0.859173262,Idaho,Caribou,Conventional,16029,Caribou County,ID,"Caribou County, ID"
0.895791646,Idaho,Lewis,Conventional,16061,Lewis County,ID,"Lewis County, ID"
1.894245912,Minnesota,Benton,Conventional,27009,Benton County,MN,"Benton County, MN"
1.386367952,Montana,Gallatin,Conventional,30031,Gallatin County,MT,"Gallatin County, MT"
1.346832995,Montana,Wibaux,Conventional,30109,Wibaux County,MT,"Wibaux County, MT"
2.363729137,Oregon,Washington,Conventional,41067,Washington County,OR,"Washington County, OR"
2.359559463,Oregon,Linn,Conventional,41043,Linn County,OR,"Linn County, OR"
2.340483266,Oregon,Umatilla,Conventional,41059,Umatilla County,OR,"Umatilla County, OR"
2.343208698,Oregon,Wallowa,Conventional,41063,Wallowa County,OR,"Wallowa County, OR"
2.003340799,Washington,Snohomish,Conventional,53061,Snohomish County,WA,"Snohomish County, WA"
1.970267981,Washington,Spokane,Conventional,53063,Spokane County,WA,"Spokane County, WA"
1.97695607,Washington,Whitman,Conventional,53075,Whitman County,WA,"Whitman County, WA"
0.95328656,Indiana,Putnam,Organic,18133,Putnam County,IN,"Putnam County, IN"
0.960528528,Indiana,Knox,Organic,18083,Knox County,IN,"Knox County, IN"
0.643396779,Montana,Gallatin,Organic,30031,Gallatin County,MT,"Gallatin County, MT"
0.603861822,Montana,Wibaux,Organic,30109,Wibaux County,MT,"Wibaux County, MT"
