True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
7.728757275,Arkansas,Phillips,Conventional,5107,Phillips County,AR,"Phillips County, AR"
5.586816696,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
6.127093925,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
5.941269694,California,Stanislaus,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
5.793351647,California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
5.684273353,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
5.780902449,California,Butte,Conventional,6007,Butte County,CA,"Butte County, CA"
5.798095095,California,Colusa,Conventional,6011,Colusa County,CA,"Colusa County, CA"
7.471312025,Mississippi,Washington,Conventional,28151,Washington County,MS,"Washington County, MS"
7.08585123,Missouri,Scott,Conventional,29201,Scott County,MO,"Scott County, MO"
5.204878942,Texas,Brazoria,Conventional,48039,Brazoria County,TX,"Brazoria County, TX"
6.148390021,Texas,Galveston,Conventional,48167,Galveston County,TX,"Galveston County, TX"
9.616924641,Texas,Jefferson,Conventional,48245,Jefferson County,TX,"Jefferson County, TX"
6.098634094,Texas,Calhoun,Conventional,48057,Calhoun County,TX,"Calhoun County, TX"
6.881227502,California,Sacramento,Organic,6067,Sacramento County,CA,"Sacramento County, CA"
6.881059245,California,San Joaquin,Organic,6077,San Joaquin County,CA,"San Joaquin County, CA"
6.885097404,California,Stanislaus,Organic,6099,Stanislaus County,CA,"Stanislaus County, CA"
6.879769278,California,Solano,Organic,6095,Solano County,CA,"Solano County, CA"
6.882853983,California,Yolo,Organic,6113,Yolo County,CA,"Yolo County, CA"
6.887845595,California,Butte,Organic,6007,Butte County,CA,"Butte County, CA"
6.885490003,California,Colusa,Organic,6011,Colusa County,CA,"Colusa County, CA"
4.960350812,Texas,Brazoria,Organic,48039,Brazoria County,TX,"Brazoria County, TX"
4.95810739,Texas,Galveston,Organic,48167,Galveston County,TX,"Galveston County, TX"
4.959453443,Texas,Jefferson,Organic,48245,Jefferson County,TX,"Jefferson County, TX"
4.963435516,Texas,Calhoun,Organic,48057,Calhoun County,TX,"Calhoun County, TX"
