True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
7.297875547,Arkansas,Pulaski,Conventional,5119,Pulaski County,AR,"Pulaski County, AR"
7.637454004,Arkansas,Faulkner,Conventional,5045,Faulkner County,AR,"Faulkner County, AR"
7.434250607,Arkansas,Craighead,Conventional,5031,Craighead County,AR,"Craighead County, AR"
7.622626154,Arkansas,White,Conventional,5145,White County,AR,"White County, AR"
6.98876773,Arkansas,Lonoke,Conventional,5085,Lonoke County,AR,"Lonoke County, AR"
7.891974006,Arkansas,Jefferson,Conventional,5069,Jefferson County,AR,"Jefferson County, AR"
7.298359915,Arkansas,Pope,Conventional,5115,Pope County,AR,"Pope County, AR"
7.154517758,Arkansas,Crittenden,Conventional,5035,Crittenden County,AR,"Crittenden County, AR"
7.275104429,Arkansas,Greene,Conventional,5055,Greene County,AR,"Greene County, AR"
7.302833565,Arkansas,Miller,Conventional,5091,Miller County,AR,"Miller County, AR"
7.239352693,Arkansas,Mississippi,Conventional,5093,Mississippi County,AR,"Mississippi County, AR"
7.29331685,Arkansas,Independence,Conventional,5063,Independence County,AR,"Independence County, AR"
7.312244683,Arkansas,Poinsett,Conventional,5111,Poinsett County,AR,"Poinsett County, AR"
6.998779944,Arkansas,Clark,Conventional,5019,Clark County,AR,"Clark County, AR"
7.264104857,Arkansas,Conway,Conventional,5029,Conway County,AR,"Conway County, AR"
7.172861524,Arkansas,Ashley,Conventional,5003,Ashley County,AR,"Ashley County, AR"
7.691939136,Arkansas,Randolph,Conventional,5121,Randolph County,AR,"Randolph County, AR"
7.362851347,Arkansas,Drew,Conventional,5043,Drew County,AR,"Drew County, AR"
7.341817449,Arkansas,Franklin,Conventional,5047,Franklin County,AR,"Franklin County, AR"
7.065770076,Arkansas,Arkansas,Conventional,5001,Arkansas County,AR,"Arkansas County, AR"
7.619375488,Arkansas,Cross,Conventional,5037,Cross County,AR,"Cross County, AR"
7.780010492,Arkansas,Jackson,Conventional,5067,Jackson County,AR,"Jackson County, AR"
7.694079058,Arkansas,Phillips,Conventional,5107,Phillips County,AR,"Phillips County, AR"
7.512353555,Arkansas,Lawrence,Conventional,5075,Lawrence County,AR,"Lawrence County, AR"
7.094058593,Arkansas,Clay,Conventional,5021,Clay County,AR,"Clay County, AR"
7.369302805,Arkansas,Lincoln,Conventional,5079,Lincoln County,AR,"Lincoln County, AR"
8.288895083,Arkansas,Desha,Conventional,5041,Desha County,AR,"Desha County, AR"
7.187398739,Arkansas,Chicot,Conventional,5017,Chicot County,AR,"Chicot County, AR"
7.302076547,Arkansas,Lee,Conventional,5077,Lee County,AR,"Lee County, AR"
7.121654497,Arkansas,Prairie,Conventional,5117,Prairie County,AR,"Prairie County, AR"
8.141535656,Arkansas,Monroe,Conventional,5095,Monroe County,AR,"Monroe County, AR"
7.561371232,Arkansas,Lafayette,Conventional,5073,Lafayette County,AR,"Lafayette County, AR"
7.679097149,Arkansas,Woodruff,Conventional,5147,Woodruff County,AR,"Woodruff County, AR"
5.430114509,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
5.994745581,California,Fresno,Conventional,6019,Fresno County,CA,"Fresno County, CA"
5.972320869,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
5.785713242,California,Stanislaus,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
5.639347641,California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
5.707390993,California,Placer,Conventional,6061,Placer County,CA,"Placer County, CA"
5.597535409,California,Merced,Conventional,6047,Merced County,CA,"Merced County, CA"
5.526112902,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
5.612986928,California,Butte,Conventional,6007,Butte County,CA,"Butte County, CA"
5.663623367,California,Shasta,Conventional,6089,Shasta County,CA,"Shasta County, CA"
5.934150826,California,Sutter,Conventional,6101,Sutter County,CA,"Sutter County, CA"
6.590459856,California,Yuba,Conventional,6115,Yuba County,CA,"Yuba County, CA"
5.971778631,California,Tehama,Conventional,6103,Tehama County,CA,"Tehama County, CA"
5.659981212,California,Siskiyou,Conventional,6093,Siskiyou County,CA,"Siskiyou County, CA"
5.658747451,California,Modoc,Conventional,6049,Modoc County,CA,"Modoc County, CA"
7.169508722,Mississippi,DeSoto,Conventional,28033,DeSoto County,MS,"DeSoto County, MS"
7.183585297,Mississippi,Oktibbeha,Conventional,28105,Oktibbeha County,MS,"Oktibbeha County, MS"
6.946370354,Mississippi,Panola,Conventional,28107,Panola County,MS,"Panola County, MS"
7.258050707,Mississippi,Tate,Conventional,28137,Tate County,MS,"Tate County, MS"
7.481083463,Mississippi,Leflore,Conventional,28083,Leflore County,MS,"Leflore County, MS"
7.028026813,Mississippi,Yazoo,Conventional,28163,Yazoo County,MS,"Yazoo County, MS"
7.184088626,Mississippi,Jasper,Conventional,28061,Jasper County,MS,"Jasper County, MS"
7.012974346,Mississippi,Tallahatchie,Conventional,28135,Tallahatchie County,MS,"Tallahatchie County, MS"
6.916133921,Mississippi,Tunica,Conventional,28143,Tunica County,MS,"Tunica County, MS"
6.932615522,Mississippi,Quitman,Conventional,28119,Quitman County,MS,"Quitman County, MS"
6.84420542,Missouri,Butler,Conventional,29023,Butler County,MO,"Butler County, MO"
7.053670478,Missouri,Scott,Conventional,29201,Scott County,MO,"Scott County, MO"
6.981198796,Missouri,Stoddard,Conventional,29207,Stoddard County,MO,"Stoddard County, MO"
7.016841083,Missouri,Marion,Conventional,29127,Marion County,MO,"Marion County, MO"
6.86098048,Missouri,Dunklin,Conventional,29069,Dunklin County,MO,"Dunklin County, MO"
6.952385545,Missouri,New Madrid,Conventional,29143,New Madrid County,MO,"New Madrid County, MO"
6.842371599,Missouri,Pemiscot,Conventional,29155,Pemiscot County,MO,"Pemiscot County, MO"
6.989543218,Missouri,Knox,Conventional,29103,Knox County,MO,"Knox County, MO"
6.171904345,Texas,Fort Bend,Conventional,48157,Fort Bend County,TX,"Fort Bend County, TX"
5.194493232,Texas,Brazoria,Conventional,48039,Brazoria County,TX,"Brazoria County, TX"
6.139723279,Texas,Galveston,Conventional,48167,Galveston County,TX,"Galveston County, TX"
9.604495217,Texas,Jefferson,Conventional,48245,Jefferson County,TX,"Jefferson County, TX"
6.601384068,Texas,Liberty,Conventional,48291,Liberty County,TX,"Liberty County, TX"
6.270492008,Texas,Bowie,Conventional,48037,Bowie County,TX,"Bowie County, TX"
5.890953816,Texas,Victoria,Conventional,48469,Victoria County,TX,"Victoria County, TX"
6.182761173,Texas,Waller,Conventional,48473,Waller County,TX,"Waller County, TX"
6.539212375,Texas,Hardin,Conventional,48199,Hardin County,TX,"Hardin County, TX"
10.6494505,Texas,Chambers,Conventional,48071,Chambers County,TX,"Chambers County, TX"
6.411840329,Texas,Caldwell,Conventional,48055,Caldwell County,TX,"Caldwell County, TX"
5.965337937,Texas,Wharton,Conventional,48481,Wharton County,TX,"Wharton County, TX"
5.060599925,Texas,Matagorda,Conventional,48321,Matagorda County,TX,"Matagorda County, TX"
6.128456069,Texas,Austin,Conventional,48015,Austin County,TX,"Austin County, TX"
5.511846734,Texas,Colorado,Conventional,48089,Colorado County,TX,"Colorado County, TX"
6.15874512,Texas,Lavaca,Conventional,48285,Lavaca County,TX,"Lavaca County, TX"
6.101521103,Texas,Calhoun,Conventional,48057,Calhoun County,TX,"Calhoun County, TX"
6.412890887,Texas,DeWitt,Conventional,48123,DeWitt County,TX,"DeWitt County, TX"
6.406578207,Texas,Robertson,Conventional,48395,Robertson County,TX,"Robertson County, TX"
4.446097424,Texas,Jackson,Conventional,48239,Jackson County,TX,"Jackson County, TX"
6.724525315,California,Sacramento,Organic,6067,Sacramento County,CA,"Sacramento County, CA"
6.725040242,California,Fresno,Organic,6019,Fresno County,CA,"Fresno County, CA"
6.726286189,California,San Joaquin,Organic,6077,San Joaquin County,CA,"San Joaquin County, CA"
6.729540953,California,Stanislaus,Organic,6099,Stanislaus County,CA,"Stanislaus County, CA"
6.725765273,California,Solano,Organic,6095,Solano County,CA,"Solano County, CA"
6.717549298,California,Placer,Organic,6061,Placer County,CA,"Placer County, CA"
6.72792643,California,Merced,Organic,6047,Merced County,CA,"Merced County, CA"
6.724693532,California,Yolo,Organic,6113,Yolo County,CA,"Yolo County, CA"
6.719930074,California,Butte,Organic,6007,Butte County,CA,"Butte County, CA"
6.750459181,California,Shasta,Organic,6089,Shasta County,CA,"Shasta County, CA"
6.722447266,California,Sutter,Organic,6101,Sutter County,CA,"Sutter County, CA"
6.721428503,California,Yuba,Organic,6115,Yuba County,CA,"Yuba County, CA"
6.725801179,California,Tehama,Organic,6103,Tehama County,CA,"Tehama County, CA"
6.746817026,California,Siskiyou,Organic,6093,Siskiyou County,CA,"Siskiyou County, CA"
6.745583264,California,Modoc,Organic,6049,Modoc County,CA,"Modoc County, CA"
4.962921001,Texas,Fort Bend,Organic,48157,Fort Bend County,TX,"Fort Bend County, TX"
4.949965102,Texas,Brazoria,Organic,48039,Brazoria County,TX,"Brazoria County, TX"
4.949440648,Texas,Galveston,Organic,48167,Galveston County,TX,"Galveston County, TX"
4.947024018,Texas,Jefferson,Organic,48245,Jefferson County,TX,"Jefferson County, TX"
