True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
7.373585481,Arkansas,Pulaski,Conventional,5119,Pulaski County,AR,"Pulaski County, AR"
7.712399697,Arkansas,Faulkner,Conventional,5045,Faulkner County,AR,"Faulkner County, AR"
7.501426616,Arkansas,Craighead,Conventional,5031,Craighead County,AR,"Craighead County, AR"
7.695458844,Arkansas,White,Conventional,5145,White County,AR,"White County, AR"
7.063158811,Arkansas,Lonoke,Conventional,5085,Lonoke County,AR,"Lonoke County, AR"
7.967193687,Arkansas,Jefferson,Conventional,5069,Jefferson County,AR,"Jefferson County, AR"
7.378622981,Arkansas,Pope,Conventional,5115,Pope County,AR,"Pope County, AR"
7.219795236,Arkansas,Crittenden,Conventional,5035,Crittenden County,AR,"Crittenden County, AR"
7.341796125,Arkansas,Greene,Conventional,5055,Greene County,AR,"Greene County, AR"
7.387521139,Arkansas,Miller,Conventional,5091,Miller County,AR,"Miller County, AR"
7.303465191,Arkansas,Mississippi,Conventional,5093,Mississippi County,AR,"Mississippi County, AR"
7.365819982,Arkansas,Independence,Conventional,5063,Independence County,AR,"Independence County, AR"
7.380029301,Arkansas,Poinsett,Conventional,5111,Poinsett County,AR,"Poinsett County, AR"
7.079103471,Arkansas,Clark,Conventional,5019,Clark County,AR,"Clark County, AR"
7.385497389,Arkansas,Logan,Conventional,5083,Logan County,AR,"Logan County, AR"
7.342925673,Arkansas,Conway,Conventional,5029,Conway County,AR,"Conway County, AR"
7.476388357,Arkansas,Yell,Conventional,5149,Yell County,AR,"Yell County, AR"
7.250299278,Arkansas,Ashley,Conventional,5003,Ashley County,AR,"Ashley County, AR"
7.757940932,Arkansas,Randolph,Conventional,5121,Randolph County,AR,"Randolph County, AR"
7.439295596,Arkansas,Drew,Conventional,5043,Drew County,AR,"Drew County, AR"
7.408365818,Arkansas,Franklin,Conventional,5047,Franklin County,AR,"Franklin County, AR"
7.139922741,Arkansas,Arkansas,Conventional,5001,Arkansas County,AR,"Arkansas County, AR"
7.68833602,Arkansas,Cross,Conventional,5037,Cross County,AR,"Cross County, AR"
7.850553166,Arkansas,Jackson,Conventional,5067,Jackson County,AR,"Jackson County, AR"
7.765654925,Arkansas,Phillips,Conventional,5107,Phillips County,AR,"Phillips County, AR"
7.580938554,Arkansas,Lawrence,Conventional,5075,Lawrence County,AR,"Lawrence County, AR"
