True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
4.925369359,Minnesota,Hennepin,Conventional,27053,Hennepin County,MN,"Hennepin County, MN"
4.924584162,Minnesota,Ramsey,Conventional,27123,Ramsey County,MN,"Ramsey County, MN"
4.918246496,Minnesota,Winona,Conventional,27169,Winona County,MN,"Winona County, MN"
6.025068777,Oklahoma,Washita,Conventional,40149,Washita County,OK,"Washita County, OK"
6.692872984,Pennsylvania,Allegheny,Conventional,42003,Allegheny County,PA,"Allegheny County, PA"
6.701686968,Pennsylvania,Erie,Conventional,42049,Erie County,PA,"Erie County, PA"
6.691246503,Pennsylvania,Schuylkill,Conventional,42107,Schuylkill County,PA,"Schuylkill County, PA"
5.58704858,Wisconsin,Brown,Conventional,55009,Brown County,WI,"Brown County, WI"
5.59119891,Wisconsin,Racine,Conventional,55101,Racine County,WI,"Racine County, WI"
5.591759765,Wisconsin,Kenosha,Conventional,55059,Kenosha County,WI,"Kenosha County, WI"
5.721130157,Wisconsin,La Crosse,Conventional,55063,La Crosse County,WI,"La Crosse County, WI"
5.587833778,Wisconsin,Sheboygan,Conventional,55117,Sheboygan County,WI,"Sheboygan County, WI"
5.589235916,Wisconsin,Ozaukee,Conventional,55089,Ozaukee County,WI,"Ozaukee County, WI"
5.586655981,Wisconsin,Manitowoc,Conventional,55071,Manitowoc County,WI,"Manitowoc County, WI"
5.599219141,Wisconsin,Douglas,Conventional,55031,Douglas County,WI,"Douglas County, WI"
5.584636902,Wisconsin,Door,Conventional,55029,Door County,WI,"Door County, WI"
5.584973415,Wisconsin,Kewaunee,Conventional,55061,Kewaunee County,WI,"Kewaunee County, WI"
5.596022266,Wisconsin,Bayfield,Conventional,55007,Bayfield County,WI,"Bayfield County, WI"
5.717596768,Wisconsin,Crawford,Conventional,55023,Crawford County,WI,"Crawford County, WI"
5.596751378,Wisconsin,Ashland,Conventional,55003,Ashland County,WI,"Ashland County, WI"
1.622097078,California,San Joaquin,Organic,6077,San Joaquin County,CA,"San Joaquin County, CA"
1.61817109,California,Marin,Organic,6041,Marin County,CA,"Marin County, CA"
