True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
4.796271853,Minnesota,Hennepin,Conventional,27053,Hennepin County,MN,"Hennepin County, MN"
4.795309042,Minnesota,Ramsey,Conventional,27123,Ramsey County,MN,"Ramsey County, MN"
4.796136985,Minnesota,Dakota,Conventional,27037,Dakota County,MN,"Dakota County, MN"
4.796418668,Minnesota,Anoka,Conventional,27003,Anoka County,MN,"Anoka County, MN"
4.795593059,Minnesota,Washington,Conventional,27163,Washington County,MN,"Washington County, MN"
4.793363714,Minnesota,Olmsted,Conventional,27109,Olmsted County,MN,"Olmsted County, MN"
4.799579406,Minnesota,Stearns,Conventional,27145,Stearns County,MN,"Stearns County, MN"
4.796980087,Minnesota,Scott,Conventional,27139,Scott County,MN,"Scott County, MN"
4.797706546,Minnesota,Wright,Conventional,27171,Wright County,MN,"Wright County, MN"
4.79770209,Minnesota,Sherburne,Conventional,27141,Sherburne County,MN,"Sherburne County, MN"
4.797655854,Minnesota,Blue Earth,Conventional,27013,Blue Earth County,MN,"Blue Earth County, MN"
4.796149413,Minnesota,Rice,Conventional,27131,Rice County,MN,"Rice County, MN"
4.818175562,Minnesota,Crow Wing,Conventional,27035,Crow Wing County,MN,"Crow Wing County, MN"
4.828428169,Minnesota,Clay,Conventional,27027,Clay County,MN,"Clay County, MN"
4.804320895,Minnesota,Otter Tail,Conventional,27111,Otter Tail County,MN,"Otter Tail County, MN"
4.791529185,Minnesota,Winona,Conventional,27169,Winona County,MN,"Winona County, MN"
4.795039118,Minnesota,Goodhue,Conventional,27049,Goodhue County,MN,"Goodhue County, MN"
4.82636463,Minnesota,Beltrami,Conventional,27007,Beltrami County,MN,"Beltrami County, MN"
4.800149031,Minnesota,Kandiyohi,Conventional,27067,Kandiyohi County,MN,"Kandiyohi County, MN"
4.799300926,Minnesota,Benton,Conventional,27009,Benton County,MN,"Benton County, MN"
4.797488252,Minnesota,Isanti,Conventional,27059,Isanti County,MN,"Isanti County, MN"
4.792927746,Minnesota,Mower,Conventional,27099,Mower County,MN,"Mower County, MN"
4.802240837,Minnesota,Douglas,Conventional,27041,Douglas County,MN,"Douglas County, MN"
4.795161574,Minnesota,Steele,Conventional,27147,Steele County,MN,"Steele County, MN"
4.814610876,Minnesota,Carlton,Conventional,27017,Carlton County,MN,"Carlton County, MN"
4.826909554,Minnesota,Becker,Conventional,27005,Becker County,MN,"Becker County, MN"
4.800421631,Minnesota,Morrison,Conventional,27097,Morrison County,MN,"Morrison County, MN"
4.824897723,Minnesota,Polk,Conventional,27119,Polk County,MN,"Polk County, MN"
4.793638153,Minnesota,Freeborn,Conventional,27047,Freeborn County,MN,"Freeborn County, MN"
4.817634994,Minnesota,Cass,Conventional,27021,Cass County,MN,"Cass County, MN"
4.815406745,Minnesota,Pine,Conventional,27115,Pine County,MN,"Pine County, MN"
4.797833223,Minnesota,Le Sueur,Conventional,27079,Le Sueur County,MN,"Le Sueur County, MN"
4.799563887,Minnesota,Brown,Conventional,27015,Brown County,MN,"Brown County, MN"
