True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
4.863314862,Minnesota,Hennepin,Conventional,27053,Hennepin County,MN,"Hennepin County, MN"
4.861469159,Minnesota,Ramsey,Conventional,27123,Ramsey County,MN,"Ramsey County, MN"
4.861590891,Minnesota,Dakota,Conventional,27037,Dakota County,MN,"Dakota County, MN"
4.863673937,Minnesota,Anoka,Conventional,27003,Anoka County,MN,"Anoka County, MN"
4.860179751,Minnesota,Washington,Conventional,27163,Washington County,MN,"Washington County, MN"
4.854884066,Minnesota,Olmsted,Conventional,27109,Olmsted County,MN,"Olmsted County, MN"
4.871712334,Minnesota,Stearns,Conventional,27145,Stearns County,MN,"Stearns County, MN"
4.864985107,Minnesota,Scott,Conventional,27139,Scott County,MN,"Scott County, MN"
4.866366324,Minnesota,Wright,Conventional,27171,Wright County,MN,"Wright County, MN"
4.867065434,Minnesota,Sherburne,Conventional,27141,Sherburne County,MN,"Sherburne County, MN"
4.865628451,Minnesota,Blue Earth,Conventional,27013,Blue Earth County,MN,"Blue Earth County, MN"
4.8620887,Minnesota,Rice,Conventional,27131,Rice County,MN,"Rice County, MN"
4.876077007,Minnesota,Crow Wing,Conventional,27035,Crow Wing County,MN,"Crow Wing County, MN"
4.886506521,Minnesota,Clay,Conventional,27027,Clay County,MN,"Clay County, MN"
4.882309825,Minnesota,Otter Tail,Conventional,27111,Otter Tail County,MN,"Otter Tail County, MN"
4.863541324,Minnesota,Chisago,Conventional,27025,Chisago County,MN,"Chisago County, MN"
4.851570777,Minnesota,Winona,Conventional,27169,Winona County,MN,"Winona County, MN"
4.858870621,Minnesota,Goodhue,Conventional,27049,Goodhue County,MN,"Goodhue County, MN"
4.878921049,Minnesota,Beltrami,Conventional,27007,Beltrami County,MN,"Beltrami County, MN"
4.87206665,Minnesota,Kandiyohi,Conventional,27067,Kandiyohi County,MN,"Kandiyohi County, MN"
4.869671452,Minnesota,Benton,Conventional,27009,Benton County,MN,"Benton County, MN"
4.866126941,Minnesota,Isanti,Conventional,27059,Isanti County,MN,"Isanti County, MN"
4.857387394,Minnesota,Mower,Conventional,27099,Mower County,MN,"Mower County, MN"
4.877122951,Minnesota,Douglas,Conventional,27041,Douglas County,MN,"Douglas County, MN"
4.859853998,Minnesota,Steele,Conventional,27147,Steele County,MN,"Steele County, MN"
4.868197066,Minnesota,McLeod,Conventional,27085,McLeod County,MN,"McLeod County, MN"
4.862562027,Minnesota,Carlton,Conventional,27017,Carlton County,MN,"Carlton County, MN"
4.884197012,Minnesota,Becker,Conventional,27005,Becker County,MN,"Becker County, MN"
4.866484656,Minnesota,Nicollet,Conventional,27103,Nicollet County,MN,"Nicollet County, MN"
4.873144556,Minnesota,Morrison,Conventional,27097,Morrison County,MN,"Morrison County, MN"
4.894122597,Minnesota,Polk,Conventional,27119,Polk County,MN,"Polk County, MN"
4.860969309,Minnesota,Freeborn,Conventional,27047,Freeborn County,MN,"Freeborn County, MN"
4.872517534,Minnesota,Cass,Conventional,27021,Cass County,MN,"Cass County, MN"
4.867220489,Minnesota,Pine,Conventional,27115,Pine County,MN,"Pine County, MN"
4.864421331,Minnesota,Le Sueur,Conventional,27079,Le Sueur County,MN,"Le Sueur County, MN"
4.870214146,Minnesota,Mille Lacs,Conventional,27095,Mille Lacs County,MN,"Mille Lacs County, MN"
4.869216487,Minnesota,Brown,Conventional,27015,Brown County,MN,"Brown County, MN"
4.8751936,Minnesota,Lyon,Conventional,27083,Lyon County,MN,"Lyon County, MN"
4.876237503,Minnesota,Todd,Conventional,27153,Todd County,MN,"Todd County, MN"
4.869121958,Minnesota,Meeker,Conventional,27093,Meeker County,MN,"Meeker County, MN"
4.874569978,Minnesota,Nobles,Conventional,27105,Nobles County,MN,"Nobles County, MN"
4.882987853,Minnesota,Hubbard,Conventional,27057,Hubbard County,MN,"Hubbard County, MN"
4.855119369,Minnesota,Wabasha,Conventional,27157,Wabasha County,MN,"Wabasha County, MN"
4.854870464,Minnesota,Fillmore,Conventional,27045,Fillmore County,MN,"Fillmore County, MN"
4.857539049,Minnesota,Dodge,Conventional,27039,Dodge County,MN,"Dodge County, MN"
4.86753332,Minnesota,Martin,Conventional,27091,Martin County,MN,"Martin County, MN"
4.862011852,Minnesota,Waseca,Conventional,27161,Waseca County,MN,"Waseca County, MN"
4.850041305,Minnesota,Houston,Conventional,27055,Houston County,MN,"Houston County, MN"
4.869038309,Minnesota,Kanabec,Conventional,27065,Kanabec County,MN,"Kanabec County, MN"
4.866126941,Minnesota,Aitkin,Conventional,27001,Aitkin County,MN,"Aitkin County, MN"
4.87197076,Minnesota,Redwood,Conventional,27127,Redwood County,MN,"Redwood County, MN"
4.88941517,Minnesota,Roseau,Conventional,27135,Roseau County,MN,"Roseau County, MN"
4.868067853,Minnesota,Sibley,Conventional,27143,Sibley County,MN,"Sibley County, MN"
4.872043527,Minnesota,Renville,Conventional,27129,Renville County,MN,"Renville County, MN"
4.879550792,Minnesota,Wadena,Conventional,27159,Wadena County,MN,"Wadena County, MN"
4.893334399,Minnesota,Pennington,Conventional,27113,Pennington County,MN,"Pennington County, MN"
4.864259475,Minnesota,Faribault,Conventional,27043,Faribault County,MN,"Faribault County, MN"
4.876882207,Minnesota,Koochiching,Conventional,27071,Koochiching County,MN,"Koochiching County, MN"
4.871679011,Minnesota,Cottonwood,Conventional,27033,Cottonwood County,MN,"Cottonwood County, MN"
4.876668666,Minnesota,Pope,Conventional,27121,Pope County,MN,"Pope County, MN"
4.868618708,Minnesota,Watonwan,Conventional,27165,Watonwan County,MN,"Watonwan County, MN"
4.871354619,Minnesota,Jackson,Conventional,27063,Jackson County,MN,"Jackson County, MN"
4.878102248,Minnesota,Swift,Conventional,27151,Swift County,MN,"Swift County, MN"
4.879545351,Minnesota,Stevens,Conventional,27149,Stevens County,MN,"Stevens County, MN"
4.877168515,Minnesota,Rock,Conventional,27133,Rock County,MN,"Rock County, MN"
4.87741334,Minnesota,Yellow Medicine,Conventional,27173,Yellow Medicine County,MN,"Yellow Medicine County, MN"
4.879245441,Minnesota,Pipestone,Conventional,27117,Pipestone County,MN,"Pipestone County, MN"
4.89616756,Minnesota,Marshall,Conventional,27089,Marshall County,MN,"Marshall County, MN"
4.87872859,Minnesota,Clearwater,Conventional,27029,Clearwater County,MN,"Clearwater County, MN"
4.876676827,Minnesota,Murray,Conventional,27101,Murray County,MN,"Murray County, MN"
4.879064543,Minnesota,Lac qui Parle,Conventional,27073,Lac qui Parle County,MN,"Lac qui Parle County, MN"
4.890216289,Minnesota,Norman,Conventional,27107,Norman County,MN,"Norman County, MN"
4.88376789,Minnesota,Wilkin,Conventional,27167,Wilkin County,MN,"Wilkin County, MN"
4.880069683,Minnesota,Grant,Conventional,27051,Grant County,MN,"Grant County, MN"
4.878855763,Minnesota,Lincoln,Conventional,27081,Lincoln County,MN,"Lincoln County, MN"
4.888362426,Minnesota,Mahnomen,Conventional,27087,Mahnomen County,MN,"Mahnomen County, MN"
4.882929367,Minnesota,Big Stone,Conventional,27011,Big Stone County,MN,"Big Stone County, MN"
4.905103646,Minnesota,Kittson,Conventional,27069,Kittson County,MN,"Kittson County, MN"
4.892209567,Minnesota,Red Lake,Conventional,27125,Red Lake County,MN,"Red Lake County, MN"
4.884008634,Minnesota,Lake of the Woods,Conventional,27077,Lake of the Woods County,MN,"Lake of the Woods County, MN"
4.882166331,Minnesota,Traverse,Conventional,27155,Traverse County,MN,"Traverse County, MN"
3.640048708,North Dakota,Cass,Conventional,38017,Cass County,ND,"Cass County, ND"
3.657701899,North Dakota,Burleigh,Conventional,38015,Burleigh County,ND,"Burleigh County, ND"
3.647877644,North Dakota,Grand Forks,Conventional,38035,Grand Forks County,ND,"Grand Forks County, ND"
3.667852585,North Dakota,Ward,Conventional,38101,Ward County,ND,"Ward County, ND"
3.677721044,North Dakota,Williams,Conventional,38105,Williams County,ND,"Williams County, ND"
3.662026448,North Dakota,Morton,Conventional,38059,Morton County,ND,"Morton County, ND"
3.668978777,North Dakota,Stark,Conventional,38089,Stark County,ND,"Stark County, ND"
3.649256141,North Dakota,Stutsman,Conventional,38093,Stutsman County,ND,"Stutsman County, ND"
3.635726199,North Dakota,Richland,Conventional,38077,Richland County,ND,"Richland County, ND"
3.678394311,North Dakota,McKenzie,Conventional,38053,McKenzie County,ND,"McKenzie County, ND"
3.664515494,North Dakota,Rolette,Conventional,38079,Rolette County,ND,"Rolette County, ND"
3.644294369,North Dakota,Barnes,Conventional,38003,Barnes County,ND,"Barnes County, ND"
3.651828836,North Dakota,Walsh,Conventional,38099,Walsh County,ND,"Walsh County, ND"
3.66588243,North Dakota,McLean,Conventional,38055,McLean County,ND,"McLean County, ND"
3.673012257,North Dakota,Mountrail,Conventional,38061,Mountrail County,ND,"Mountrail County, ND"
3.667177278,North Dakota,Mercer,Conventional,38057,Mercer County,ND,"Mercer County, ND"
3.642753336,North Dakota,Traill,Conventional,38097,Traill County,ND,"Traill County, ND"
3.668552375,North Dakota,Bottineau,Conventional,38009,Bottineau County,ND,"Bottineau County, ND"
3.658197668,North Dakota,Benson,Conventional,38005,Benson County,ND,"Benson County, ND"
3.640935516,North Dakota,Ransom,Conventional,38073,Ransom County,ND,"Ransom County, ND"
3.664645387,North Dakota,McHenry,Conventional,38049,McHenry County,ND,"McHenry County, ND"
3.643931213,North Dakota,Dickey,Conventional,38021,Dickey County,ND,"Dickey County, ND"
3.64611763,North Dakota,LaMoure,Conventional,38045,LaMoure County,ND,"LaMoure County, ND"
3.662308676,North Dakota,Pierce,Conventional,38069,Pierce County,ND,"Pierce County, ND"
3.656188069,North Dakota,Wells,Conventional,38103,Wells County,ND,"Wells County, ND"
3.666132015,North Dakota,Sioux,Conventional,38085,Sioux County,ND,"Sioux County, ND"
3.63875726,North Dakota,Sargent,Conventional,38081,Sargent County,ND,"Sargent County, ND"
3.651199094,North Dakota,Foster,Conventional,38031,Foster County,ND,"Foster County, ND"
3.655026513,North Dakota,Emmons,Conventional,38029,Emmons County,ND,"Emmons County, ND"
3.651859439,North Dakota,Nelson,Conventional,38063,Nelson County,ND,"Nelson County, ND"
3.67898733,North Dakota,Bowman,Conventional,38011,Bowman County,ND,"Bowman County, ND"
3.650181713,North Dakota,McIntosh,Conventional,38051,McIntosh County,ND,"McIntosh County, ND"
3.670458604,North Dakota,Hettinger,Conventional,38041,Hettinger County,ND,"Hettinger County, ND"
3.653716023,North Dakota,Kidder,Conventional,38043,Kidder County,ND,"Kidder County, ND"
3.653167209,North Dakota,Eddy,Conventional,38027,Eddy County,ND,"Eddy County, ND"
3.665957237,North Dakota,Grant,Conventional,38037,Grant County,ND,"Grant County, ND"
3.64803202,North Dakota,Griggs,Conventional,38039,Griggs County,ND,"Griggs County, ND"
3.67152767,North Dakota,Renville,Conventional,38075,Renville County,ND,"Renville County, ND"
3.681234952,North Dakota,Divide,Conventional,38023,Divide County,ND,"Divide County, ND"
3.673394455,North Dakota,Adams,Conventional,38001,Adams County,ND,"Adams County, ND"
3.675401334,North Dakota,Burke,Conventional,38013,Burke County,ND,"Burke County, ND"
3.660934259,North Dakota,Towner,Conventional,38095,Towner County,ND,"Towner County, ND"
3.651938327,North Dakota,Logan,Conventional,38047,Logan County,ND,"Logan County, ND"
3.64550965,North Dakota,Steele,Conventional,38091,Steele County,ND,"Steele County, ND"
3.659788346,North Dakota,Sheridan,Conventional,38083,Sheridan County,ND,"Sheridan County, ND"
3.672823878,North Dakota,Billings,Conventional,38007,Billings County,ND,"Billings County, ND"
3.675971911,North Dakota,Slope,Conventional,38087,Slope County,ND,"Slope County, ND"
5.839350151,Oklahoma,Oklahoma,Conventional,40109,Oklahoma County,OK,"Oklahoma County, OK"
5.84337411,Oklahoma,Canadian,Conventional,40017,Canadian County,OK,"Canadian County, OK"
5.849873514,Oklahoma,Comanche,Conventional,40031,Comanche County,OK,"Comanche County, OK"
5.825848772,Oklahoma,Rogers,Conventional,40131,Rogers County,OK,"Rogers County, OK"
5.82985777,Oklahoma,Wagoner,Conventional,40145,Wagoner County,OK,"Wagoner County, OK"
5.835462205,Oklahoma,Payne,Conventional,40119,Payne County,OK,"Payne County, OK"
5.840807535,Oklahoma,Pottawatomie,Conventional,40125,Pottawatomie County,OK,"Pottawatomie County, OK"
5.830428346,Oklahoma,Muskogee,Conventional,40101,Muskogee County,OK,"Muskogee County, OK"
5.840902745,Oklahoma,Garfield,Conventional,40047,Garfield County,OK,"Garfield County, OK"
5.844968188,Oklahoma,Grady,Conventional,40051,Grady County,OK,"Grady County, OK"
5.839019638,Oklahoma,Logan,Conventional,40083,Logan County,OK,"Logan County, OK"
5.831300193,Oklahoma,Osage,Conventional,40113,Osage County,OK,"Osage County, OK"
5.836073586,Oklahoma,Pittsburg,Conventional,40121,Pittsburg County,OK,"Pittsburg County, OK"
5.83026717,Oklahoma,Sequoyah,Conventional,40135,Sequoyah County,OK,"Sequoyah County, OK"
5.825502618,Oklahoma,Mayes,Conventional,40097,Mayes County,OK,"Mayes County, OK"
5.842115305,Oklahoma,Pontotoc,Conventional,40123,Pontotoc County,OK,"Pontotoc County, OK"
5.835567616,Oklahoma,Lincoln,Conventional,40081,Lincoln County,OK,"Lincoln County, OK"
5.850501897,Oklahoma,Custer,Conventional,40039,Custer County,OK,"Custer County, OK"
5.848373286,Oklahoma,Caddo,Conventional,40015,Caddo County,OK,"Caddo County, OK"
5.856111773,Oklahoma,Jackson,Conventional,40065,Jackson County,OK,"Jackson County, OK"
5.854589782,Oklahoma,Beckham,Conventional,40009,Beckham County,OK,"Beckham County, OK"
5.850187706,Oklahoma,Woodward,Conventional,40153,Woodward County,OK,"Woodward County, OK"
5.846822052,Oklahoma,Marshall,Conventional,40095,Marshall County,OK,"Marshall County, OK"
5.842414535,Oklahoma,Kingfisher,Conventional,40073,Kingfisher County,OK,"Kingfisher County, OK"
5.843657018,Oklahoma,Choctaw,Conventional,40023,Choctaw County,OK,"Choctaw County, OK"
5.822270937,Oklahoma,Craig,Conventional,40035,Craig County,OK,"Craig County, OK"
5.845230014,Oklahoma,Murray,Conventional,40099,Murray County,OK,"Murray County, OK"
5.851003787,Oklahoma,Washita,Conventional,40149,Washita County,OK,"Washita County, OK"
5.845544205,Oklahoma,Johnston,Conventional,40069,Johnston County,OK,"Johnston County, OK"
5.852965781,Oklahoma,Love,Conventional,40085,Love County,OK,"Love County, OK"
5.845128004,Oklahoma,Blaine,Conventional,40011,Blaine County,OK,"Blaine County, OK"
5.847179767,Oklahoma,Woods,Conventional,40151,Woods County,OK,"Woods County, OK"
5.852721637,Oklahoma,Kiowa,Conventional,40075,Kiowa County,OK,"Kiowa County, OK"
5.845851596,Oklahoma,Major,Conventional,40093,Major County,OK,"Major County, OK"
5.854141618,Oklahoma,Tillman,Conventional,40141,Tillman County,OK,"Tillman County, OK"
5.845166088,Oklahoma,Alfalfa,Conventional,40003,Alfalfa County,OK,"Alfalfa County, OK"
5.852365962,Oklahoma,Cotton,Conventional,40033,Cotton County,OK,"Cotton County, OK"
5.857025104,Oklahoma,Greer,Conventional,40055,Greer County,OK,"Greer County, OK"
5.853339138,Oklahoma,Jefferson,Conventional,40067,Jefferson County,OK,"Jefferson County, OK"
5.841125807,Oklahoma,Coal,Conventional,40029,Coal County,OK,"Coal County, OK"
5.857125074,Oklahoma,Beaver,Conventional,40007,Beaver County,OK,"Beaver County, OK"
