True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
2.889510566,Arkansas,Phillips,Conventional,5107,Phillips County,AR,"Phillips County, AR"
1.858383882,Illinois,Tazewell,Conventional,17179,Tazewell County,IL,"Tazewell County, IL"
1.913465276,Illinois,Adams,Conventional,17001,Adams County,IL,"Adams County, IL"
1.909952195,Illinois,Jackson,Conventional,17077,Jackson County,IL,"Jackson County, IL"
1.820756627,Illinois,Saline,Conventional,17165,Saline County,IL,"Saline County, IL"
1.871650483,Illinois,Jersey,Conventional,17083,Jersey County,IL,"Jersey County, IL"
1.819087603,Illinois,Pike,Conventional,17149,Pike County,IL,"Pike County, IL"
1.9940876,Illinois,Alexander,Conventional,17003,Alexander County,IL,"Alexander County, IL"
1.867284955,Illinois,Calhoun,Conventional,17013,Calhoun County,IL,"Calhoun County, IL"
2.971519438,Kansas,Leavenworth,Conventional,20103,Leavenworth County,KS,"Leavenworth County, KS"
2.074231542,Louisiana,#N/A,Conventional,22033,East Baton Rouge Parish,LA,"East Baton Rouge Parish, LA"
2.127518446,Louisiana,#N/A,Conventional,22081,Red River Parish,LA,"Red River Parish, LA"
2.154038367,Mississippi,Washington,Conventional,28151,Washington County,MS,"Washington County, MS"
4.15460004,Missouri,Franklin,Conventional,29071,Franklin County,MO,"Franklin County, MO"
3.801394929,Missouri,Buchanan,Conventional,29021,Buchanan County,MO,"Buchanan County, MO"
3.967930915,Missouri,Cape Girardeau,Conventional,29031,Cape Girardeau County,MO,"Cape Girardeau County, MO"
3.765939442,Missouri,Cole,Conventional,29051,Cole County,MO,"Cole County, MO"
3.823856944,Missouri,Scott,Conventional,29201,Scott County,MO,"Scott County, MO"
3.828378312,Missouri,Saline,Conventional,29195,Saline County,MO,"Saline County, MO"
3.824025005,Missouri,Cooper,Conventional,29053,Cooper County,MO,"Cooper County, MO"
4.260740238,Missouri,Gasconade,Conventional,29073,Gasconade County,MO,"Gasconade County, MO"
3.93280899,Missouri,Ralls,Conventional,29173,Ralls County,MO,"Ralls County, MO"
3.842129861,Missouri,Howard,Conventional,29089,Howard County,MO,"Howard County, MO"
2.81733889,Nebraska,Douglas,Conventional,31055,Douglas County,NE,"Douglas County, NE"
2.721394753,Nebraska,Otoe,Conventional,31131,Otoe County,NE,"Otoe County, NE"
2.755592502,Nebraska,Richardson,Conventional,31147,Richardson County,NE,"Richardson County, NE"
2.78987333,Nebraska,Dixon,Conventional,31051,Dixon County,NE,"Dixon County, NE"
3.094815661,North Carolina,Onslow,Conventional,37133,Onslow County,NC,"Onslow County, NC"
3.305927727,North Carolina,Brunswick,Conventional,37019,Brunswick County,NC,"Brunswick County, NC"
3.058168053,North Carolina,Craven,Conventional,37049,Craven County,NC,"Craven County, NC"
2.923237359,North Carolina,Carteret,Conventional,37031,Carteret County,NC,"Carteret County, NC"
3.200583761,North Carolina,Beaufort,Conventional,37013,Beaufort County,NC,"Beaufort County, NC"
3.297364806,North Carolina,Chowan,Conventional,37041,Chowan County,NC,"Chowan County, NC"
3.23019657,North Carolina,Perquimans,Conventional,37143,Perquimans County,NC,"Perquimans County, NC"
3.083940203,North Carolina,Pamlico,Conventional,37137,Pamlico County,NC,"Pamlico County, NC"
3.003382064,North Carolina,Washington,Conventional,37187,Washington County,NC,"Washington County, NC"
3.119459675,North Carolina,Camden,Conventional,37029,Camden County,NC,"Camden County, NC"
3.037040267,North Carolina,Hyde,Conventional,37095,Hyde County,NC,"Hyde County, NC"
2.938843556,North Carolina,Tyrrell,Conventional,37177,Tyrrell County,NC,"Tyrrell County, NC"
3.213993717,Oklahoma,Washita,Conventional,40149,Washita County,OK,"Washita County, OK"
3.060186823,Texas,Cameron,Conventional,48061,Cameron County,TX,"Cameron County, TX"
3.18227641,Texas,Brazoria,Conventional,48039,Brazoria County,TX,"Brazoria County, TX"
1.788866966,Texas,Nueces,Conventional,48355,Nueces County,TX,"Nueces County, TX"
3.056423978,Texas,Jefferson,Conventional,48245,Jefferson County,TX,"Jefferson County, TX"
2.912223268,Texas,Willacy,Conventional,48489,Willacy County,TX,"Willacy County, TX"
2.230994099,Texas,Calhoun,Conventional,48057,Calhoun County,TX,"Calhoun County, TX"
1.775739026,Kansas,Leavenworth,Organic,20103,Leavenworth County,KS,"Leavenworth County, KS"
0.840458399,Maryland,Baltimore,Organic,24005,Baltimore County,MD,"Baltimore County, MD"
0.839280603,Maryland,Anne Arundel,Organic,24003,Anne Arundel County,MD,"Anne Arundel County, MD"
0.840682742,Maryland,Harford,Organic,24025,Harford County,MD,"Harford County, MD"
0.838551491,Maryland,Charles,Organic,24017,Charles County,MD,"Charles County, MD"
0.839561031,Maryland,Cecil,Organic,24015,Cecil County,MD,"Cecil County, MD"
0.837822379,Maryland,Wicomico,Organic,24045,Wicomico County,MD,"Wicomico County, MD"
0.837205438,Maryland,Calvert,Organic,24009,Calvert County,MD,"Calvert County, MD"
0.826549187,Maryland,Worcester,Organic,24047,Worcester County,MD,"Worcester County, MD"
0.83944886,Maryland,Talbot,Organic,24041,Talbot County,MD,"Talbot County, MD"
0.83894409,Maryland,Dorchester,Organic,24019,Dorchester County,MD,"Dorchester County, MD"
0.8358033,Maryland,Somerset,Organic,24039,Somerset County,MD,"Somerset County, MD"
0.841131426,Maryland,Kent,Organic,24029,Kent County,MD,"Kent County, MD"
1.529906715,Nebraska,Douglas,Organic,31055,Douglas County,NE,"Douglas County, NE"
1.526990267,Nebraska,Otoe,Organic,31131,Otoe County,NE,"Otoe County, NE"
1.523344707,Nebraska,Richardson,Organic,31147,Richardson County,NE,"Richardson County, NE"
1.537646519,Nebraska,Dixon,Organic,31051,Dixon County,NE,"Dixon County, NE"
1.249774017,North Carolina,Onslow,Organic,37133,Onslow County,NC,"Onslow County, NC"
1.252223949,North Carolina,Brunswick,Organic,37019,Brunswick County,NC,"Brunswick County, NC"
1.248238315,North Carolina,Craven,Organic,37049,Craven County,NC,"Craven County, NC"
1.246219236,North Carolina,Carteret,Organic,37031,Carteret County,NC,"Carteret County, NC"
1.249528283,North Carolina,Beaufort,Organic,37013,Beaufort County,NC,"Beaufort County, NC"
1.249247855,North Carolina,Chowan,Organic,37041,Chowan County,NC,"Chowan County, NC"
1.248743085,North Carolina,Perquimans,Organic,37143,Perquimans County,NC,"Perquimans County, NC"
1.247340947,North Carolina,Pamlico,Organic,37137,Pamlico County,NC,"Pamlico County, NC"
1.249640454,North Carolina,Washington,Organic,37187,Washington County,NC,"Washington County, NC"
1.248070059,North Carolina,Camden,Organic,37029,Camden County,NC,"Camden County, NC"
1.249416112,North Carolina,Hyde,Organic,37095,Hyde County,NC,"Hyde County, NC"
1.248743085,North Carolina,Tyrrell,Organic,37177,Tyrrell County,NC,"Tyrrell County, NC"
1.117725997,Ohio,Ashtabula,Organic,39007,Ashtabula County,OH,"Ashtabula County, OH"
1.123390636,Ohio,Erie,Organic,39043,Erie County,OH,"Erie County, OH"
1.377013471,Texas,Cameron,Organic,48061,Cameron County,TX,"Cameron County, TX"
1.374770049,Texas,Brazoria,Organic,48039,Brazoria County,TX,"Brazoria County, TX"
1.378415609,Texas,Nueces,Organic,48355,Nueces County,TX,"Nueces County, TX"
1.373872681,Texas,Jefferson,Organic,48245,Jefferson County,TX,"Jefferson County, TX"
1.378864293,Texas,Willacy,Organic,48489,Willacy County,TX,"Willacy County, TX"
1.377854754,Texas,Calhoun,Organic,48057,Calhoun County,TX,"Calhoun County, TX"
