True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
2.87717199,Arkansas,Pulaski,Conventional,5119,Pulaski County,AR,"Pulaski County, AR"
3.021448137,Arkansas,Faulkner,Conventional,5045,Faulkner County,AR,"Faulkner County, AR"
2.847709154,Arkansas,Craighead,Conventional,5031,Craighead County,AR,"Craighead County, AR"
3.015842115,Arkansas,White,Conventional,5145,White County,AR,"White County, AR"
2.872227405,Arkansas,Lonoke,Conventional,5085,Lonoke County,AR,"Lonoke County, AR"
2.85406034,Arkansas,Jefferson,Conventional,5069,Jefferson County,AR,"Jefferson County, AR"
2.815074143,Arkansas,Crittenden,Conventional,5035,Crittenden County,AR,"Crittenden County, AR"
2.881609984,Arkansas,Greene,Conventional,5055,Greene County,AR,"Greene County, AR"
2.885973128,Arkansas,Miller,Conventional,5091,Miller County,AR,"Miller County, AR"
2.79734811,Arkansas,Mississippi,Conventional,5093,Mississippi County,AR,"Mississippi County, AR"
2.878660958,Arkansas,Poinsett,Conventional,5111,Poinsett County,AR,"Poinsett County, AR"
2.712355951,Arkansas,Columbia,Conventional,5027,Columbia County,AR,"Columbia County, AR"
2.90622826,Arkansas,Randolph,Conventional,5121,Randolph County,AR,"Randolph County, AR"
2.980053951,Arkansas,Arkansas,Conventional,5001,Arkansas County,AR,"Arkansas County, AR"
2.853196371,Arkansas,Cross,Conventional,5037,Cross County,AR,"Cross County, AR"
2.844864459,Arkansas,Jackson,Conventional,5067,Jackson County,AR,"Jackson County, AR"
2.854832348,Arkansas,Phillips,Conventional,5107,Phillips County,AR,"Phillips County, AR"
2.87453349,Arkansas,Lawrence,Conventional,5075,Lawrence County,AR,"Lawrence County, AR"
2.871971724,Arkansas,Clay,Conventional,5021,Clay County,AR,"Clay County, AR"
2.836982577,Arkansas,Little River,Conventional,5081,Little River County,AR,"Little River County, AR"
2.87815384,Arkansas,Lee,Conventional,5077,Lee County,AR,"Lee County, AR"
2.921877734,Arkansas,Prairie,Conventional,5117,Prairie County,AR,"Prairie County, AR"
2.95411509,Arkansas,Monroe,Conventional,5095,Monroe County,AR,"Monroe County, AR"
2.868043549,Arkansas,Woodruff,Conventional,5147,Woodruff County,AR,"Woodruff County, AR"
2.022089069,Colorado,El Paso,Conventional,8041,El Paso County,CO,"El Paso County, CO"
1.721832042,Colorado,Arapahoe,Conventional,8005,Arapahoe County,CO,"Arapahoe County, CO"
1.751594785,Colorado,Adams,Conventional,8001,Adams County,CO,"Adams County, CO"
1.864831643,Colorado,Larimer,Conventional,8069,Larimer County,CO,"Larimer County, CO"
1.841839412,Colorado,Weld,Conventional,8123,Weld County,CO,"Weld County, CO"
1.931896169,Colorado,Boulder,Conventional,8013,Boulder County,CO,"Boulder County, CO"
1.848635224,Colorado,Pueblo,Conventional,8101,Pueblo County,CO,"Pueblo County, CO"
2.322377167,Colorado,Mesa,Conventional,8077,Mesa County,CO,"Mesa County, CO"
1.843598325,Colorado,Garfield,Conventional,8045,Garfield County,CO,"Garfield County, CO"
1.938227485,Colorado,Montrose,Conventional,8085,Montrose County,CO,"Montrose County, CO"
2.065344673,Colorado,Delta,Conventional,8029,Delta County,CO,"Delta County, CO"
1.784796132,Colorado,Morgan,Conventional,8087,Morgan County,CO,"Morgan County, CO"
1.728789168,Colorado,Elbert,Conventional,8039,Elbert County,CO,"Elbert County, CO"
1.750451202,Colorado,Logan,Conventional,8075,Logan County,CO,"Logan County, CO"
1.950808861,Colorado,Otero,Conventional,8089,Otero County,CO,"Otero County, CO"
1.717812126,Colorado,Las Animas,Conventional,8071,Las Animas County,CO,"Las Animas County, CO"
1.736926137,Colorado,Prowers,Conventional,8099,Prowers County,CO,"Prowers County, CO"
1.781191175,Colorado,Yuma,Conventional,8125,Yuma County,CO,"Yuma County, CO"
1.733893239,Colorado,Lincoln,Conventional,8073,Lincoln County,CO,"Lincoln County, CO"
1.745918838,Colorado,Bent,Conventional,8011,Bent County,CO,"Bent County, CO"
1.720348475,Colorado,Washington,Conventional,8121,Washington County,CO,"Washington County, CO"
1.735291548,Colorado,Baca,Conventional,8009,Baca County,CO,"Baca County, CO"
1.743647206,Colorado,Sedgwick,Conventional,8115,Sedgwick County,CO,"Sedgwick County, CO"
1.702683578,Colorado,Cheyenne,Conventional,8017,Cheyenne County,CO,"Cheyenne County, CO"
3.753324647,Georgia,Fulton,Conventional,13121,Fulton County,GA,"Fulton County, GA"
3.617167172,Georgia,Hall,Conventional,13139,Hall County,GA,"Hall County, GA"
3.318395876,Georgia,Houston,Conventional,13153,Houston County,GA,"Houston County, GA"
3.432708905,Georgia,Columbia,Conventional,13073,Columbia County,GA,"Columbia County, GA"
3.38191417,Georgia,Coweta,Conventional,13077,Coweta County,GA,"Coweta County, GA"
3.398088297,Georgia,Clarke,Conventional,13059,Clarke County,GA,"Clarke County, GA"
3.628829193,Georgia,Lowndes,Conventional,13185,Lowndes County,GA,"Lowndes County, GA"
3.43991985,Georgia,Newton,Conventional,13217,Newton County,GA,"Newton County, GA"
4.106524228,Georgia,Walton,Conventional,13297,Walton County,GA,"Walton County, GA"
3.430398627,Georgia,Dougherty,Conventional,13095,Dougherty County,GA,"Dougherty County, GA"
3.347156466,Georgia,Catoosa,Conventional,13047,Catoosa County,GA,"Catoosa County, GA"
3.507255748,Georgia,Laurens,Conventional,13175,Laurens County,GA,"Laurens County, GA"
3.539156609,Georgia,Thomas,Conventional,13275,Thomas County,GA,"Thomas County, GA"
3.480381304,Georgia,Coffee,Conventional,13069,Coffee County,GA,"Coffee County, GA"
4.013968709,Georgia,Oconee,Conventional,13219,Oconee County,GA,"Oconee County, GA"
3.561312732,Georgia,Tift,Conventional,13277,Tift County,GA,"Tift County, GA"
3.28801942,Georgia,Lee,Conventional,13177,Lee County,GA,"Lee County, GA"
3.322864889,Georgia,Madison,Conventional,13195,Madison County,GA,"Madison County, GA"
3.397101556,Georgia,Sumter,Conventional,13261,Sumter County,GA,"Sumter County, GA"
3.580103694,Georgia,Decatur,Conventional,13087,Decatur County,GA,"Decatur County, GA"
4.451442318,Georgia,Jones,Conventional,13169,Jones County,GA,"Jones County, GA"
3.45560001,Georgia,Upson,Conventional,13293,Upson County,GA,"Upson County, GA"
3.43422385,Georgia,Grady,Conventional,13131,Grady County,GA,"Grady County, GA"
3.38057381,Georgia,Burke,Conventional,13033,Burke County,GA,"Burke County, GA"
3.737438493,Georgia,Putnam,Conventional,13237,Putnam County,GA,"Putnam County, GA"
3.473829809,Georgia,Meriwether,Conventional,13199,Meriwether County,GA,"Meriwether County, GA"
3.431892367,Georgia,Crisp,Conventional,13081,Crisp County,GA,"Crisp County, GA"
3.664087229,Georgia,Morgan,Conventional,13211,Morgan County,GA,"Morgan County, GA"
3.424081652,Georgia,Dodge,Conventional,13091,Dodge County,GA,"Dodge County, GA"
3.49922126,Georgia,Washington,Conventional,13303,Washington County,GA,"Washington County, GA"
3.473631018,Georgia,Lamar,Conventional,13171,Lamar County,GA,"Lamar County, GA"
3.459394033,Georgia,Appling,Conventional,13001,Appling County,GA,"Appling County, GA"
3.655177478,Georgia,Banks,Conventional,13011,Banks County,GA,"Banks County, GA"
3.442969808,Georgia,Brooks,Conventional,13027,Brooks County,GA,"Brooks County, GA"
3.371418323,Georgia,Jefferson,Conventional,13163,Jefferson County,GA,"Jefferson County, GA"
