True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
2.952881924,Arkansas,Pulaski,Conventional,5119,Pulaski County,AR,"Pulaski County, AR"
3.09639383,Arkansas,Faulkner,Conventional,5045,Faulkner County,AR,"Faulkner County, AR"
2.914885164,Arkansas,Craighead,Conventional,5031,Craighead County,AR,"Craighead County, AR"
3.088674806,Arkansas,White,Conventional,5145,White County,AR,"White County, AR"
2.946618486,Arkansas,Lonoke,Conventional,5085,Lonoke County,AR,"Lonoke County, AR"
2.929280021,Arkansas,Jefferson,Conventional,5069,Jefferson County,AR,"Jefferson County, AR"
2.880351621,Arkansas,Crittenden,Conventional,5035,Crittenden County,AR,"Crittenden County, AR"
2.94830168,Arkansas,Greene,Conventional,5055,Greene County,AR,"Greene County, AR"
2.970660702,Arkansas,Miller,Conventional,5091,Miller County,AR,"Miller County, AR"
2.861460608,Arkansas,Mississippi,Conventional,5093,Mississippi County,AR,"Mississippi County, AR"
2.946445576,Arkansas,Poinsett,Conventional,5111,Poinsett County,AR,"Poinsett County, AR"
2.797040456,Arkansas,Columbia,Conventional,5027,Columbia County,AR,"Columbia County, AR"
2.972230056,Arkansas,Randolph,Conventional,5121,Randolph County,AR,"Randolph County, AR"
3.054206617,Arkansas,Arkansas,Conventional,5001,Arkansas County,AR,"Arkansas County, AR"
2.922156903,Arkansas,Cross,Conventional,5037,Cross County,AR,"Cross County, AR"
2.915407134,Arkansas,Jackson,Conventional,5067,Jackson County,AR,"Jackson County, AR"
2.926408215,Arkansas,Phillips,Conventional,5107,Phillips County,AR,"Phillips County, AR"
2.943118489,Arkansas,Lawrence,Conventional,5075,Lawrence County,AR,"Lawrence County, AR"
2.938319239,Arkansas,Clay,Conventional,5021,Clay County,AR,"Clay County, AR"
2.909300684,Arkansas,Little River,Conventional,5081,Little River County,AR,"Little River County, AR"
2.947619095,Arkansas,Lee,Conventional,5077,Lee County,AR,"Lee County, AR"
2.994256251,Arkansas,Prairie,Conventional,5117,Prairie County,AR,"Prairie County, AR"
3.026015486,Arkansas,Monroe,Conventional,5095,Monroe County,AR,"Monroe County, AR"
2.939054764,Arkansas,Woodruff,Conventional,5147,Woodruff County,AR,"Woodruff County, AR"
2.115791804,Colorado,El Paso,Conventional,8041,El Paso County,CO,"El Paso County, CO"
1.820545399,Colorado,Arapahoe,Conventional,8005,Arapahoe County,CO,"Arapahoe County, CO"
1.848631552,Colorado,Adams,Conventional,8001,Adams County,CO,"Adams County, CO"
1.965540856,Colorado,Larimer,Conventional,8069,Larimer County,CO,"Larimer County, CO"
1.934985082,Colorado,Weld,Conventional,8123,Weld County,CO,"Weld County, CO"
2.032344697,Colorado,Boulder,Conventional,8013,Boulder County,CO,"Boulder County, CO"
1.945516252,Colorado,Pueblo,Conventional,8101,Pueblo County,CO,"Pueblo County, CO"
2.435496987,Colorado,Mesa,Conventional,8077,Mesa County,CO,"Mesa County, CO"
1.954974812,Colorado,Garfield,Conventional,8045,Garfield County,CO,"Garfield County, CO"
2.000709922,Colorado,Fremont,Conventional,8043,Fremont County,CO,"Fremont County, CO"
2.0562688,Colorado,Montrose,Conventional,8085,Montrose County,CO,"Montrose County, CO"
2.176565629,Colorado,Delta,Conventional,8029,Delta County,CO,"Delta County, CO"
1.88051055,Colorado,Morgan,Conventional,8087,Morgan County,CO,"Morgan County, CO"
1.830083862,Colorado,Elbert,Conventional,8039,Elbert County,CO,"Elbert County, CO"
2.097817589,Colorado,Montezuma,Conventional,8083,Montezuma County,CO,"Montezuma County, CO"
1.843416918,Colorado,Logan,Conventional,8075,Logan County,CO,"Logan County, CO"
2.04954163,Colorado,Otero,Conventional,8089,Otero County,CO,"Otero County, CO"
