True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
1.620969125,Alabama,Mobile County,Conventional,1097,Mobile County,AL,"Mobile County, AL"
1.205413777,Alabama,Morgan County,Conventional,1103,Morgan County,AL,"Morgan County, AL"
1.473682198,Alabama,Marshall County,Conventional,1095,Marshall County,AL,"Marshall County, AL"
1.179399648,Alabama,Lauderdale County,Conventional,1077,Lauderdale County,AL,"Lauderdale County, AL"
1.200319036,Alabama,Colbert County,Conventional,1033,Colbert County,AL,"Colbert County, AL"
1.502244423,Alabama,Jackson County,Conventional,1071,Jackson County,AL,"Jackson County, AL"
0.498597948,Arkansas,Phillips County,Conventional,5107,Phillips County,AR,"Phillips County, AR"
0.556194914,Delaware,New Castle County,Conventional,10003,New Castle County,DE,"New Castle County, DE"
0.597026968,Delaware,Sussex County,Conventional,10005,Sussex County,DE,"Sussex County, DE"
0.5471253,Delaware,Kent County,Conventional,10001,Kent County,DE,"Kent County, DE"
1.81731203,Florida,Palm Beach County,Conventional,12099,Palm Beach County,FL,"Palm Beach County, FL"
1.81893234,Florida,Hillsborough County,Conventional,12057,Hillsborough County,FL,"Hillsborough County, FL"
1.364024275,Florida,Pinellas County,Conventional,12103,Pinellas County,FL,"Pinellas County, FL"
1.817963962,Florida,Lee County,Conventional,12071,Lee County,FL,"Lee County, FL"
1.811627183,Florida,Brevard County,Conventional,12009,Brevard County,FL,"Brevard County, FL"
1.805700927,Florida,Volusia County,Conventional,12127,Volusia County,FL,"Volusia County, FL"
2.063939917,Florida,Lake County,Conventional,12069,Lake County,FL,"Lake County, FL"
1.319334683,Florida,Marion County,Conventional,12083,Marion County,FL,"Marion County, FL"
1.185139157,Florida,Escambia County,Conventional,12033,Escambia County,FL,"Escambia County, FL"
1.804965848,Florida,Clay County,Conventional,12019,Clay County,FL,"Clay County, FL"
1.302960425,Florida,Okaloosa County,Conventional,12091,Okaloosa County,FL,"Okaloosa County, FL"
1.652866669,Florida,Indian River County,Conventional,12061,Indian River County,FL,"Indian River County, FL"
1.556025437,Florida,Martin County,Conventional,12085,Martin County,FL,"Martin County, FL"
1.786787301,Florida,Monroe County,Conventional,12087,Monroe County,FL,"Monroe County, FL"
1.80685605,Florida,Putnam County,Conventional,12107,Putnam County,FL,"Putnam County, FL"
1.513104951,Florida,Hendry County,Conventional,12051,Hendry County,FL,"Hendry County, FL"
1.563554861,Florida,Glades County,Conventional,12043,Glades County,FL,"Glades County, FL"
0.513551335,Illinois,Cook County,Conventional,17031,Cook County,IL,"Cook County, IL"
0.60871728,Illinois,Lake County,Conventional,17097,Lake County,IL,"Lake County, IL"
0.597079912,Illinois,Madison County,Conventional,17119,Madison County,IL,"Madison County, IL"
0.534014797,Illinois,Peoria County,Conventional,17143,Peoria County,IL,"Peoria County, IL"
0.482202991,Illinois,Tazewell County,Conventional,17179,Tazewell County,IL,"Tazewell County, IL"
0.535702967,Illinois,LaSalle County,Conventional,17099,LaSalle County,IL,"LaSalle County, IL"
0.674094397,Illinois,Adams County,Conventional,17001,Adams County,IL,"Adams County, IL"
0.76587163,Illinois,Jackson County,Conventional,17077,Jackson County,IL,"Jackson County, IL"
0.49487195,Illinois,Saline County,Conventional,17165,Saline County,IL,"Saline County, IL"
0.51298415,Illinois,Jersey County,Conventional,17083,Jersey County,IL,"Jersey County, IL"
0.510839569,Illinois,Pike County,Conventional,17149,Pike County,IL,"Pike County, IL"
0.516137655,Illinois,Cass County,Conventional,17017,Cass County,IL,"Cass County, IL"
0.570797232,Illinois,Putnam County,Conventional,17155,Putnam County,IL,"Putnam County, IL"
0.534599959,Illinois,Alexander County,Conventional,17003,Alexander County,IL,"Alexander County, IL"
0.524800228,Illinois,Scott County,Conventional,17171,Scott County,IL,"Scott County, IL"
0.631005326,Illinois,Calhoun County,Conventional,17013,Calhoun County,IL,"Calhoun County, IL"
0.575009439,Indiana,Lake County,Conventional,18089,Lake County,IN,"Lake County, IN"
0.517490507,Indiana,Vanderburgh County,Conventional,18163,Vanderburgh County,IN,"Vanderburgh County, IN"
0.558112959,Indiana,LaPorte County,Conventional,18091,LaPorte County,IN,"LaPorte County, IN"
0.56897523,Indiana,Warrick County,Conventional,18173,Warrick County,IN,"Warrick County, IN"
0.656563909,Indiana,Perry County,Conventional,18123,Perry County,IN,"Perry County, IN"
0.39402518,Iowa,Scott County,Conventional,19163,Scott County,IA,"Scott County, IA"
0.429386519,Iowa,Woodbury County,Conventional,19193,Woodbury County,IA,"Woodbury County, IA"
0.398616816,Iowa,Dubuque County,Conventional,19061,Dubuque County,IA,"Dubuque County, IA"
0.412190972,Iowa,Pottawattamie County,Conventional,19155,Pottawattamie County,IA,"Pottawattamie County, IA"
0.403055521,Iowa,Clinton County,Conventional,19045,Clinton County,IA,"Clinton County, IA"
0.413651026,Iowa,Des Moines County,Conventional,19057,Des Moines County,IA,"Des Moines County, IA"
0.402316655,Iowa,Lee County,Conventional,19111,Lee County,IA,"Lee County, IA"
0.644571634,Kansas,Leavenworth County,Conventional,20103,Leavenworth County,KS,"Leavenworth County, KS"
1.839190053,Kentucky,Jefferson County,Conventional,21111,Jefferson County,KY,"Jefferson County, KY"
0.891664562,Kentucky,Daviess County,Conventional,21059,Daviess County,KY,"Daviess County, KY"
0.985892529,Kentucky,McCracken County,Conventional,21145,McCracken County,KY,"McCracken County, KY"
2.017955049,Kentucky,Laurel County,Conventional,21125,Laurel County,KY,"Laurel County, KY"
1.049464777,Kentucky,Greenup County,Conventional,21089,Greenup County,KY,"Greenup County, KY"
0.939083488,Kentucky,Livingston County,Conventional,21139,Livingston County,KY,"Livingston County, KY"
1.243826814,Kentucky,Gallatin County,Conventional,21077,Gallatin County,KY,"Gallatin County, KY"
1.16427057,Kentucky,Bracken County,Conventional,21023,Bracken County,KY,"Bracken County, KY"
0.522538096,Louisiana,East Baton Rouge Parish,Conventional,22033,East Baton Rouge Parish,LA,"East Baton Rouge Parish, LA"
0.471933323,Louisiana,Calcasieu Parish,Conventional,22019,Calcasieu Parish,LA,"Calcasieu Parish, LA"
0.582095121,Louisiana,Ascension Parish,Conventional,22005,Ascension Parish,LA,"Ascension Parish, LA"
0.585106905,Louisiana,Terrebonne Parish,Conventional,22109,Terrebonne Parish,LA,"Terrebonne Parish, LA"
0.488118789,Louisiana,Iberville Parish,Conventional,22047,Iberville Parish,LA,"Iberville Parish, LA"
0.552076117,Louisiana,Red River Parish,Conventional,22081,Red River Parish,LA,"Red River Parish, LA"
0.548224009,Maryland,Baltimore County,Conventional,24005,Baltimore County,MD,"Baltimore County, MD"
0.583865542,Maryland,Anne Arundel County,Conventional,24003,Anne Arundel County,MD,"Anne Arundel County, MD"
0.472691332,Maryland,Harford County,Conventional,24025,Harford County,MD,"Harford County, MD"
0.550421959,Maryland,Charles County,Conventional,24017,Charles County,MD,"Charles County, MD"
0.539039982,Maryland,Cecil County,Conventional,24015,Cecil County,MD,"Cecil County, MD"
0.632510983,Maryland,Wicomico County,Conventional,24045,Wicomico County,MD,"Wicomico County, MD"
0.560714768,Maryland,Calvert County,Conventional,24009,Calvert County,MD,"Calvert County, MD"
0.48985063,Maryland,Worcester County,Conventional,24047,Worcester County,MD,"Worcester County, MD"
0.5927576,Maryland,Talbot County,Conventional,24041,Talbot County,MD,"Talbot County, MD"
0.549663395,Maryland,Dorchester County,Conventional,24019,Dorchester County,MD,"Dorchester County, MD"
0.512701152,Maryland,Somerset County,Conventional,24039,Somerset County,MD,"Somerset County, MD"
