True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
1.612655937,Alabama,Mobile County,Conventional,1097,Mobile County,AL,"Mobile County, AL"
1.068610437,Alabama,Madison County,Conventional,1089,Madison County,AL,"Madison County, AL"
1.357343435,Alabama,Baldwin County,Conventional,1003,Baldwin County,AL,"Baldwin County, AL"
1.320222399,Alabama,Tuscaloosa County,Conventional,1125,Tuscaloosa County,AL,"Tuscaloosa County, AL"
1.162105221,Alabama,Montgomery County,Conventional,1101,Montgomery County,AL,"Montgomery County, AL"
1.179805328,Alabama,Shelby County,Conventional,1117,Shelby County,AL,"Shelby County, AL"
2.696391602,Alabama,Lee County,Conventional,1081,Lee County,AL,"Lee County, AL"
1.163497818,Alabama,Morgan County,Conventional,1103,Morgan County,AL,"Morgan County, AL"
1.213754823,Alabama,Calhoun County,Conventional,1015,Calhoun County,AL,"Calhoun County, AL"
1.083774764,Alabama,Houston County,Conventional,1069,Houston County,AL,"Houston County, AL"
1.06981692,Alabama,Limestone County,Conventional,1083,Limestone County,AL,"Limestone County, AL"
1.504966325,Alabama,Etowah County,Conventional,1055,Etowah County,AL,"Etowah County, AL"
1.142633032,Alabama,Cullman County,Conventional,1043,Cullman County,AL,"Cullman County, AL"
1.196348428,Alabama,Elmore County,Conventional,1051,Elmore County,AL,"Elmore County, AL"
1.134575421,Alabama,Talladega County,Conventional,1121,Talladega County,AL,"Talladega County, AL"
1.46436667,Alabama,DeKalb County,Conventional,1049,DeKalb County,AL,"DeKalb County, AL"
1.364064009,Alabama,Walker County,Conventional,1127,Walker County,AL,"Walker County, AL"
1.392842089,Alabama,Blount County,Conventional,1009,Blount County,AL,"Blount County, AL"
1.260542078,Alabama,Russell County,Conventional,1113,Russell County,AL,"Russell County, AL"
1.203823139,Alabama,Autauga County,Conventional,1001,Autauga County,AL,"Autauga County, AL"
1.162805844,Alabama,Colbert County,Conventional,1033,Colbert County,AL,"Colbert County, AL"
1.45128945,Alabama,Jackson County,Conventional,1071,Jackson County,AL,"Jackson County, AL"
1.269883812,Alabama,Dale County,Conventional,1045,Dale County,AL,"Dale County, AL"
1.313942397,Alabama,Chilton County,Conventional,1021,Chilton County,AL,"Chilton County, AL"
1.359155435,Alabama,Tallapoosa County,Conventional,1123,Tallapoosa County,AL,"Tallapoosa County, AL"
1.615662654,Alabama,Dallas County,Conventional,1047,Dallas County,AL,"Dallas County, AL"
1.904898824,Alabama,Escambia County,Conventional,1053,Escambia County,AL,"Escambia County, AL"
1.632467344,Alabama,Chambers County,Conventional,1017,Chambers County,AL,"Chambers County, AL"
1.12005958,Alabama,Lawrence County,Conventional,1079,Lawrence County,AL,"Lawrence County, AL"
0.901109053,Alabama,Pike County,Conventional,1109,Pike County,AL,"Pike County, AL"
1.195076255,Alabama,Franklin County,Conventional,1059,Franklin County,AL,"Franklin County, AL"
1.161527547,Alabama,Marion County,Conventional,1093,Marion County,AL,"Marion County, AL"
1.396682503,Alabama,Winston County,Conventional,1133,Winston County,AL,"Winston County, AL"
1.209135909,Alabama,Clarke County,Conventional,1025,Clarke County,AL,"Clarke County, AL"
1.286430529,Alabama,Bibb County,Conventional,1007,Bibb County,AL,"Bibb County, AL"
1.58194497,Alabama,Randolph County,Conventional,1111,Randolph County,AL,"Randolph County, AL"
1.270661965,Alabama,Monroe County,Conventional,1099,Monroe County,AL,"Monroe County, AL"
1.305601967,Alabama,Macon County,Conventional,1087,Macon County,AL,"Macon County, AL"
1.139896524,Alabama,Marengo County,Conventional,1091,Marengo County,AL,"Marengo County, AL"
1.212707146,Alabama,Butler County,Conventional,1013,Butler County,AL,"Butler County, AL"
1.206990685,Alabama,Pickens County,Conventional,1107,Pickens County,AL,"Pickens County, AL"
1.92093616,Alabama,Fayette County,Conventional,1057,Fayette County,AL,"Fayette County, AL"
1.3385988,Alabama,Washington County,Conventional,1129,Washington County,AL,"Washington County, AL"
1.320123227,Alabama,Cleburne County,Conventional,1029,Cleburne County,AL,"Cleburne County, AL"
1.207385801,Alabama,Hale County,Conventional,1065,Hale County,AL,"Hale County, AL"
1.358966293,Alabama,Clay County,Conventional,1027,Clay County,AL,"Clay County, AL"
1.167093988,Alabama,Lamar County,Conventional,1075,Lamar County,AL,"Lamar County, AL"
1.170414738,Alabama,Sumter County,Conventional,1119,Sumter County,AL,"Sumter County, AL"
1.247383248,Alabama,Conecuh County,Conventional,1035,Conecuh County,AL,"Conecuh County, AL"
1.177087069,Alabama,Wilcox County,Conventional,1131,Wilcox County,AL,"Wilcox County, AL"
1.154838872,Alabama,Lowndes County,Conventional,1085,Lowndes County,AL,"Lowndes County, AL"
1.114941993,Alabama,Perry County,Conventional,1105,Perry County,AL,"Perry County, AL"
1.082058005,Alabama,Greene County,Conventional,1063,Greene County,AL,"Greene County, AL"
0.464225786,Arkansas,Pulaski County,Conventional,5119,Pulaski County,AR,"Pulaski County, AR"
0.603477407,Arkansas,Benton County,Conventional,5007,Benton County,AR,"Benton County, AR"
0.513555574,Arkansas,Sebastian County,Conventional,5131,Sebastian County,AR,"Sebastian County, AR"
0.488009856,Arkansas,Faulkner County,Conventional,5045,Faulkner County,AR,"Faulkner County, AR"
0.470427409,Arkansas,Craighead County,Conventional,5031,Craighead County,AR,"Craighead County, AR"
0.532439035,Arkansas,White County,Conventional,5145,White County,AR,"White County, AR"
0.459108148,Arkansas,Lonoke County,Conventional,5085,Lonoke County,AR,"Lonoke County, AR"
0.410999726,Arkansas,Jefferson County,Conventional,5069,Jefferson County,AR,"Jefferson County, AR"
0.52820649,Arkansas,Pope County,Conventional,5115,Pope County,AR,"Pope County, AR"
0.518266677,Arkansas,Crawford County,Conventional,5033,Crawford County,AR,"Crawford County, AR"
0.449192363,Arkansas,Crittenden County,Conventional,5035,Crittenden County,AR,"Crittenden County, AR"
0.486338368,Arkansas,Greene County,Conventional,5055,Greene County,AR,"Greene County, AR"
0.489243774,Arkansas,Miller County,Conventional,5091,Miller County,AR,"Miller County, AR"
0.440437028,Arkansas,Mississippi County,Conventional,5093,Mississippi County,AR,"Mississippi County, AR"
0.534097338,Arkansas,Independence County,Conventional,5063,Independence County,AR,"Independence County, AR"
0.544897006,Arkansas,Johnson County,Conventional,5071,Johnson County,AR,"Johnson County, AR"
0.418548692,Arkansas,Poinsett County,Conventional,5111,Poinsett County,AR,"Poinsett County, AR"
0.443533681,Arkansas,Columbia County,Conventional,5027,Columbia County,AR,"Columbia County, AR"
0.458282717,Arkansas,Clark County,Conventional,5019,Clark County,AR,"Clark County, AR"
0.502830145,Arkansas,Conway County,Conventional,5029,Conway County,AR,"Conway County, AR"
1.091776001,Arkansas,Polk County,Conventional,5113,Polk County,AR,"Polk County, AR"
0.429372531,Arkansas,Ashley County,Conventional,5003,Ashley County,AR,"Ashley County, AR"
0.53467189,Arkansas,Randolph County,Conventional,5121,Randolph County,AR,"Randolph County, AR"
0.393312678,Arkansas,Drew County,Conventional,5043,Drew County,AR,"Drew County, AR"
0.576853352,Arkansas,Franklin County,Conventional,5047,Franklin County,AR,"Franklin County, AR"
0.413726103,Arkansas,Arkansas County,Conventional,5001,Arkansas County,AR,"Arkansas County, AR"
0.421216435,Arkansas,Cross County,Conventional,5037,Cross County,AR,"Cross County, AR"
0.512519297,Arkansas,Jackson County,Conventional,5067,Jackson County,AR,"Jackson County, AR"
