True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
1.24269515,California,Los Angeles,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
1.23856308,California,San Diego,Conventional,6073,San Diego County,CA,"San Diego County, CA"
1.243039489,California,Orange,Conventional,6059,Orange County,CA,"Orange County, CA"
1.26186336,California,Alameda,Conventional,6001,Alameda County,CA,"Alameda County, CA"
1.266167598,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
1.264216344,California,Contra Costa,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
1.24648288,California,Ventura,Conventional,6111,Ventura County,CA,"Ventura County, CA"
1.265995429,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
1.262953767,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
1.270127498,California,Stanislaus,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
1.263585055,California,Sonoma,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
1.264675462,California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
1.248089796,California,Santa Barbara,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
1.259338206,California,Monterey,Conventional,6053,Monterey County,CA,"Monterey County, CA"
1.252967933,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
1.261978139,California,Marin,Conventional,6041,Marin County,CA,"Marin County, CA"
1.267831904,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
1.272939601,California,Butte,Conventional,6007,Butte County,CA,"Butte County, CA"
1.263814615,California,Napa,Conventional,6055,Napa County,CA,"Napa County, CA"
1.275005635,California,Humboldt,Conventional,6023,Humboldt County,CA,"Humboldt County, CA"
0.880063468,New Jersey,Bergen,Conventional,34003,Bergen County,NJ,"Bergen County, NJ"
0.877940044,New Jersey,Middlesex,Conventional,34023,Middlesex County,NJ,"Middlesex County, NJ"
0.877480925,New Jersey,Essex,Conventional,34013,Essex County,NJ,"Essex County, NJ"
0.878743501,New Jersey,Monmouth,Conventional,34025,Monmouth County,NJ,"Monmouth County, NJ"
0.879087841,New Jersey,Ocean,Conventional,34029,Ocean County,NJ,"Ocean County, NJ"
0.877366145,New Jersey,Union,Conventional,34039,Union County,NJ,"Union County, NJ"
0.88683547,New Jersey,Burlington,Conventional,34005,Burlington County,NJ,"Burlington County, NJ"
0.887524149,New Jersey,Mercer,Conventional,34021,Mercer County,NJ,"Mercer County, NJ"
0.885113775,New Jersey,Gloucester,Conventional,34015,Gloucester County,NJ,"Gloucester County, NJ"
0.880924316,New Jersey,Atlantic,Conventional,34001,Atlantic County,NJ,"Atlantic County, NJ"
0.882186893,New Jersey,Cumberland,Conventional,34011,Cumberland County,NJ,"Cumberland County, NJ"
0.881670384,New Jersey,Cape May,Conventional,34009,Cape May County,NJ,"Cape May County, NJ"
0.884597266,New Jersey,Salem,Conventional,34033,Salem County,NJ,"Salem County, NJ"
0.740485157,Texas,Montgomery,Conventional,48339,Montgomery County,TX,"Montgomery County, TX"
0.742551192,Texas,Cameron,Conventional,48061,Cameron County,TX,"Cameron County, TX"
0.740255598,Texas,Brazoria,Conventional,48039,Brazoria County,TX,"Brazoria County, TX"
0.737960004,Texas,Galveston,Conventional,48167,Galveston County,TX,"Galveston County, TX"
0.744445057,Texas,Willacy,Conventional,48489,Willacy County,TX,"Willacy County, TX"
0.547127719,California,Los Angeles,Organic,6037,Los Angeles County,CA,"Los Angeles County, CA"
0.54299565,California,San Diego,Organic,6073,San Diego County,CA,"San Diego County, CA"
0.547472059,California,Orange,Organic,6059,Orange County,CA,"Orange County, CA"
0.566295929,California,Alameda,Organic,6001,Alameda County,CA,"Alameda County, CA"
0.570600168,California,Sacramento,Organic,6067,Sacramento County,CA,"Sacramento County, CA"
0.568648913,California,Contra Costa,Organic,6013,Contra Costa County,CA,"Contra Costa County, CA"
0.55091545,California,Ventura,Organic,6111,Ventura County,CA,"Ventura County, CA"
0.570427999,California,San Joaquin,Organic,6077,San Joaquin County,CA,"San Joaquin County, CA"
0.567386337,California,San Mateo,Organic,6081,San Mateo County,CA,"San Mateo County, CA"
0.574560068,California,Stanislaus,Organic,6099,Stanislaus County,CA,"Stanislaus County, CA"
0.568017625,California,Sonoma,Organic,6097,Sonoma County,CA,"Sonoma County, CA"
0.569108032,California,Solano,Organic,6095,Solano County,CA,"Solano County, CA"
