True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.955917169,Arizona,Maricopa,Conventional,4013,Maricopa County,AZ,"Maricopa County, AZ"
0.949516019,Arizona,Pima,Conventional,4019,Pima County,AZ,"Pima County, AZ"
0.951339927,Arizona,Pinal,Conventional,4021,Pinal County,AZ,"Pinal County, AZ"
0.949637394,Arizona,Yavapai,Conventional,4025,Yavapai County,AZ,"Yavapai County, AZ"
0.949904562,Arizona,Mohave,Conventional,4015,Mohave County,AZ,"Mohave County, AZ"
0.958772338,Arizona,Yuma,Conventional,4027,Yuma County,AZ,"Yuma County, AZ"
0.943501841,Arizona,Coconino,Conventional,4005,Coconino County,AZ,"Coconino County, AZ"
0.944305145,Arizona,Cochise,Conventional,4003,Cochise County,AZ,"Cochise County, AZ"
0.938883804,Arizona,Navajo,Conventional,4017,Navajo County,AZ,"Navajo County, AZ"
0.93544961,Arizona,Apache,Conventional,4001,Apache County,AZ,"Apache County, AZ"
0.951082793,Arizona,Santa Cruz,Conventional,4023,Santa Cruz County,AZ,"Santa Cruz County, AZ"
1.110368055,California,Los Angeles,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
1.117996464,California,San Diego,Conventional,6073,San Diego County,CA,"San Diego County, CA"
1.114417819,California,Orange,Conventional,6059,Orange County,CA,"Orange County, CA"
1.107312266,California,Riverside,Conventional,6065,Riverside County,CA,"Riverside County, CA"
1.10103461,California,San Bernardino,Conventional,6071,San Bernardino County,CA,"San Bernardino County, CA"
1.123622487,California,Santa Clara,Conventional,6085,Santa Clara County,CA,"Santa Clara County, CA"
1.121401681,California,Alameda,Conventional,6001,Alameda County,CA,"Alameda County, CA"
1.1166864,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
1.11993013,California,Contra Costa,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
1.117252032,California,Fresno,Conventional,6019,Fresno County,CA,"Fresno County, CA"
1.11042565,California,Kern,Conventional,6029,Kern County,CA,"Kern County, CA"
1.116414224,California,Ventura,Conventional,6111,Ventura County,CA,"Ventura County, CA"
1.118620666,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
1.124014429,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
1.122195925,California,Stanislaus,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
1.114368766,California,Tulare,Conventional,6107,Tulare County,CA,"Tulare County, CA"
1.118048455,California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
1.118659807,California,Santa Barbara,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
1.128834008,California,Monterey,Conventional,6053,Monterey County,CA,"Monterey County, CA"
1.109023457,California,Placer,Conventional,6061,Placer County,CA,"Placer County, CA"
1.120422421,California,Merced,Conventional,6047,Merced County,CA,"Merced County, CA"
1.124891321,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
1.123287832,California,Santa Cruz,Conventional,6087,Santa Cruz County,CA,"Santa Cruz County, CA"
1.116871181,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
1.111638667,California,Butte,Conventional,6007,Butte County,CA,"Butte County, CA"
1.14517396,California,Shasta,Conventional,6089,Shasta County,CA,"Shasta County, CA"
1.103851738,California,Imperial,Conventional,6025,Imperial County,CA,"Imperial County, CA"
1.118826779,California,Madera,Conventional,6039,Madera County,CA,"Madera County, CA"
1.108561793,California,Nevada,Conventional,6057,Nevada County,CA,"Nevada County, CA"
1.114403726,California,Sutter,Conventional,6101,Sutter County,CA,"Sutter County, CA"
1.113284646,California,Yuba,Conventional,6115,Yuba County,CA,"Yuba County, CA"
1.118087898,California,Tehama,Conventional,6103,Tehama County,CA,"Tehama County, CA"
1.129518723,California,San Benito,Conventional,6069,San Benito County,CA,"San Benito County, CA"
1.141173165,California,Siskiyou,Conventional,6093,Siskiyou County,CA,"Siskiyou County, CA"
1.111514524,California,Lassen,Conventional,6035,Lassen County,CA,"Lassen County, CA"
1.10827983,California,Plumas,Conventional,6063,Plumas County,CA,"Plumas County, CA"
1.139817915,California,Modoc,Conventional,6049,Modoc County,CA,"Modoc County, CA"
0.878888056,New Jersey,Bergen,Conventional,34003,Bergen County,NJ,"Bergen County, NJ"
0.879997365,New Jersey,Middlesex,Conventional,34023,Middlesex County,NJ,"Middlesex County, NJ"
0.878583007,New Jersey,Essex,Conventional,34013,Essex County,NJ,"Essex County, NJ"
0.881137259,New Jersey,Monmouth,Conventional,34025,Monmouth County,NJ,"Monmouth County, NJ"
0.881567365,New Jersey,Ocean,Conventional,34029,Ocean County,NJ,"Ocean County, NJ"
0.878864149,New Jersey,Union,Conventional,34039,Union County,NJ,"Union County, NJ"
0.88389862,New Jersey,Camden,Conventional,34007,Camden County,NJ,"Camden County, NJ"
0.879336047,New Jersey,Passaic,Conventional,34031,Passaic County,NJ,"Passaic County, NJ"
0.880115428,New Jersey,Morris,Conventional,34027,Morris County,NJ,"Morris County, NJ"
0.883961262,New Jersey,Burlington,Conventional,34005,Burlington County,NJ,"Burlington County, NJ"
0.880661872,New Jersey,Mercer,Conventional,34021,Mercer County,NJ,"Mercer County, NJ"
0.879849566,New Jersey,Somerset,Conventional,34035,Somerset County,NJ,"Somerset County, NJ"
0.884170537,New Jersey,Gloucester,Conventional,34015,Gloucester County,NJ,"Gloucester County, NJ"
0.885602678,New Jersey,Atlantic,Conventional,34001,Atlantic County,NJ,"Atlantic County, NJ"
0.885424672,New Jersey,Cumberland,Conventional,34011,Cumberland County,NJ,"Cumberland County, NJ"
0.880756095,New Jersey,Hunterdon,Conventional,34019,Hunterdon County,NJ,"Hunterdon County, NJ"
0.884747948,New Jersey,Warren,Conventional,34041,Warren County,NJ,"Warren County, NJ"
0.886350451,New Jersey,Cape May,Conventional,34009,Cape May County,NJ,"Cape May County, NJ"
0.885007419,New Jersey,Salem,Conventional,34033,Salem County,NJ,"Salem County, NJ"
0.733185683,Texas,Harris,Conventional,48201,Harris County,TX,"Harris County, TX"
0.735055254,Texas,Tarrant,Conventional,48439,Tarrant County,TX,"Tarrant County, TX"
0.753287481,Texas,Bexar,Conventional,48029,Bexar County,TX,"Bexar County, TX"
