True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
1.22714463,Arizona,Maricopa,Conventional,4013,Maricopa County,AZ,"Maricopa County, AZ"
1.229984939,Arizona,Pima,Conventional,4019,Pima County,AZ,"Pima County, AZ"
1.218538081,Arizona,Pinal,Conventional,4021,Pinal County,AZ,"Pinal County, AZ"
1.222785332,Arizona,Yavapai,Conventional,4025,Yavapai County,AZ,"Yavapai County, AZ"
1.229885576,Arizona,Mohave,Conventional,4015,Mohave County,AZ,"Mohave County, AZ"
1.245067013,Arizona,Yuma,Conventional,4027,Yuma County,AZ,"Yuma County, AZ"
1.218120544,Arizona,Coconino,Conventional,4005,Coconino County,AZ,"Coconino County, AZ"
1.214116416,Arizona,Cochise,Conventional,4003,Cochise County,AZ,"Cochise County, AZ"
1.193464716,Arizona,Navajo,Conventional,4017,Navajo County,AZ,"Navajo County, AZ"
1.185505085,Arizona,Apache,Conventional,4001,Apache County,AZ,"Apache County, AZ"
1.223055938,Arizona,Santa Cruz,Conventional,4023,Santa Cruz County,AZ,"Santa Cruz County, AZ"
1.200487795,Arizona,Greenlee,Conventional,4011,Greenlee County,AZ,"Greenlee County, AZ"
1.417690798,California,Los Angeles,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
1.417221465,California,San Diego,Conventional,6073,San Diego County,CA,"San Diego County, CA"
1.418205584,California,Orange,Conventional,6059,Orange County,CA,"Orange County, CA"
1.400993543,California,Riverside,Conventional,6065,Riverside County,CA,"Riverside County, CA"
1.397780093,California,San Bernardino,Conventional,6071,San Bernardino County,CA,"San Bernardino County, CA"
1.445516737,California,Santa Clara,Conventional,6085,Santa Clara County,CA,"Santa Clara County, CA"
1.438910138,California,Alameda,Conventional,6001,Alameda County,CA,"Alameda County, CA"
1.425408363,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
1.436126909,California,Contra Costa,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
1.440423842,California,Fresno,Conventional,6019,Fresno County,CA,"Fresno County, CA"
1.419288009,California,Kern,Conventional,6029,Kern County,CA,"Kern County, CA"
1.425259318,California,Ventura,Conventional,6111,Ventura County,CA,"Ventura County, CA"
1.431382843,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
1.443211298,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
1.436529648,California,Stanislaus,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
1.441951287,California,Sonoma,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
1.433870095,California,Tulare,Conventional,6107,Tulare County,CA,"Tulare County, CA"
1.429787745,California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
1.440245199,California,Santa Barbara,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
1.450085332,California,Monterey,Conventional,6053,Monterey County,CA,"Monterey County, CA"
1.421655814,California,Placer,Conventional,6061,Placer County,CA,"Placer County, CA"
1.445113999,California,Merced,Conventional,6047,Merced County,CA,"Merced County, CA"
1.440159578,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
