True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.108170614,Michigan,Macomb,Conventional,26099,Macomb County,MI,"Macomb County, MI"
0.10449415,Michigan,Saginaw,Conventional,26145,Saginaw County,MI,"Saginaw County, MI"
0.103839438,Michigan,Bay,Conventional,26017,Bay County,MI,"Bay County, MI"
0.10409125,Michigan,Sanilac,Conventional,26151,Sanilac County,MI,"Sanilac County, MI"
0.108019527,Michigan,Delta,Conventional,26041,Delta County,MI,"Delta County, MI"
0.1026811,Michigan,Huron,Conventional,26063,Huron County,MI,"Huron County, MI"
0.110789466,Michigan,Oceana,Conventional,26127,Oceana County,MI,"Oceana County, MI"
0.101170224,Michigan,Mackinac,Conventional,26097,Mackinac County,MI,"Mackinac County, MI"
0.107264089,Michigan,Alger,Conventional,26003,Alger County,MI,"Alger County, MI"
0.10449415,Michigan,Schoolcraft,Conventional,26153,Schoolcraft County,MI,"Schoolcraft County, MI"
0.371183563,Oregon,Lane,Conventional,41039,Lane County,OR,"Lane County, OR"
0.385536882,Oregon,Linn,Conventional,41043,Linn County,OR,"Linn County, OR"
0.370377763,Oregon,Douglas,Conventional,41019,Douglas County,OR,"Douglas County, OR"
0.387047758,Oregon,Umatilla,Conventional,41059,Umatilla County,OR,"Umatilla County, OR"
0.37582028,Washington,Benton,Conventional,53005,Benton County,WA,"Benton County, WA"
0.37541738,Washington,Franklin,Conventional,53021,Franklin County,WA,"Franklin County, WA"
