True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.23394693,California,Fresno,Conventional,6019,Fresno County,CA,"Fresno County, CA"
0.222992673,California,Imperial,Conventional,6025,Imperial County,CA,"Imperial County, CA"
0.150213008,Colorado,Adams,Conventional,8001,Adams County,CO,"Adams County, CO"
0.149688978,Colorado,Larimer,Conventional,8069,Larimer County,CO,"Larimer County, CO"
0.150037258,Colorado,Boulder,Conventional,8013,Boulder County,CO,"Boulder County, CO"
0.145521477,Colorado,Morgan,Conventional,8087,Morgan County,CO,"Morgan County, CO"
0.143211185,Colorado,Logan,Conventional,8075,Logan County,CO,"Logan County, CO"
0.20035656,Idaho,Ada,Conventional,16001,Ada County,ID,"Ada County, ID"
0.201499157,Idaho,Canyon,Conventional,16027,Canyon County,ID,"Canyon County, ID"
0.191700447,Idaho,Bannock,Conventional,16005,Bannock County,ID,"Bannock County, ID"
0.189749743,Idaho,Bingham,Conventional,16011,Bingham County,ID,"Bingham County, ID"
0.198849309,Idaho,Elmore,Conventional,16039,Elmore County,ID,"Elmore County, ID"
0.203154905,Idaho,Payette,Conventional,16075,Payette County,ID,"Payette County, ID"
0.193562062,Idaho,Minidoka,Conventional,16067,Minidoka County,ID,"Minidoka County, ID"
0.196199024,Idaho,Gooding,Conventional,16047,Gooding County,ID,"Gooding County, ID"
0.196694775,Idaho,Washington,Conventional,16087,Washington County,ID,"Washington County, ID"
0.191726781,Idaho,Power,Conventional,16077,Power County,ID,"Power County, ID"
0.194445903,Idaho,Lincoln,Conventional,16063,Lincoln County,ID,"Lincoln County, ID"
0.191443945,Idaho,Butte,Conventional,16023,Butte County,ID,"Butte County, ID"
0.091242511,Michigan,Macomb,Conventional,26099,Macomb County,MI,"Macomb County, MI"
0.092630475,Michigan,Genesee,Conventional,26049,Genesee County,MI,"Genesee County, MI"
0.091818029,Michigan,Lapeer,Conventional,26087,Lapeer County,MI,"Lapeer County, MI"
0.095300003,Michigan,Clinton,Conventional,26037,Clinton County,MI,"Clinton County, MI"
0.093535035,Michigan,Shiawassee,Conventional,26155,Shiawassee County,MI,"Shiawassee County, MI"
0.096531084,Michigan,Ionia,Conventional,26067,Ionia County,MI,"Ionia County, MI"
0.123256047,Michigan,Delta,Conventional,26041,Delta County,MI,"Delta County, MI"
0.119013045,Michigan,Mackinac,Conventional,26097,Mackinac County,MI,"Mackinac County, MI"
0.122791982,Michigan,Alger,Conventional,26003,Alger County,MI,"Alger County, MI"
0.121630394,Michigan,Schoolcraft,Conventional,26153,Schoolcraft County,MI,"Schoolcraft County, MI"
0.173812048,Minnesota,Stearns,Conventional,27145,Stearns County,MN,"Stearns County, MN"
0.199717059,Minnesota,Clay,Conventional,27027,Clay County,MN,"Clay County, MN"
0.178069711,Minnesota,Otter Tail,Conventional,27111,Otter Tail County,MN,"Otter Tail County, MN"
