True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.382466564,California,Fresno,Conventional,6019,Fresno County,CA,"Fresno County, CA"
0.359685416,California,Imperial,Conventional,6025,Imperial County,CA,"Imperial County, CA"
0.237348065,Colorado,Adams,Conventional,8001,Adams County,CO,"Adams County, CO"
0.240121741,Colorado,Larimer,Conventional,8069,Larimer County,CO,"Larimer County, CO"
0.240235937,Colorado,Boulder,Conventional,8013,Boulder County,CO,"Boulder County, CO"
0.231469118,Colorado,Morgan,Conventional,8087,Morgan County,CO,"Morgan County, CO"
0.226690603,Colorado,Logan,Conventional,8075,Logan County,CO,"Logan County, CO"
0.230973862,Colorado,Kit Carson,Conventional,8063,Kit Carson County,CO,"Kit Carson County, CO"
0.291878564,Idaho,Ada,Conventional,16001,Ada County,ID,"Ada County, ID"
0.294718193,Idaho,Canyon,Conventional,16027,Canyon County,ID,"Canyon County, ID"
0.28268916,Idaho,Twin Falls,Conventional,16083,Twin Falls County,ID,"Twin Falls County, ID"
0.26716891,Idaho,Bannock,Conventional,16005,Bannock County,ID,"Bannock County, ID"
0.271730026,Idaho,Bingham,Conventional,16011,Bingham County,ID,"Bingham County, ID"
0.290569892,Idaho,Elmore,Conventional,16039,Elmore County,ID,"Elmore County, ID"
0.297117526,Idaho,Payette,Conventional,16075,Payette County,ID,"Payette County, ID"
0.275530853,Idaho,Cassia,Conventional,16031,Cassia County,ID,"Cassia County, ID"
0.280021741,Idaho,Jerome,Conventional,16053,Jerome County,ID,"Jerome County, ID"
0.278308804,Idaho,Minidoka,Conventional,16067,Minidoka County,ID,"Minidoka County, ID"
0.297014322,Idaho,Gem,Conventional,16045,Gem County,ID,"Gem County, ID"
0.284469271,Idaho,Gooding,Conventional,16047,Gooding County,ID,"Gooding County, ID"
0.293720353,Idaho,Owyhee,Conventional,16073,Owyhee County,ID,"Owyhee County, ID"
0.300853622,Idaho,Washington,Conventional,16087,Washington County,ID,"Washington County, ID"
0.272829847,Idaho,Power,Conventional,16077,Power County,ID,"Power County, ID"
0.282736792,Idaho,Lincoln,Conventional,16063,Lincoln County,ID,"Lincoln County, ID"
0.278140258,Idaho,Butte,Conventional,16023,Butte County,ID,"Butte County, ID"
0.114487208,Michigan,Macomb,Conventional,26099,Macomb County,MI,"Macomb County, MI"
0.117427598,Michigan,Genesee,Conventional,26049,Genesee County,MI,"Genesee County, MI"
0.121129496,Michigan,Saginaw,Conventional,26145,Saginaw County,MI,"Saginaw County, MI"
0.122733123,Michigan,Bay,Conventional,26017,Bay County,MI,"Bay County, MI"
0.115441079,Michigan,Lapeer,Conventional,26087,Lapeer County,MI,"Lapeer County, MI"
0.124554149,Michigan,Midland,Conventional,26111,Midland County,MI,"Midland County, MI"
0.123197845,Michigan,Clinton,Conventional,26037,Clinton County,MI,"Clinton County, MI"
0.119758536,Michigan,Shiawassee,Conventional,26155,Shiawassee County,MI,"Shiawassee County, MI"
0.12656082,Michigan,Montcalm,Conventional,26117,Montcalm County,MI,"Montcalm County, MI"
0.125373672,Michigan,Ionia,Conventional,26067,Ionia County,MI,"Ionia County, MI"
0.126563263,Michigan,Isabella,Conventional,26073,Isabella County,MI,"Isabella County, MI"
0.119019622,Michigan,Tuscola,Conventional,26157,Tuscola County,MI,"Tuscola County, MI"
0.123726687,Michigan,Gratiot,Conventional,26057,Gratiot County,MI,"Gratiot County, MI"
0.115163833,Michigan,Sanilac,Conventional,26151,Sanilac County,MI,"Sanilac County, MI"
0.151797484,Michigan,Delta,Conventional,26041,Delta County,MI,"Delta County, MI"
0.118743597,Michigan,Huron,Conventional,26063,Huron County,MI,"Huron County, MI"
0.135695874,Michigan,Oceana,Conventional,26127,Oceana County,MI,"Oceana County, MI"
0.126457006,Michigan,Gladwin,Conventional,26051,Gladwin County,MI,"Gladwin County, MI"
0.127135463,Michigan,Ogemaw,Conventional,26129,Ogemaw County,MI,"Ogemaw County, MI"
0.12568939,Michigan,Arenac,Conventional,26011,Arenac County,MI,"Arenac County, MI"
0.142344269,Michigan,Mackinac,Conventional,26097,Mackinac County,MI,"Mackinac County, MI"
0.132913038,Michigan,Montmorency,Conventional,26119,Montmorency County,MI,"Montmorency County, MI"
0.15120391,Michigan,Alger,Conventional,26003,Alger County,MI,"Alger County, MI"
0.148306268,Michigan,Schoolcraft,Conventional,26153,Schoolcraft County,MI,"Schoolcraft County, MI"
0.238584473,Minnesota,Stearns,Conventional,27145,Stearns County,MN,"Stearns County, MN"
0.251869049,Minnesota,Clay,Conventional,27027,Clay County,MN,"Clay County, MN"
0.248100587,Minnesota,Otter Tail,Conventional,27111,Otter Tail County,MN,"Otter Tail County, MN"
0.238902634,Minnesota,Kandiyohi,Conventional,27067,Kandiyohi County,MN,"Kandiyohi County, MN"
0.236751844,Minnesota,Benton,Conventional,27009,Benton County,MN,"Benton County, MN"
0.243442986,Minnesota,Douglas,Conventional,27041,Douglas County,MN,"Douglas County, MN"
0.235427905,Minnesota,McLeod,Conventional,27085,McLeod County,MN,"McLeod County, MN"
0.249795205,Minnesota,Becker,Conventional,27005,Becker County,MN,"Becker County, MN"
0.233890231,Minnesota,Nicollet,Conventional,27103,Nicollet County,MN,"Nicollet County, MN"
0.258707974,Minnesota,Polk,Conventional,27119,Polk County,MN,"Polk County, MN"
0.236343304,Minnesota,Brown,Conventional,27015,Brown County,MN,"Brown County, MN"
0.241710507,Minnesota,Lyon,Conventional,27083,Lyon County,MN,"Lyon County, MN"
