True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.14403616,Florida,Broward,Conventional,12011,Broward County,FL,"Broward County, FL"
0.142510819,Florida,Palm Beach,Conventional,12099,Palm Beach County,FL,"Palm Beach County, FL"
0.137058006,Florida,Brevard,Conventional,12009,Brevard County,FL,"Brevard County, FL"
0.131373638,Florida,Volusia,Conventional,12127,Volusia County,FL,"Volusia County, FL"
0.136140307,Florida,Seminole,Conventional,12117,Seminole County,FL,"Seminole County, FL"
0.137165328,Florida,Lake,Conventional,12069,Lake County,FL,"Lake County, FL"
0.135906264,Florida,Marion,Conventional,12083,Marion County,FL,"Marion County, FL"
0.140907819,Florida,Martin,Conventional,12085,Martin County,FL,"Martin County, FL"
0.143426564,Florida,Hendry,Conventional,12051,Hendry County,FL,"Hendry County, FL"
0.141892,Florida,Glades,Conventional,12043,Glades County,FL,"Glades County, FL"
0.153251046,Texas,Cameron,Conventional,48061,Cameron County,TX,"Cameron County, TX"
0.150430745,Texas,Jefferson,Conventional,48245,Jefferson County,TX,"Jefferson County, TX"
0.149121319,Texas,Orange,Conventional,48361,Orange County,TX,"Orange County, TX"
0.154913009,Texas,Willacy,Conventional,48489,Willacy County,TX,"Willacy County, TX"
