True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.162531127,Florida,Broward,Conventional,12011,Broward County,FL,"Broward County, FL"
0.159871197,Florida,Palm Beach,Conventional,12099,Palm Beach County,FL,"Palm Beach County, FL"
0.152523996,Florida,Orange,Conventional,12095,Orange County,FL,"Orange County, FL"
0.150914112,Florida,Volusia,Conventional,12127,Volusia County,FL,"Volusia County, FL"
0.151684369,Florida,Seminole,Conventional,12117,Seminole County,FL,"Seminole County, FL"
0.149694091,Florida,Marion,Conventional,12083,Marion County,FL,"Marion County, FL"
0.159234727,Florida,Martin,Conventional,12085,Martin County,FL,"Martin County, FL"
0.156733541,Florida,Highlands,Conventional,12055,Highlands County,FL,"Highlands County, FL"
0.157927948,Florida,Okeechobee,Conventional,12093,Okeechobee County,FL,"Okeechobee County, FL"
0.146915852,Florida,Baker,Conventional,12003,Baker County,FL,"Baker County, FL"
0.14761874,Florida,Bradford,Conventional,12007,Bradford County,FL,"Bradford County, FL"
0.15007719,Florida,Taylor,Conventional,12123,Taylor County,FL,"Taylor County, FL"
0.166690382,Texas,Hidalgo,Conventional,48215,Hidalgo County,TX,"Hidalgo County, TX"
0.165293567,Texas,Cameron,Conventional,48061,Cameron County,TX,"Cameron County, TX"
0.139269629,Texas,Jefferson,Conventional,48245,Jefferson County,TX,"Jefferson County, TX"
0.139084504,Texas,Orange,Conventional,48361,Orange County,TX,"Orange County, TX"
0.154735004,Texas,Wharton,Conventional,48481,Wharton County,TX,"Wharton County, TX"
0.160819117,Texas,Jim Wells,Conventional,48249,Jim Wells County,TX,"Jim Wells County, TX"
0.16375533,Texas,Willacy,Conventional,48489,Willacy County,TX,"Willacy County, TX"
