True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.22507974,Florida,Broward,Conventional,12011,Broward County,FL,"Broward County, FL"
0.221546388,Florida,Palm Beach,Conventional,12099,Palm Beach County,FL,"Palm Beach County, FL"
0.206453609,Florida,Orange,Conventional,12095,Orange County,FL,"Orange County, FL"
0.207572362,Florida,Brevard,Conventional,12009,Brevard County,FL,"Brevard County, FL"
0.203037506,Florida,Volusia,Conventional,12127,Volusia County,FL,"Volusia County, FL"
0.205438671,Florida,Seminole,Conventional,12117,Seminole County,FL,"Seminole County, FL"
0.206622766,Florida,Lake,Conventional,12069,Lake County,FL,"Lake County, FL"
0.202038445,Florida,Marion,Conventional,12083,Marion County,FL,"Marion County, FL"
0.219762612,Florida,Charlotte,Conventional,12015,Charlotte County,FL,"Charlotte County, FL"
0.217243587,Florida,Martin,Conventional,12085,Martin County,FL,"Martin County, FL"
0.216115674,Florida,Highlands,Conventional,12055,Highlands County,FL,"Highlands County, FL"
0.22407213,Florida,Hendry,Conventional,12051,Hendry County,FL,"Hendry County, FL"
0.215832933,Florida,Okeechobee,Conventional,12093,Okeechobee County,FL,"Okeechobee County, FL"
0.196273694,Florida,Baker,Conventional,12003,Baker County,FL,"Baker County, FL"
0.196609564,Florida,Bradford,Conventional,12007,Bradford County,FL,"Bradford County, FL"
0.204816396,Florida,Taylor,Conventional,12123,Taylor County,FL,"Taylor County, FL"
0.219800474,Florida,Glades,Conventional,12043,Glades County,FL,"Glades County, FL"
0.268463053,Texas,Hidalgo,Conventional,48215,Hidalgo County,TX,"Hidalgo County, TX"
0.264272005,Texas,Cameron,Conventional,48061,Cameron County,TX,"Cameron County, TX"
0.228440168,Texas,Jefferson,Conventional,48245,Jefferson County,TX,"Jefferson County, TX"
0.225487565,Texas,Orange,Conventional,48361,Orange County,TX,"Orange County, TX"
0.268822128,Texas,Starr,Conventional,48427,Starr County,TX,"Starr County, TX"
0.237297366,Texas,Wharton,Conventional,48481,Wharton County,TX,"Wharton County, TX"
0.258057188,Texas,Jim Wells,Conventional,48249,Jim Wells County,TX,"Jim Wells County, TX"
0.261299861,Texas,Willacy,Conventional,48489,Willacy County,TX,"Willacy County, TX"
0.265499458,Texas,Zapata,Conventional,48505,Zapata County,TX,"Zapata County, TX"
