True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
4.813848118,California,Los Angeles,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
4.83444639,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
4.834295302,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
4.831626089,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
4.832180076,California,Sonoma,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
4.833136964,California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
4.82286301,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
4.835906903,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
4.840389167,California,Butte,Conventional,6007,Butte County,CA,"Butte County, CA"
4.838273941,California,Colusa,Conventional,6011,Colusa County,CA,"Colusa County, CA"
3.830693415,Idaho,Nez Perce,Conventional,16069,Nez Perce County,ID,"Nez Perce County, ID"
1.370867837,Kansas,Leavenworth,Conventional,20103,Leavenworth County,KS,"Leavenworth County, KS"
2.331580402,Minnesota,Ramsey,Conventional,27123,Ramsey County,MN,"Ramsey County, MN"
2.210576268,Minnesota,Cook,Conventional,27031,Cook County,MN,"Cook County, MN"
1.365633727,Texas,Montgomery,Conventional,48339,Montgomery County,TX,"Montgomery County, TX"
1.367446778,Texas,Cameron,Conventional,48061,Cameron County,TX,"Cameron County, TX"
1.368705841,Texas,Nueces,Conventional,48355,Nueces County,TX,"Nueces County, TX"
1.369108741,Texas,Willacy,Conventional,48489,Willacy County,TX,"Willacy County, TX"
0.594096134,Kansas,Leavenworth,Organic,20103,Leavenworth County,KS,"Leavenworth County, KS"
0.624642858,New York,Suffolk,Organic,36103,Suffolk County,NY,"Suffolk County, NY"
0.628276641,New York,Erie,Organic,36029,Erie County,NY,"Erie County, NY"
0.624499452,New York,Monroe,Organic,36055,Monroe County,NY,"Monroe County, NY"
0.621274235,New York,Onondaga,Organic,36067,Onondaga County,NY,"Onondaga County, NY"
0.617088479,New York,Orange,Organic,36071,Orange County,NY,"Orange County, NY"
0.613563103,New York,Albany,Organic,36001,Albany County,NY,"Albany County, NY"
0.618696564,New York,Oneida,Organic,36065,Oneida County,NY,"Oneida County, NY"
0.627219028,New York,Niagara,Organic,36063,Niagara County,NY,"Niagara County, NY"
0.615476879,New York,Ulster,Organic,36111,Ulster County,NY,"Ulster County, NY"
0.614066728,New York,Rensselaer,Organic,36083,Rensselaer County,NY,"Rensselaer County, NY"
0.629988967,New York,Chautauqua,Organic,36013,Chautauqua County,NY,"Chautauqua County, NY"
0.624320176,New York,Tompkins,Organic,36109,Tompkins County,NY,"Tompkins County, NY"
0.624340682,New York,Steuben,Organic,36101,Steuben County,NY,"Steuben County, NY"
0.622988577,New York,Wayne,Organic,36117,Wayne County,NY,"Wayne County, NY"
0.620061986,New York,Clinton,Organic,36019,Clinton County,NY,"Clinton County, NY"
0.622283501,New York,Cayuga,Organic,36011,Cayuga County,NY,"Cayuga County, NY"
0.614268178,New York,Columbia,Organic,36021,Columbia County,NY,"Columbia County, NY"
0.61531802,New York,Washington,Organic,36115,Washington County,NY,"Washington County, NY"
0.617173593,New York,Herkimer,Organic,36043,Herkimer County,NY,"Herkimer County, NY"
0.60977936,New York,Otsego,Organic,36077,Otsego County,NY,"Otsego County, NY"
0.615313644,New York,Montgomery,Organic,36057,Montgomery County,NY,"Montgomery County, NY"
0.531377301,Ohio,Hamilton,Organic,39061,Hamilton County,OH,"Hamilton County, OH"
0.512440993,Ohio,Darke,Organic,39037,Darke County,OH,"Darke County, OH"
0.468230381,Ohio,Ottawa,Organic,39123,Ottawa County,OH,"Ottawa County, OH"
0.462569594,Pennsylvania,Allegheny,Organic,42003,Allegheny County,PA,"Allegheny County, PA"
0.470484192,Pennsylvania,Erie,Organic,42049,Erie County,PA,"Erie County, PA"
0.461109081,Pennsylvania,Schuylkill,Organic,42107,Schuylkill County,PA,"Schuylkill County, PA"
1.018334667,Wisconsin,Milwaukee,Organic,55079,Milwaukee County,WI,"Milwaukee County, WI"
1.01898938,Wisconsin,Racine,Organic,55101,Racine County,WI,"Racine County, WI"
1.135662337,Wisconsin,La Crosse,Organic,55063,La Crosse County,WI,"La Crosse County, WI"
1.01339914,Wisconsin,Kewaunee,Organic,55061,Kewaunee County,WI,"Kewaunee County, WI"
1.023320557,Wisconsin,Bayfield,Organic,55007,Bayfield County,WI,"Bayfield County, WI"
1.132489498,Wisconsin,Crawford,Organic,55023,Crawford County,WI,"Crawford County, WI"
