True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
4.688569203,California,Los Angeles,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
4.686071206,California,Riverside,Conventional,6065,Riverside County,CA,"Riverside County, CA"
4.699404223,California,Santa Clara,Conventional,6085,Santa Clara County,CA,"Santa Clara County, CA"
4.693734222,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
4.695315415,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
4.699724622,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
4.69183964,California,Tulare,Conventional,6107,Tulare County,CA,"Tulare County, CA"
4.694847653,California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
4.696788285,California,Merced,Conventional,6047,Merced County,CA,"Merced County, CA"
4.700441449,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
4.693885274,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
4.689607883,California,Butte,Conventional,6007,Butte County,CA,"Butte County, CA"
4.683242349,California,Imperial,Conventional,6025,Imperial County,CA,"Imperial County, CA"
4.69252071,California,Kings,Conventional,6031,Kings County,CA,"Kings County, CA"
4.691868218,California,Sutter,Conventional,6101,Sutter County,CA,"Sutter County, CA"
4.690953411,California,Yuba,Conventional,6115,Yuba County,CA,"Yuba County, CA"
4.694879896,California,Tehama,Conventional,6103,Tehama County,CA,"Tehama County, CA"
1.620585156,Colorado,Arapahoe,Conventional,8005,Arapahoe County,CO,"Arapahoe County, CO"
1.620842449,Colorado,Adams,Conventional,8001,Adams County,CO,"Adams County, CO"
1.621203294,Colorado,Douglas,Conventional,8035,Douglas County,CO,"Douglas County, CO"
1.621093213,Colorado,Weld,Conventional,8123,Weld County,CO,"Weld County, CO"
1.620666699,Colorado,Boulder,Conventional,8013,Boulder County,CO,"Boulder County, CO"
1.631833215,Colorado,Mesa,Conventional,8077,Mesa County,CO,"Mesa County, CO"
1.634251617,Colorado,Montrose,Conventional,8085,Montrose County,CO,"Montrose County, CO"
1.634052504,Colorado,Delta,Conventional,8029,Delta County,CO,"Delta County, CO"
