True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
4.829583111,California,Los Angeles,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
4.819936923,California,Riverside,Conventional,6065,Riverside County,CA,"Riverside County, CA"
4.845658462,California,Santa Clara,Conventional,6085,Santa Clara County,CA,"Santa Clara County, CA"
4.834041633,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
4.837493156,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
4.844326584,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
4.843598662,California,Sonoma,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
4.838930069,California,Tulare,Conventional,6107,Tulare County,CA,"Tulare County, CA"
4.83657165,California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
4.845425795,California,Merced,Conventional,6047,Merced County,CA,"Merced County, CA"
4.842563572,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
4.835171378,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
4.835024816,California,Butte,Conventional,6007,Butte County,CA,"Butte County, CA"
4.828813052,California,El Dorado,Conventional,6017,El Dorado County,CA,"El Dorado County, CA"
4.819935091,California,Imperial,Conventional,6025,Imperial County,CA,"Imperial County, CA"
4.839640892,California,Kings,Conventional,6031,Kings County,CA,"Kings County, CA"
4.833045626,California,Sutter,Conventional,6101,Sutter County,CA,"Sutter County, CA"
4.830538203,California,Yuba,Conventional,6115,Yuba County,CA,"Yuba County, CA"
4.838955106,California,Tehama,Conventional,6103,Tehama County,CA,"Tehama County, CA"
4.838180163,California,Glenn,Conventional,6021,Glenn County,CA,"Glenn County, CA"
4.835557934,California,Colusa,Conventional,6011,Colusa County,CA,"Colusa County, CA"
1.709225721,Colorado,Arapahoe,Conventional,8005,Arapahoe County,CO,"Arapahoe County, CO"
1.707977506,Colorado,Adams,Conventional,8001,Adams County,CO,"Adams County, CO"
1.713883323,Colorado,Douglas,Conventional,8035,Douglas County,CO,"Douglas County, CO"
1.704734223,Colorado,Weld,Conventional,8123,Weld County,CO,"Weld County, CO"
1.710865378,Colorado,Boulder,Conventional,8013,Boulder County,CO,"Boulder County, CO"
1.733410196,Colorado,Mesa,Conventional,8077,Mesa County,CO,"Mesa County, CO"
1.7402479,Colorado,Montrose,Conventional,8085,Montrose County,CO,"Montrose County, CO"
1.733924383,Colorado,Delta,Conventional,8029,Delta County,CO,"Delta County, CO"
1.702098559,Colorado,Morgan,Conventional,8087,Morgan County,CO,"Morgan County, CO"
1.709958529,Colorado,Elbert,Conventional,8039,Elbert County,CO,"Elbert County, CO"
1.743913769,Colorado,Montezuma,Conventional,8083,Montezuma County,CO,"Montezuma County, CO"
1.697320044,Colorado,Logan,Conventional,8075,Logan County,CO,"Logan County, CO"
1.703238685,Colorado,Prowers,Conventional,8099,Prowers County,CO,"Prowers County, CO"
1.695396425,Colorado,Yuma,Conventional,8125,Yuma County,CO,"Yuma County, CO"
1.701603303,Colorado,Kit Carson,Conventional,8063,Kit Carson County,CO,"Kit Carson County, CO"
1.708450167,Colorado,Lincoln,Conventional,8073,Lincoln County,CO,"Lincoln County, CO"
1.709813189,Colorado,Bent,Conventional,8011,Bent County,CO,"Bent County, CO"
1.70229886,Colorado,Washington,Conventional,8121,Washington County,CO,"Washington County, CO"
1.695434897,Colorado,Phillips,Conventional,8095,Phillips County,CO,"Phillips County, CO"
1.70477697,Colorado,Baca,Conventional,8009,Baca County,CO,"Baca County, CO"
1.69346731,Colorado,Sedgwick,Conventional,8115,Sedgwick County,CO,"Sedgwick County, CO"
1.748469998,Colorado,Dolores,Conventional,8033,Dolores County,CO,"Dolores County, CO"
1.701169115,Colorado,Cheyenne,Conventional,8017,Cheyenne County,CO,"Cheyenne County, CO"
1.704601096,Colorado,Kiowa,Conventional,8061,Kiowa County,CO,"Kiowa County, CO"
3.756236661,Idaho,Canyon,Conventional,16027,Canyon County,ID,"Canyon County, ID"
3.765967732,Idaho,Nez Perce,Conventional,16069,Nez Perce County,ID,"Nez Perce County, ID"
3.765705143,Idaho,Idaho,Conventional,16049,Idaho County,ID,"Idaho County, ID"
3.760495493,Idaho,Boundary,Conventional,16021,Boundary County,ID,"Boundary County, ID"
3.755238822,Idaho,Owyhee,Conventional,16073,Owyhee County,ID,"Owyhee County, ID"
1.351600975,Kansas,Sedgwick,Conventional,20173,Sedgwick County,KS,"Sedgwick County, KS"
1.336535676,Kansas,Douglas,Conventional,20045,Douglas County,KS,"Douglas County, KS"
1.334927775,Kansas,Leavenworth,Conventional,20103,Leavenworth County,KS,"Leavenworth County, KS"
1.344915329,Kansas,Riley,Conventional,20161,Riley County,KS,"Riley County, KS"
1.353923363,Kansas,Reno,Conventional,20155,Reno County,KS,"Reno County, KS"
1.349889869,Kansas,Saline,Conventional,20169,Saline County,KS,"Saline County, KS"
1.339548736,Kansas,Crawford,Conventional,20037,Crawford County,KS,"Crawford County, KS"
1.367759377,Kansas,Finney,Conventional,20055,Finney County,KS,"Finney County, KS"
1.350509702,Kansas,Cowley,Conventional,20035,Cowley County,KS,"Cowley County, KS"
1.350246502,Kansas,Harvey,Conventional,20079,Harvey County,KS,"Harvey County, KS"
1.34246592,Kansas,Lyon,Conventional,20111,Lyon County,KS,"Lyon County, KS"
1.344101302,Kansas,Montgomery,Conventional,20125,Montgomery County,KS,"Montgomery County, KS"
1.35044436,Kansas,McPherson,Conventional,20113,McPherson County,KS,"McPherson County, KS"
1.357920217,Kansas,Ellis,Conventional,20051,Ellis County,KS,"Ellis County, KS"
1.337264209,Kansas,Franklin,Conventional,20059,Franklin County,KS,"Franklin County, KS"
1.343896116,Kansas,Pottawatomie,Conventional,20149,Pottawatomie County,KS,"Pottawatomie County, KS"
1.356177356,Kansas,Barton,Conventional,20009,Barton County,KS,"Barton County, KS"
1.354217097,Kansas,Sumner,Conventional,20191,Sumner County,KS,"Sumner County, KS"
1.371689056,Kansas,Seward,Conventional,20175,Seward County,KS,"Seward County, KS"
1.340428105,Kansas,Labette,Conventional,20099,Labette County,KS,"Labette County, KS"
1.337907248,Kansas,Cherokee,Conventional,20021,Cherokee County,KS,"Cherokee County, KS"
1.346839559,Kansas,Dickinson,Conventional,20041,Dickinson County,KS,"Dickinson County, KS"
1.339550568,Kansas,Osage,Conventional,20139,Osage County,KS,"Osage County, KS"
1.340983206,Kansas,Jackson,Conventional,20085,Jackson County,KS,"Jackson County, KS"
1.347560763,Kansas,Marion,Conventional,20115,Marion County,KS,"Marion County, KS"
1.340521538,Kansas,Nemaha,Conventional,20131,Nemaha County,KS,"Nemaha County, KS"
1.339201874,Kansas,Linn,Conventional,20107,Linn County,KS,"Linn County, KS"
1.33762817,Kansas,Brown,Conventional,20013,Brown County,KS,"Brown County, KS"
1.353372536,Kansas,Rice,Conventional,20159,Rice County,KS,"Rice County, KS"
1.351309684,Kansas,Cloud,Conventional,20029,Cloud County,KS,"Cloud County, KS"
1.368256465,Kansas,Thomas,Conventional,20193,Thomas County,KS,"Thomas County, KS"
1.339649497,Kansas,Anderson,Conventional,20003,Anderson County,KS,"Anderson County, KS"
1.355740725,Kansas,Kingman,Conventional,20095,Kingman County,KS,"Kingman County, KS"
1.372112253,Kansas,Grant,Conventional,20067,Grant County,KS,"Grant County, KS"
1.355480579,Kansas,Russell,Conventional,20167,Russell County,KS,"Russell County, KS"
1.352806443,Kansas,Ellsworth,Conventional,20053,Ellsworth County,KS,"Ellsworth County, KS"
1.37192844,Kansas,Sherman,Conventional,20181,Sherman County,KS,"Sherman County, KS"
1.3495998,Kansas,Ottawa,Conventional,20143,Ottawa County,KS,"Ottawa County, KS"
1.367532207,Kansas,Gray,Conventional,20069,Gray County,KS,"Gray County, KS"
1.345706761,Kansas,Washington,Conventional,20201,Washington County,KS,"Washington County, KS"
1.356570019,Kansas,Harper,Conventional,20077,Harper County,KS,"Harper County, KS"
1.344631976,Kansas,Morris,Conventional,20127,Morris County,KS,"Morris County, KS"
1.373731757,Kansas,Stevens,Conventional,20189,Stevens County,KS,"Stevens County, KS"
1.368006089,Kansas,Scott,Conventional,20171,Scott County,KS,"Scott County, KS"
1.357325421,Kansas,Phillips,Conventional,20147,Phillips County,KS,"Phillips County, KS"
1.360285352,Kansas,Rooks,Conventional,20163,Rooks County,KS,"Rooks County, KS"
1.348994623,Kansas,Republic,Conventional,20157,Republic County,KS,"Republic County, KS"
1.359851164,Kansas,Barber,Conventional,20007,Barber County,KS,"Barber County, KS"
1.371602341,Kansas,Kearny,Conventional,20093,Kearny County,KS,"Kearny County, KS"
1.369745896,Kansas,Haskell,Conventional,20081,Haskell County,KS,"Haskell County, KS"
1.355043948,Kansas,Smith,Conventional,20183,Smith County,KS,"Smith County, KS"
1.357798693,Kansas,Osborne,Conventional,20141,Osborne County,KS,"Osborne County, KS"
1.343535819,Kansas,Woodson,Conventional,20207,Woodson County,KS,"Woodson County, KS"
1.359018817,Kansas,Rush,Conventional,20165,Rush County,KS,"Rush County, KS"
1.352910868,Kansas,Lincoln,Conventional,20105,Lincoln County,KS,"Lincoln County, KS"
1.352082185,Kansas,Jewell,Conventional,20089,Jewell County,KS,"Jewell County, KS"
1.360699389,Kansas,Edwards,Conventional,20047,Edwards County,KS,"Edwards County, KS"
1.361757074,Kansas,Trego,Conventional,20195,Trego County,KS,"Trego County, KS"
1.36200745,Kansas,Decatur,Conventional,20039,Decatur County,KS,"Decatur County, KS"
1.365580496,Kansas,Gove,Conventional,20063,Gove County,KS,"Gove County, KS"
1.369357508,Kansas,Logan,Conventional,20109,Logan County,KS,"Logan County, KS"
1.377146029,Kansas,Morton,Conventional,20129,Morton County,KS,"Morton County, KS"
1.362844682,Kansas,Ness,Conventional,20135,Ness County,KS,"Ness County, KS"
1.367994486,Kansas,Cheyenne,Conventional,20023,Cheyenne County,KS,"Cheyenne County, KS"
1.345122347,Kansas,Chase,Conventional,20017,Chase County,KS,"Chase County, KS"
1.365072417,Kansas,Rawlins,Conventional,20153,Rawlins County,KS,"Rawlins County, KS"
