True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.443639064,California,Los Angeles,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
0.43955449,California,San Diego,Conventional,6073,San Diego County,CA,"San Diego County, CA"
0.443979445,California,Orange,Conventional,6059,Orange County,CA,"Orange County, CA"
0.46258695,California,Alameda,Conventional,6001,Alameda County,CA,"Alameda County, CA"
0.466841715,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
0.464912888,California,Contra Costa,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
0.447383257,California,Ventura,Conventional,6111,Ventura County,CA,"Ventura County, CA"
0.466671524,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
0.463664824,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
0.470756098,California,Stanislaus,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
0.464288856,California,Sonoma,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
0.465366729,California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
0.448971703,California,Santa Barbara,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
0.460090821,California,Monterey,Conventional,6053,Monterey County,CA,"Monterey County, CA"
0.453793769,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
0.46270041,California,Marin,Conventional,6041,Marin County,CA,"Marin County, CA"
0.46848689,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
0.473535878,California,Butte,Conventional,6007,Butte County,CA,"Butte County, CA"
0.464515777,California,Napa,Conventional,6055,Napa County,CA,"Napa County, CA"
0.475578165,California,Humboldt,Conventional,6023,Humboldt County,CA,"Humboldt County, CA"
0.478471405,California,Del Norte,Conventional,6015,Del Norte County,CA,"Del Norte County, CA"
0.47115321,California,Colusa,Conventional,6011,Colusa County,CA,"Colusa County, CA"
0.456217195,Florida,Broward,Conventional,12011,Broward County,FL,"Broward County, FL"
0.454498995,Florida,Palm Beach,Conventional,12099,Palm Beach County,FL,"Palm Beach County, FL"
