True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.31283297,California,Los Angeles,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
0.320373696,California,San Diego,Conventional,6073,San Diego County,CA,"San Diego County, CA"
0.316836186,California,Orange,Conventional,6059,Orange County,CA,"Orange County, CA"
0.309812305,California,Riverside,Conventional,6065,Riverside County,CA,"Riverside County, CA"
0.303606807,California,San Bernardino,Conventional,6071,San Bernardino County,CA,"San Bernardino County, CA"
0.325935052,California,Santa Clara,Conventional,6085,Santa Clara County,CA,"Santa Clara County, CA"
0.323739774,California,Alameda,Conventional,6001,Alameda County,CA,"Alameda County, CA"
0.319078691,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
0.322285136,California,Contra Costa,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
0.319637821,California,Fresno,Conventional,6019,Fresno County,CA,"Fresno County, CA"
0.312889903,California,Kern,Conventional,6029,Kern County,CA,"Kern County, CA"
0.318809643,California,Ventura,Conventional,6111,Ventura County,CA,"Ventura County, CA"
0.320990724,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
0.32632249,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
0.324524888,California,Stanislaus,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
0.316787696,California,Tulare,Conventional,6107,Tulare County,CA,"Tulare County, CA"
0.32042509,California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
0.321029415,California,Santa Barbara,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
0.331086671,California,Monterey,Conventional,6053,Monterey County,CA,"Monterey County, CA"
0.311503828,California,Placer,Conventional,6061,Placer County,CA,"Placer County, CA"
0.322771769,California,Merced,Conventional,6047,Merced County,CA,"Merced County, CA"
0.327189302,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
0.325604244,California,Santa Cruz,Conventional,6087,Santa Cruz County,CA,"Santa Cruz County, CA"
0.319261348,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
0.314088978,California,Butte,Conventional,6007,Butte County,CA,"Butte County, CA"
0.347238808,California,Shasta,Conventional,6089,Shasta County,CA,"Shasta County, CA"
0.306391554,California,Imperial,Conventional,6025,Imperial County,CA,"Imperial County, CA"
0.321194467,California,Madera,Conventional,6039,Madera County,CA,"Madera County, CA"
0.31761127,California,Kings,Conventional,6031,Kings County,CA,"Kings County, CA"
0.31104747,California,Nevada,Conventional,6057,Nevada County,CA,"Nevada County, CA"
0.316822254,California,Sutter,Conventional,6101,Sutter County,CA,"Sutter County, CA"
0.315716038,California,Yuba,Conventional,6115,Yuba County,CA,"Yuba County, CA"
0.320464079,California,Tehama,Conventional,6103,Tehama County,CA,"Tehama County, CA"
0.331763516,California,San Benito,Conventional,6069,San Benito County,CA,"San Benito County, CA"
0.343283998,California,Siskiyou,Conventional,6093,Siskiyou County,CA,"Siskiyou County, CA"
0.321141394,California,Amador,Conventional,6005,Amador County,CA,"Amador County, CA"
0.313966262,California,Lassen,Conventional,6035,Lassen County,CA,"Lassen County, CA"
0.310768748,California,Plumas,Conventional,6063,Plumas County,CA,"Plumas County, CA"
0.341944326,California,Modoc,Conventional,6049,Modoc County,CA,"Modoc County, CA"
0.309530439,California,Sierra,Conventional,6091,Sierra County,CA,"Sierra County, CA"
0.483277638,Florida,Broward,Conventional,12011,Broward County,FL,"Broward County, FL"
0.480061159,Florida,Palm Beach,Conventional,12099,Palm Beach County,FL,"Palm Beach County, FL"
0.473156187,Florida,Hillsborough,Conventional,12057,Hillsborough County,FL,"Hillsborough County, FL"
0.471176668,Florida,Orange,Conventional,12095,Orange County,FL,"Orange County, FL"
0.463423203,Florida,Duval,Conventional,12031,Duval County,FL,"Duval County, FL"
0.47557271,Florida,Pinellas,Conventional,12103,Pinellas County,FL,"Pinellas County, FL"
0.473658304,Florida,Polk,Conventional,12105,Polk County,FL,"Polk County, FL"
0.474711497,Florida,Pasco,Conventional,12101,Pasco County,FL,"Pasco County, FL"
0.46922994,Florida,Volusia,Conventional,12127,Volusia County,FL,"Volusia County, FL"
0.470161362,Florida,Seminole,Conventional,12117,Seminole County,FL,"Seminole County, FL"
0.475709443,Florida,Manatee,Conventional,12081,Manatee County,FL,"Manatee County, FL"
0.471993563,Florida,Osceola,Conventional,12097,Osceola County,FL,"Osceola County, FL"
0.467754648,Florida,Marion,Conventional,12083,Marion County,FL,"Marion County, FL"
0.464400233,Florida,Escambia,Conventional,12033,Escambia County,FL,"Escambia County, FL"
0.471281985,Florida,Leon,Conventional,12073,Leon County,FL,"Leon County, FL"
0.466957068,Florida,Alachua,Conventional,12001,Alachua County,FL,"Alachua County, FL"
0.46541678,Florida,Clay,Conventional,12019,Clay County,FL,"Clay County, FL"
0.467797678,Florida,Okaloosa,Conventional,12091,Okaloosa County,FL,"Okaloosa County, FL"
0.476207897,Florida,Hernando,Conventional,12053,Hernando County,FL,"Hernando County, FL"
0.466597531,Florida,Santa Rosa,Conventional,12113,Santa Rosa County,FL,"Santa Rosa County, FL"
0.479291516,Florida,Martin,Conventional,12085,Martin County,FL,"Martin County, FL"
0.470046867,Florida,Sumter,Conventional,12119,Sumter County,FL,"Sumter County, FL"
0.476266996,Florida,Highlands,Conventional,12055,Highlands County,FL,"Highlands County, FL"
