State,County,Method of production,County_fips,County_full,State_ac,concatenated
California,Los Angeles,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
California,San Diego,Conventional,6073,San Diego County,CA,"San Diego County, CA"
California,Orange,Conventional,6059,Orange County,CA,"Orange County, CA"
California,Riverside,Conventional,6065,Riverside County,CA,"Riverside County, CA"
California,San Bernardino,Conventional,6071,San Bernardino County,CA,"San Bernardino County, CA"
California,Santa Clara,Conventional,6085,Santa Clara County,CA,"Santa Clara County, CA"
California,Alameda,Conventional,6001,Alameda County,CA,"Alameda County, CA"
California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
California,Contra Costa,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
California,Fresno,Conventional,6019,Fresno County,CA,"Fresno County, CA"
California,Kern,Conventional,6029,Kern County,CA,"Kern County, CA"
California,Ventura,Conventional,6111,Ventura County,CA,"Ventura County, CA"
California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
California,Stanislaus,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
California,Sonoma,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
California,Tulare,Conventional,6107,Tulare County,CA,"Tulare County, CA"
California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
California,Santa Barbara,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
California,Monterey,Conventional,6053,Monterey County,CA,"Monterey County, CA"
California,Placer,Conventional,6061,Placer County,CA,"Placer County, CA"
California,Merced,Conventional,6047,Merced County,CA,"Merced County, CA"
California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
California,Santa Cruz,Conventional,6087,Santa Cruz County,CA,"Santa Cruz County, CA"
California,Marin,Conventional,6041,Marin County,CA,"Marin County, CA"
California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
California,Butte,Conventional,6007,Butte County,CA,"Butte County, CA"
California,El Dorado,Conventional,6017,El Dorado County,CA,"El Dorado County, CA"
California,Shasta,Conventional,6089,Shasta County,CA,"Shasta County, CA"
California,Imperial,Conventional,6025,Imperial County,CA,"Imperial County, CA"
California,Madera,Conventional,6039,Madera County,CA,"Madera County, CA"
California,Kings,Conventional,6031,Kings County,CA,"Kings County, CA"
California,Napa,Conventional,6055,Napa County,CA,"Napa County, CA"
California,Humboldt,Conventional,6023,Humboldt County,CA,"Humboldt County, CA"
California,Nevada,Conventional,6057,Nevada County,CA,"Nevada County, CA"
California,Sutter,Conventional,6101,Sutter County,CA,"Sutter County, CA"
California,Mendocino,Conventional,6045,Mendocino County,CA,"Mendocino County, CA"
California,Yuba,Conventional,6115,Yuba County,CA,"Yuba County, CA"
California,Lake,Conventional,6033,Lake County,CA,"Lake County, CA"
California,Tehama,Conventional,6103,Tehama County,CA,"Tehama County, CA"
California,San Benito,Conventional,6069,San Benito County,CA,"San Benito County, CA"
California,Tuolumne,Conventional,6109,Tuolumne County,CA,"Tuolumne County, CA"
California,Calaveras,Conventional,6009,Calaveras County,CA,"Calaveras County, CA"
California,Siskiyou,Conventional,6093,Siskiyou County,CA,"Siskiyou County, CA"
California,Amador,Conventional,6005,Amador County,CA,"Amador County, CA"
California,Lassen,Conventional,6035,Lassen County,CA,"Lassen County, CA"
California,Glenn,Conventional,6021,Glenn County,CA,"Glenn County, CA"
California,Del Norte,Conventional,6015,Del Norte County,CA,"Del Norte County, CA"
California,Colusa,Conventional,6011,Colusa County,CA,"Colusa County, CA"
California,Plumas,Conventional,6063,Plumas County,CA,"Plumas County, CA"
California,Inyo,Conventional,6027,Inyo County,CA,"Inyo County, CA"
California,Mariposa,Conventional,6043,Mariposa County,CA,"Mariposa County, CA"
California,Trinity,Conventional,6105,Trinity County,CA,"Trinity County, CA"
California,Mono,Conventional,6051,Mono County,CA,"Mono County, CA"
California,Modoc,Conventional,6049,Modoc County,CA,"Modoc County, CA"
California,Sierra,Conventional,6091,Sierra County,CA,"Sierra County, CA"
Florida,Broward,Conventional,12011,Broward County,FL,"Broward County, FL"
Florida,Palm Beach,Conventional,12099,Palm Beach County,FL,"Palm Beach County, FL"
Florida,Hillsborough,Conventional,12057,Hillsborough County,FL,"Hillsborough County, FL"
Florida,Orange,Conventional,12095,Orange County,FL,"Orange County, FL"
Florida,Duval,Conventional,12031,Duval County,FL,"Duval County, FL"
Florida,Pinellas,Conventional,12103,Pinellas County,FL,"Pinellas County, FL"
Florida,Lee,Conventional,12071,Lee County,FL,"Lee County, FL"
Florida,Polk,Conventional,12105,Polk County,FL,"Polk County, FL"
Florida,Brevard,Conventional,12009,Brevard County,FL,"Brevard County, FL"
Florida,Pasco,Conventional,12101,Pasco County,FL,"Pasco County, FL"
Florida,Volusia,Conventional,12127,Volusia County,FL,"Volusia County, FL"
Florida,Seminole,Conventional,12117,Seminole County,FL,"Seminole County, FL"
Florida,Sarasota,Conventional,12115,Sarasota County,FL,"Sarasota County, FL"
