True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
3.1734149,Alabama,Mobile County,Winter/Conventional,1097,Mobile County,AL,"Mobile County, AL"
2.955973097,Alabama,Morgan County,Winter/Conventional,1103,Morgan County,AL,"Morgan County, AL"
2.930327856,Alabama,Marshall County,Winter/Conventional,1095,Marshall County,AL,"Marshall County, AL"
2.881424592,Alabama,Lauderdale County,Winter/Conventional,1077,Lauderdale County,AL,"Lauderdale County, AL"
2.916615187,Alabama,Colbert County,Winter/Conventional,1033,Colbert County,AL,"Colbert County, AL"
2.855607706,Alabama,Jackson County,Winter/Conventional,1071,Jackson County,AL,"Jackson County, AL"
5.474825556,Arkansas,Phillips County,Winter/Conventional,5107,Phillips County,AR,"Phillips County, AR"
4.684359113,California,Los Angeles County,Winter/Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
4.164509009,California,San Diego County,Winter/Conventional,6073,San Diego County,CA,"San Diego County, CA"
4.286455776,California,Alameda County,Winter/Conventional,6001,Alameda County,CA,"Alameda County, CA"
4.130006117,California,Sacramento County,Winter/Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
4.108914365,California,Contra Costa County,Winter/Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
4.178016802,California,Ventura County,Winter/Conventional,6111,Ventura County,CA,"Ventura County, CA"
3.889438268,California,San Joaquin County,Winter/Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
4.350790123,California,Stanislaus County,Winter/Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
4.474935298,California,Sonoma County,Winter/Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
4.872470514,California,Solano County,Winter/Conventional,6095,Solano County,CA,"Solano County, CA"
4.159209263,California,Santa Barbara County,Winter/Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
4.165895934,California,Monterey County,Winter/Conventional,6053,Monterey County,CA,"Monterey County, CA"
4.26979036,California,San Luis Obispo County,Winter/Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
4.150709408,California,Marin County,Winter/Conventional,6041,Marin County,CA,"Marin County, CA"
4.785583729,California,Yolo County,Winter/Conventional,6113,Yolo County,CA,"Yolo County, CA"
4.143733886,California,Butte County,Winter/Conventional,6007,Butte County,CA,"Butte County, CA"
4.150274286,California,Napa County,Winter/Conventional,6055,Napa County,CA,"Napa County, CA"
4.356127749,California,Humboldt County,Winter/Conventional,6023,Humboldt County,CA,"Humboldt County, CA"
4.249936079,California,Colusa County,Winter/Conventional,6011,Colusa County,CA,"Colusa County, CA"
2.778972989,Delaware,New Castle County,Winter/Conventional,10003,New Castle County,DE,"New Castle County, DE"
2.877458173,Delaware,Sussex County,Winter/Conventional,10005,Sussex County,DE,"Sussex County, DE"
2.839358417,Delaware,Kent County,Winter/Conventional,10001,Kent County,DE,"Kent County, DE"
2.829018335,Idaho,Nez Perce County,Winter/Conventional,16069,Nez Perce County,ID,"Nez Perce County, ID"
4.820395114,Illinois,Cook County,Winter/Conventional,17031,Cook County,IL,"Cook County, IL"
6.372440969,Illinois,Lake County,Winter/Conventional,17097,Lake County,IL,"Lake County, IL"
4.748992946,Illinois,Will County,Winter/Conventional,17197,Will County,IL,"Will County, IL"
3.977574007,Illinois,Madison County,Winter/Conventional,17119,Madison County,IL,"Madison County, IL"
4.86902684,Illinois,Peoria County,Winter/Conventional,17143,Peoria County,IL,"Peoria County, IL"
4.334218366,Illinois,Tazewell County,Winter/Conventional,17179,Tazewell County,IL,"Tazewell County, IL"
4.754093503,Illinois,LaSalle County,Winter/Conventional,17099,LaSalle County,IL,"LaSalle County, IL"
4.788417771,Illinois,Adams County,Winter/Conventional,17001,Adams County,IL,"Adams County, IL"
4.84390815,Illinois,Jackson County,Winter/Conventional,17077,Jackson County,IL,"Jackson County, IL"
4.742755649,Illinois,Saline County,Winter/Conventional,17165,Saline County,IL,"Saline County, IL"
4.049084036,Illinois,Jersey County,Winter/Conventional,17083,Jersey County,IL,"Jersey County, IL"
3.519635931,Illinois,Pike County,Winter/Conventional,17149,Pike County,IL,"Pike County, IL"
5.286692214,Illinois,Cass County,Winter/Conventional,17017,Cass County,IL,"Cass County, IL"
5.099538718,Illinois,Putnam County,Winter/Conventional,17155,Putnam County,IL,"Putnam County, IL"
5.753780046,Illinois,Alexander County,Winter/Conventional,17003,Alexander County,IL,"Alexander County, IL"
4.799210558,Illinois,Scott County,Winter/Conventional,17171,Scott County,IL,"Scott County, IL"
5.118619084,Illinois,Calhoun County,Winter/Conventional,17013,Calhoun County,IL,"Calhoun County, IL"
2.746851253,Indiana,Lake County,Winter/Conventional,18089,Lake County,IN,"Lake County, IN"
3.549463143,Indiana,Vanderburgh County,Winter/Conventional,18163,Vanderburgh County,IN,"Vanderburgh County, IN"
