True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.744068413,California,Los Angeles County,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
0.740442312,California,San Diego County,Conventional,6073,San Diego County,CA,"San Diego County, CA"
0.744370588,California,Orange County,Conventional,6059,Orange County,CA,"Orange County, CA"
0.760889495,California,Alameda County,Conventional,6001,Alameda County,CA,"Alameda County, CA"
0.764666685,California,Sacramento County,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
0.762954359,California,Contra Costa County,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
0.760738408,California,San Francisco County,Conventional,6075,San Francisco County,CA,"San Francisco County, CA"
0.74739234,California,Ventura County,Conventional,6111,Ventura County,CA,"Ventura County, CA"
0.764515597,California,San Joaquin County,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
0.761846383,California,San Mateo County,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
0.768141699,California,Stanislaus County,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
0.762400371,California,Sonoma County,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
0.763357259,California,Solano County,Conventional,6095,Solano County,CA,"Solano County, CA"
0.74880249,California,Santa Barbara County,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
0.758673545,California,Monterey County,Conventional,6053,Monterey County,CA,"Monterey County, CA"
0.753083305,California,San Luis Obispo County,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
0.760990221,California,Marin County,Conventional,6041,Marin County,CA,"Marin County, CA"
0.766127198,California,Yolo County,Conventional,6113,Yolo County,CA,"Yolo County, CA"
0.770609462,California,Butte County,Conventional,6007,Butte County,CA,"Butte County, CA"
0.762601821,California,Napa County,Conventional,6055,Napa County,CA,"Napa County, CA"
0.772422513,California,Humboldt County,Conventional,6023,Humboldt County,CA,"Humboldt County, CA"
0.774991002,California,Del Norte County,Conventional,6015,Del Norte County,CA,"Del Norte County, CA"
0.768494236,California,Colusa County,Conventional,6011,Colusa County,CA,"Colusa County, CA"
0.25597159,Michigan,Wayne County,Conventional,26163,Wayne County,MI,"Wayne County, MI"
0.261705235,Michigan,Oakland County,Conventional,26125,Oakland County,MI,"Oakland County, MI"
0.257625871,Michigan,Macomb County,Conventional,26099,Macomb County,MI,"Macomb County, MI"
0.262913935,Michigan,Ottawa County,Conventional,26139,Ottawa County,MI,"Ottawa County, MI"
0.253949406,Michigan,Saginaw County,Conventional,26145,Saginaw County,MI,"Saginaw County, MI"
0.262259223,Michigan,Muskegon County,Conventional,26121,Muskegon County,MI,"Muskegon County, MI"
0.254712527,Michigan,Monroe County,Conventional,26115,Monroe County,MI,"Monroe County, MI"
