True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.627944636,California,Los Angeles County,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
0.634638954,California,San Diego County,Conventional,6073,San Diego County,CA,"San Diego County, CA"
0.631498511,California,Orange County,Conventional,6059,Orange County,CA,"Orange County, CA"
0.625263025,California,Riverside County,Conventional,6065,Riverside County,CA,"Riverside County, CA"
0.619754062,California,San Bernardino County,Conventional,6071,San Bernardino County,CA,"San Bernardino County, CA"
0.639576076,California,Santa Clara County,Conventional,6085,Santa Clara County,CA,"Santa Clara County, CA"
0.637627206,California,Alameda County,Conventional,6001,Alameda County,CA,"Alameda County, CA"
0.633489306,California,Sacramento County,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
0.636335845,California,Contra Costa County,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
0.633985677,California,Fresno County,Conventional,6019,Fresno County,CA,"Fresno County, CA"
0.627995179,California,Kern County,Conventional,6029,Kern County,CA,"Kern County, CA"
0.641100306,California,San Francisco County,Conventional,6075,San Francisco County,CA,"San Francisco County, CA"
0.633250458,California,Ventura County,Conventional,6111,Ventura County,CA,"Ventura County, CA"
0.635186724,California,San Joaquin County,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
0.639920026,California,San Mateo County,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
0.638324196,California,Stanislaus County,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
0.631455464,California,Tulare County,Conventional,6107,Tulare County,CA,"Tulare County, CA"
0.63468458,California,Solano County,Conventional,6095,Solano County,CA,"Solano County, CA"
0.635221072,California,Santa Barbara County,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
0.644149452,California,Monterey County,Conventional,6053,Monterey County,CA,"Monterey County, CA"
0.626764683,California,Placer County,Conventional,6061,Placer County,CA,"Placer County, CA"
0.636767855,California,Merced County,Conventional,6047,Merced County,CA,"Merced County, CA"
0.640689543,California,San Luis Obispo County,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
0.6392824,California,Santa Cruz County,Conventional,6087,Santa Cruz County,CA,"Santa Cruz County, CA"
0.633651461,California,Yolo County,Conventional,6113,Yolo County,CA,"Yolo County, CA"
0.629059663,California,Butte County,Conventional,6007,Butte County,CA,"Butte County, CA"
0.658488594,California,Shasta County,Conventional,6089,Shasta County,CA,"Shasta County, CA"
0.622226236,California,Imperial County,Conventional,6025,Imperial County,CA,"Imperial County, CA"
0.635367598,California,Madera County,Conventional,6039,Madera County,CA,"Madera County, CA"
0.632186596,California,Kings County,Conventional,6031,Kings County,CA,"Kings County, CA"
0.626359549,California,Nevada County,Conventional,6057,Nevada County,CA,"Nevada County, CA"
0.631486143,California,Sutter County,Conventional,6101,Sutter County,CA,"Sutter County, CA"
0.630504094,California,Yuba County,Conventional,6115,Yuba County,CA,"Yuba County, CA"
0.634719192,California,Tehama County,Conventional,6103,Tehama County,CA,"Tehama County, CA"
0.644750325,California,San Benito County,Conventional,6069,San Benito County,CA,"San Benito County, CA"
0.654977692,California,Siskiyou County,Conventional,6093,Siskiyou County,CA,"Siskiyou County, CA"
0.635320482,California,Amador County,Conventional,6005,Amador County,CA,"Amador County, CA"
0.628950722,California,Lassen County,Conventional,6035,Lassen County,CA,"Lassen County, CA"
0.626112112,California,Plumas County,Conventional,6063,Plumas County,CA,"Plumas County, CA"
0.653788391,California,Modoc County,Conventional,6049,Modoc County,CA,"Modoc County, CA"
0.625012797,California,Sierra County,Conventional,6091,Sierra County,CA,"Sierra County, CA"
0.244500159,Michigan,Wayne County,Conventional,26163,Wayne County,MI,"Wayne County, MI"
0.246116577,Michigan,Oakland County,Conventional,26125,Oakland County,MI,"Oakland County, MI"
0.242043523,Michigan,Macomb County,Conventional,26099,Macomb County,MI,"Macomb County, MI"
0.249307474,Michigan,Kent County,Conventional,26081,Kent County,MI,"Kent County, MI"
0.243533508,Michigan,Genesee County,Conventional,26049,Genesee County,MI,"Genesee County, MI"
0.245655316,Michigan,Washtenaw County,Conventional,26161,Washtenaw County,MI,"Washtenaw County, MI"
0.250726505,Michigan,Ottawa County,Conventional,26139,Ottawa County,MI,"Ottawa County, MI"
0.246920076,Michigan,Ingham County,Conventional,26065,Ingham County,MI,"Ingham County, MI"
0.24924342,Michigan,Kalamazoo County,Conventional,26077,Kalamazoo County,MI,"Kalamazoo County, MI"
0.246490357,Michigan,Livingston County,Conventional,26093,Livingston County,MI,"Livingston County, MI"
0.24744053,Michigan,Jackson County,Conventional,26075,Jackson County,MI,"Jackson County, MI"
0.245892402,Michigan,Monroe County,Conventional,26115,Monroe County,MI,"Monroe County, MI"
0.255543336,Michigan,Berrien County,Conventional,26021,Berrien County,MI,"Berrien County, MI"
0.248945057,Michigan,Calhoun County,Conventional,26025,Calhoun County,MI,"Calhoun County, MI"
0.250742217,Michigan,Allegan County,Conventional,26005,Allegan County,MI,"Allegan County, MI"
0.246743843,Michigan,Eaton County,Conventional,26045,Eaton County,MI,"Eaton County, MI"
0.246786901,Michigan,Lenawee County,Conventional,26091,Lenawee County,MI,"Lenawee County, MI"
0.242661344,Michigan,Lapeer County,Conventional,26087,Lapeer County,MI,"Lapeer County, MI"
0.246399258,Michigan,Clinton County,Conventional,26037,Clinton County,MI,"Clinton County, MI"
0.251987336,Michigan,Van Buren County,Conventional,26159,Van Buren County,MI,"Van Buren County, MI"
0.244504558,Michigan,Shiawassee County,Conventional,26155,Shiawassee County,MI,"Shiawassee County, MI"
0.247720829,Michigan,Ionia County,Conventional,26067,Ionia County,MI,"Ionia County, MI"
0.279564575,Michigan,Marquette County,Conventional,26103,Marquette County,MI,"Marquette County, MI"
0.247636673,Michigan,Barry County,Conventional,26015,Barry County,MI,"Barry County, MI"
0.250543115,Michigan,Cass County,Conventional,26027,Cass County,MI,"Cass County, MI"
0.276410191,Michigan,Delta County,Conventional,26041,Delta County,MI,"Delta County, MI"
0.270389239,Michigan,Chippewa County,Conventional,26033,Chippewa County,MI,"Chippewa County, MI"
0.279155084,Michigan,Dickinson County,Conventional,26043,Dickinson County,MI,"Dickinson County, MI"
0.278396828,Michigan,Menominee County,Conventional,26109,Menominee County,MI,"Menominee County, MI"
0.291056343,Michigan,Gogebic County,Conventional,26053,Gogebic County,MI,"Gogebic County, MI"
0.27185531,Michigan,Mackinac County,Conventional,26097,Mackinac County,MI,"Mackinac County, MI"
0.275912015,Michigan,Alger County,Conventional,26003,Alger County,MI,"Alger County, MI"
0.281689773,Michigan,Baraga County,Conventional,26013,Baraga County,MI,"Baraga County, MI"
0.274665045,Michigan,Schoolcraft County,Conventional,26153,Schoolcraft County,MI,"Schoolcraft County, MI"
0.291467937,Michigan,Ontonagon County,Conventional,26131,Ontonagon County,MI,"Ontonagon County, MI"
0.272911581,Michigan,Luce County,Conventional,26095,Luce County,MI,"Luce County, MI"
0.154957558,New York,Kings County,Conventional,36047,Kings County,NY,"Kings County, NY"
0.154694189,New York,Queens County,Conventional,36081,Queens County,NY,"Queens County, NY"
0.154391278,New York,New York County,Conventional,36061,New York County,NY,"New York County, NY"
0.154409135,New York,Bronx County,Conventional,36005,Bronx County,NY,"Bronx County, NY"
0.153043289,New York,Westchester County,Conventional,36119,Westchester County,NY,"Westchester County, NY"
0.149774499,New York,Erie County,Conventional,36029,Erie County,NY,"Erie County, NY"
0.14723358,New York,Monroe County,Conventional,36055,Monroe County,NY,"Monroe County, NY"
0.142749726,New York,Onondaga County,Conventional,36067,Onondaga County,NY,"Onondaga County, NY"
0.159181975,New York,Orange County,Conventional,36071,Orange County,NY,"Orange County, NY"
0.15558065,New York,Rockland County,Conventional,36087,Rockland County,NY,"Rockland County, NY"
0.147618772,New York,Albany County,Conventional,36001,Albany County,NY,"Albany County, NY"
0.15098162,New York,Dutchess County,Conventional,36027,Dutchess County,NY,"Dutchess County, NY"
0.147607107,New York,Saratoga County,Conventional,36091,Saratoga County,NY,"Saratoga County, NY"
0.142358438,New York,Oneida County,Conventional,36065,Oneida County,NY,"Oneida County, NY"
0.150906392,New York,Niagara County,Conventional,36063,Niagara County,NY,"Niagara County, NY"
0.152272995,New York,Broome County,Conventional,36007,Broome County,NY,"Broome County, NY"
0.150014368,New York,Ulster County,Conventional,36111,Ulster County,NY,"Ulster County, NY"
0.147674634,New York,Rensselaer County,Conventional,36083,Rensselaer County,NY,"Rensselaer County, NY"
0.146948781,New York,Schenectady County,Conventional,36093,Schenectady County,NY,"Schenectady County, NY"
0.155514655,New York,Chautauqua County,Conventional,36013,Chautauqua County,NY,"Chautauqua County, NY"
0.143763952,New York,Oswego County,Conventional,36075,Oswego County,NY,"Oswego County, NY"
0.146037977,New York,Jefferson County,Conventional,36045,Jefferson County,NY,"Jefferson County, NY"
0.145692606,New York,Ontario County,Conventional,36069,Ontario County,NY,"Ontario County, NY"
0.151711974,New York,Tompkins County,Conventional,36109,Tompkins County,NY,"Tompkins County, NY"
0.152123885,New York,Putnam County,Conventional,36079,Putnam County,NY,"Putnam County, NY"
0.149733936,New York,Steuben County,Conventional,36101,Steuben County,NY,"Steuben County, NY"
0.144558968,New York,Wayne County,Conventional,36117,Wayne County,NY,"Wayne County, NY"
0.14870176,New York,Chemung County,Conventional,36015,Chemung County,NY,"Chemung County, NY"
