True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.897636023,California,Los Angeles County,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
0.897224159,California,San Diego County,Conventional,6073,San Diego County,CA,"San Diego County, CA"
0.898087774,California,Orange County,Conventional,6059,Orange County,CA,"Orange County, CA"
0.88298333,California,Riverside County,Conventional,6065,Riverside County,CA,"Riverside County, CA"
0.880163363,California,San Bernardino County,Conventional,6071,San Bernardino County,CA,"San Bernardino County, CA"
0.922054704,California,Santa Clara County,Conventional,6085,Santa Clara County,CA,"Santa Clara County, CA"
0.916257076,California,Alameda County,Conventional,6001,Alameda County,CA,"Alameda County, CA"
0.90440858,California,Sacramento County,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
0.913814651,California,Contra Costa County,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
0.917585429,California,Fresno County,Conventional,6019,Fresno County,CA,"Fresno County, CA"
0.899037657,California,Kern County,Conventional,6029,Kern County,CA,"Kern County, CA"
0.915773786,California,San Francisco County,Conventional,6075,San Francisco County,CA,"San Francisco County, CA"
0.904277785,California,Ventura County,Conventional,6111,Ventura County,CA,"Ventura County, CA"
0.909651491,California,San Joaquin County,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
0.920031564,California,San Mateo County,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
0.914168075,California,Stanislaus County,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
0.91892584,California,Sonoma County,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
0.911834182,California,Tulare County,Conventional,6107,Tulare County,CA,"Tulare County, CA"
0.908251711,California,Solano County,Conventional,6095,Solano County,CA,"Solano County, CA"
0.917428661,California,Santa Barbara County,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
0.92606388,California,Monterey County,Conventional,6053,Monterey County,CA,"Monterey County, CA"
0.901115527,California,Placer County,Conventional,6061,Placer County,CA,"Placer County, CA"
0.921701281,California,Merced County,Conventional,6047,Merced County,CA,"Merced County, CA"
0.917353523,California,San Luis Obispo County,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
0.923386767,California,Santa Cruz County,Conventional,6087,Santa Cruz County,CA,"Santa Cruz County, CA"
0.916049289,California,Marin County,Conventional,6041,Marin County,CA,"Marin County, CA"
0.906124678,California,Yolo County,Conventional,6113,Yolo County,CA,"Yolo County, CA"
0.905902049,California,Butte County,Conventional,6007,Butte County,CA,"Butte County, CA"
0.896466293,California,El Dorado County,Conventional,6017,El Dorado County,CA,"El Dorado County, CA"
0.911439015,California,Shasta County,Conventional,6089,Shasta County,CA,"Shasta County, CA"
0.882980547,California,Imperial County,Conventional,6025,Imperial County,CA,"Imperial County, CA"
0.905018026,California,Madera County,Conventional,6039,Madera County,CA,"Madera County, CA"
0.912913932,California,Kings County,Conventional,6031,Kings County,CA,"Kings County, CA"
0.912172763,California,Napa County,Conventional,6055,Napa County,CA,"Napa County, CA"
0.936325217,California,Humboldt County,Conventional,6023,Humboldt County,CA,"Humboldt County, CA"
0.893157471,California,Nevada County,Conventional,6057,Nevada County,CA,"Nevada County, CA"
0.902895631,California,Sutter County,Conventional,6101,Sutter County,CA,"Sutter County, CA"
0.920732845,California,Mendocino County,Conventional,6045,Mendocino County,CA,"Mendocino County, CA"
0.899086821,California,Yuba County,Conventional,6115,Yuba County,CA,"Yuba County, CA"
0.914206107,California,Lake County,Conventional,6033,Lake County,CA,"Lake County, CA"
0.911872214,California,Tehama County,Conventional,6103,Tehama County,CA,"Tehama County, CA"
0.926927494,California,San Benito County,Conventional,6069,San Benito County,CA,"San Benito County, CA"
0.902386367,California,Tuolumne County,Conventional,6109,Tuolumne County,CA,"Tuolumne County, CA"
0.902625693,California,Calaveras County,Conventional,6009,Calaveras County,CA,"Calaveras County, CA"
0.91877,California,Siskiyou County,Conventional,6093,Siskiyou County,CA,"Siskiyou County, CA"
0.89931316,California,Amador County,Conventional,6005,Amador County,CA,"Amador County, CA"
0.898789055,California,Lassen County,Conventional,6035,Lassen County,CA,"Lassen County, CA"
0.910695064,California,Glenn County,Conventional,6021,Glenn County,CA,"Glenn County, CA"
0.929982148,California,Del Norte County,Conventional,6015,Del Norte County,CA,"Del Norte County, CA"
0.906711861,California,Colusa County,Conventional,6011,Colusa County,CA,"Colusa County, CA"
0.894961693,California,Plumas County,Conventional,6063,Plumas County,CA,"Plumas County, CA"
0.889014718,California,Inyo County,Conventional,6027,Inyo County,CA,"Inyo County, CA"
0.901598817,California,Mariposa County,Conventional,6043,Mariposa County,CA,"Mariposa County, CA"
0.92198235,California,Trinity County,Conventional,6105,Trinity County,CA,"Trinity County, CA"
0.883900746,California,Mono County,Conventional,6051,Mono County,CA,"Mono County, CA"
0.893810516,California,Modoc County,Conventional,6049,Modoc County,CA,"Modoc County, CA"
0.893896785,California,Sierra County,Conventional,6091,Sierra County,CA,"Sierra County, CA"
0.89279941,California,Alpine County,Conventional,6003,Alpine County,CA,"Alpine County, CA"
0.289655632,Michigan,Wayne County,Conventional,26163,Wayne County,MI,"Wayne County, MI"
0.28920388,Michigan,Oakland County,Conventional,26125,Oakland County,MI,"Oakland County, MI"
0.285509168,Michigan,Macomb County,Conventional,26099,Macomb County,MI,"Macomb County, MI"
0.306686744,Michigan,Kent County,Conventional,26081,Kent County,MI,"Kent County, MI"
0.289975661,Michigan,Genesee County,Conventional,26049,Genesee County,MI,"Genesee County, MI"
0.294399483,Michigan,Washtenaw County,Conventional,26161,Washtenaw County,MI,"Washtenaw County, MI"
0.309037334,Michigan,Ottawa County,Conventional,26139,Ottawa County,MI,"Ottawa County, MI"
0.297746337,Michigan,Ingham County,Conventional,26065,Ingham County,MI,"Ingham County, MI"
0.307488208,Michigan,Kalamazoo County,Conventional,26077,Kalamazoo County,MI,"Kalamazoo County, MI"
0.294769603,Michigan,Livingston County,Conventional,26093,Livingston County,MI,"Livingston County, MI"
0.295598896,Michigan,Saginaw County,Conventional,26145,Saginaw County,MI,"Saginaw County, MI"
0.313084542,Michigan,Muskegon County,Conventional,26121,Muskegon County,MI,"Muskegon County, MI"
0.298824232,Michigan,Jackson County,Conventional,26075,Jackson County,MI,"Jackson County, MI"
0.294007099,Michigan,Monroe County,Conventional,26115,Monroe County,MI,"Monroe County, MI"
0.316495402,Michigan,Berrien County,Conventional,26021,Berrien County,MI,"Berrien County, MI"
