True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
1.60044964,Idaho,Canyon,Conventional,16027,Canyon County,ID,"Canyon County, ID"
1.590677265,Idaho,Power,Conventional,16077,Power County,ID,"Power County, ID"
1.553254881,Idaho,Caribou,Conventional,16029,Caribou County,ID,"Caribou County, ID"
3.878505044,Minnesota,Benton,Conventional,27009,Benton County,MN,"Benton County, MN"
2.764156785,Montana,Gallatin,Conventional,30031,Gallatin County,MT,"Gallatin County, MT"
2.749411932,Montana,Wibaux,Conventional,30109,Wibaux County,MT,"Wibaux County, MT"
4.492280436,Oregon,Linn,Conventional,41043,Linn County,OR,"Linn County, OR"
4.480242052,Oregon,Umatilla,Conventional,41059,Umatilla County,OR,"Umatilla County, OR"
3.741694192,Washington,Snohomish,Conventional,53061,Snohomish County,WA,"Snohomish County, WA"
3.730169415,Washington,Spokane,Conventional,53063,Spokane County,WA,"Spokane County, WA"
3.73328044,Washington,Whitman,Conventional,53075,Whitman County,WA,"Whitman County, WA"
2.151938037,Indiana,Putnam,Organic,18133,Putnam County,IN,"Putnam County, IN"
2.15701396,Indiana,Knox,Organic,18083,Knox County,IN,"Knox County, IN"
1.245911344,Montana,Gallatin,Organic,30031,Gallatin County,MT,"Gallatin County, MT"
1.23116649,Montana,Wibaux,Organic,30109,Wibaux County,MT,"Wibaux County, MT"
