True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
1.693668676,Idaho,Canyon,Conventional,16027,Canyon County,ID,"Canyon County, ID"
1.703399748,Idaho,Nez Perce,Conventional,16069,Nez Perce County,ID,"Nez Perce County, ID"
1.704964902,Idaho,Latah,Conventional,16057,Latah County,ID,"Latah County, ID"
1.703137158,Idaho,Idaho,Conventional,16049,Idaho County,ID,"Idaho County, ID"
1.671780331,Idaho,Power,Conventional,16077,Power County,ID,"Power County, ID"
1.663466632,Idaho,Caribou,Conventional,16029,Caribou County,ID,"Caribou County, ID"
1.700085016,Idaho,Lewis,Conventional,16061,Lewis County,ID,"Lewis County, ID"
3.941694904,Minnesota,Benton,Conventional,27009,Benton County,MN,"Benton County, MN"
2.860279381,Montana,Gallatin,Conventional,30031,Gallatin County,MT,"Gallatin County, MT"
2.820744423,Montana,Wibaux,Conventional,30109,Wibaux County,MT,"Wibaux County, MT"
4.629061726,Oregon,Washington,Conventional,41067,Washington County,OR,"Washington County, OR"
4.624892052,Oregon,Linn,Conventional,41043,Linn County,OR,"Linn County, OR"
4.605815855,Oregon,Umatilla,Conventional,41059,Umatilla County,OR,"Umatilla County, OR"
4.608541287,Oregon,Wallowa,Conventional,41063,Wallowa County,OR,"Wallowa County, OR"
3.887542881,Washington,Snohomish,Conventional,53061,Snohomish County,WA,"Snohomish County, WA"
3.854470063,Washington,Spokane,Conventional,53063,Spokane County,WA,"Spokane County, WA"
3.861158152,Washington,Whitman,Conventional,53075,Whitman County,WA,"Whitman County, WA"
2.193622982,Indiana,Putnam,Organic,18133,Putnam County,IN,"Putnam County, IN"
2.20086495,Indiana,Knox,Organic,18083,Knox County,IN,"Knox County, IN"
1.342033939,Montana,Gallatin,Organic,30031,Gallatin County,MT,"Gallatin County, MT"
1.302498982,Montana,Wibaux,Organic,30109,Wibaux County,MT,"Wibaux County, MT"
