True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
9.617368374,Alabama,Marshall County,Conventional,1095,Marshall County,AL,"Marshall County, AL"
9.612380341,Alabama,Colbert County,Conventional,1033,Colbert County,AL,"Colbert County, AL"
9.610962689,Alabama,Lauderdale County,Conventional,1077,Lauderdale County,AL,"Lauderdale County, AL"
7.772127929,California,Marin County,Conventional,6041,Marin County,CA,"Marin County, CA"
7.773598086,California,Sonoma County,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
7.784046702,California,Humboldt County,Conventional,6023,Humboldt County,CA,"Humboldt County, CA"
7.7821565,California,Butte County,Conventional,6007,Butte County,CA,"Butte County, CA"
7.775960838,California,Sacramento County,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
7.775803321,California,San Joaquin County,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
7.779583725,California,Stanislaus County,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
7.750705641,California,San Diego County,Conventional,6073,San Diego County,CA,"San Diego County, CA"
7.757951415,California,Ventura County,Conventional,6111,Ventura County,CA,"Ventura County, CA"
7.369754097,Delaware,Kent County,Conventional,10001,Kent County,DE,"Kent County, DE"
7.371171749,Delaware,New Castle County,Conventional,10003,New Castle County,DE,"New Castle County, DE"
7.369386558,Delaware,Sussex County,Conventional,10005,Sussex County,DE,"Sussex County, DE"
9.806442501,Florida,Clay County,Conventional,12019,Clay County,FL,"Clay County, FL"
9.820408992,Florida,Hillsborough County,Conventional,12057,Hillsborough County,FL,"Hillsborough County, FL"
9.813215724,Florida,Lake County,Conventional,12069,Lake County,FL,"Lake County, FL"
9.811903084,Florida,Marion County,Conventional,12083,Marion County,FL,"Marion County, FL"
9.812147085,Florida,Seminole County,Conventional,12117,Seminole County,FL,"Seminole County, FL"
9.807177579,Florida,Volusia County,Conventional,12127,Volusia County,FL,"Volusia County, FL"
9.803239659,Florida,Nassau County,Conventional,12089,Nassau County,FL,"Nassau County, FL"
9.83227526,Florida,Escambia County,Conventional,12033,Escambia County,FL,"Escambia County, FL"
9.832590293,Florida,Okaloosa County,Conventional,12091,Okaloosa County,FL,"Okaloosa County, FL"
9.820378933,Florida,Broward County,Conventional,12011,Broward County,FL,"Broward County, FL"
9.819440614,Florida,Lee County,Conventional,12071,Lee County,FL,"Lee County, FL"
9.81711747,Florida,Martin County,Conventional,12085,Martin County,FL,"Martin County, FL"
