True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
9.591309847,Alabama,Baldwin County,Conventional,1003,Baldwin County,AL,"Baldwin County, AL"
9.589070714,Alabama,Escambia County,Conventional,1053,Escambia County,AL,"Escambia County, AL"
9.579120216,Alabama,Calhoun County,Conventional,1015,Calhoun County,AL,"Calhoun County, AL"
9.578051012,Alabama,Cleburne County,Conventional,1029,Cleburne County,AL,"Cleburne County, AL"
9.577793297,Alabama,Cullman County,Conventional,1043,Cullman County,AL,"Cullman County, AL"
9.578596086,Alabama,Colbert County,Conventional,1033,Colbert County,AL,"Colbert County, AL"
9.583682689,Alabama,Chambers County,Conventional,1017,Chambers County,AL,"Chambers County, AL"
9.580233099,Alabama,Chilton County,Conventional,1021,Chilton County,AL,"Chilton County, AL"
9.581537191,Alabama,Tallapoosa County,Conventional,1123,Tallapoosa County,AL,"Tallapoosa County, AL"
9.330213119,Arizona,Apache County,Conventional,4001,Apache County,AZ,"Apache County, AZ"
9.337580054,Arizona,Coconino County,Conventional,4005,Coconino County,AZ,"Coconino County, AZ"
9.343437862,Arizona,Mohave County,Conventional,4015,Mohave County,AZ,"Mohave County, AZ"
9.333355041,Arizona,Navajo County,Conventional,4017,Navajo County,AZ,"Navajo County, AZ"
9.343193431,Arizona,Yavapai County,Conventional,4025,Yavapai County,AZ,"Yavapai County, AZ"
9.348938758,Arizona,Maricopa County,Conventional,4013,Maricopa County,AZ,"Maricopa County, AZ"
9.343082386,Arizona,Pima County,Conventional,4019,Pima County,AZ,"Pima County, AZ"
9.344515818,Arizona,Santa Cruz County,Conventional,4023,Santa Cruz County,AZ,"Santa Cruz County, AZ"
9.662523692,Arkansas,Faulkner County,Conventional,5045,Faulkner County,AR,"Faulkner County, AR"
9.656179502,Arkansas,Randolph County,Conventional,5121,Randolph County,AR,"Randolph County, AR"
9.670895989,Arkansas,Benton County,Conventional,5007,Benton County,AR,"Benton County, AR"
9.665512631,Arkansas,Desha County,Conventional,5041,Desha County,AR,"Desha County, AR"
