True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
9.723270531,Alabama,Baldwin County,Conventional,1003,Baldwin County,AL,"Baldwin County, AL"
9.715563761,Alabama,Escambia County,Conventional,1053,Escambia County,AL,"Escambia County, AL"
9.680687462,Alabama,Calhoun County,Conventional,1015,Calhoun County,AL,"Calhoun County, AL"
9.68139344,Alabama,Cleburne County,Conventional,1029,Cleburne County,AL,"Cleburne County, AL"
9.684338241,Alabama,Cullman County,Conventional,1043,Cullman County,AL,"Cullman County, AL"
9.676727213,Alabama,Marshall County,Conventional,1095,Marshall County,AL,"Marshall County, AL"
9.682396316,Alabama,Colbert County,Conventional,1033,Colbert County,AL,"Colbert County, AL"
9.679625593,Alabama,Lauderdale County,Conventional,1077,Lauderdale County,AL,"Lauderdale County, AL"
9.688215319,Alabama,Chambers County,Conventional,1017,Chambers County,AL,"Chambers County, AL"
9.694192925,Alabama,Chilton County,Conventional,1021,Chilton County,AL,"Chilton County, AL"
9.692291619,Alabama,Tallapoosa County,Conventional,1123,Tallapoosa County,AL,"Tallapoosa County, AL"
9.558987276,Arizona,Apache County,Conventional,4001,Apache County,AZ,"Apache County, AZ"
9.588826952,Arizona,Coconino County,Conventional,4005,Coconino County,AZ,"Coconino County, AZ"
9.585670358,Arizona,Gila County,Conventional,4007,Gila County,AZ,"Gila County, AZ"
9.599590705,Arizona,Mohave County,Conventional,4015,Mohave County,AZ,"Mohave County, AZ"
9.566269492,Arizona,Navajo County,Conventional,4017,Navajo County,AZ,"Navajo County, AZ"
9.593094736,Arizona,Yavapai County,Conventional,4025,Yavapai County,AZ,"Yavapai County, AZ"
9.580857133,Arizona,Graham County,Conventional,4009,Graham County,AZ,"Graham County, AZ"
9.597083031,Arizona,Maricopa County,Conventional,4013,Maricopa County,AZ,"Maricopa County, AZ"
9.599681611,Arizona,Pima County,Conventional,4019,Pima County,AZ,"Pima County, AZ"
9.593342312,Arizona,Santa Cruz County,Conventional,4023,Santa Cruz County,AZ,"Santa Cruz County, AZ"
9.794101212,Arkansas,Faulkner County,Conventional,5045,Faulkner County,AR,"Faulkner County, AR"
9.787932122,Arkansas,Marion County,Conventional,5089,Marion County,AR,"Marion County, AR"
9.772405433,Arkansas,Randolph County,Conventional,5121,Randolph County,AR,"Randolph County, AR"
9.797298424,Arkansas,Benton County,Conventional,5007,Benton County,AR,"Benton County, AR"
9.791601275,Arkansas,Carroll County,Conventional,5015,Carroll County,AR,"Carroll County, AR"
9.795676608,Arkansas,Madison County,Conventional,5087,Madison County,AR,"Madison County, AR"
9.802525565,Arkansas,Washington County,Conventional,5143,Washington County,AR,"Washington County, AR"
9.796190135,Arkansas,Desha County,Conventional,5041,Desha County,AR,"Desha County, AR"
9.816758283,Arkansas,Sevier County,Conventional,5133,Sevier County,AR,"Sevier County, AR"
7.93186364,California,Lake County,Conventional,6033,Lake County,CA,"Lake County, CA"
7.933785256,California,Marin County,Conventional,6041,Marin County,CA,"Marin County, CA"
7.94004622,California,Santa Clara County,Conventional,6085,Santa Clara County,CA,"Santa Clara County, CA"
7.936784213,California,Sonoma County,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
7.915790543,California,Lassen County,Conventional,6035,Lassen County,CA,"Lassen County, CA"
7.910600152,California,Modoc County,Conventional,6049,Modoc County,CA,"Modoc County, CA"
7.954923989,California,Humboldt County,Conventional,6023,Humboldt County,CA,"Humboldt County, CA"
7.938668112,California,Mendocino County,Conventional,6045,Mendocino County,CA,"Mendocino County, CA"
7.923206218,California,Butte County,Conventional,6007,Butte County,CA,"Butte County, CA"
7.928203191,California,Glenn County,Conventional,6021,Glenn County,CA,"Glenn County, CA"
7.921649197,California,Sacramento County,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
7.920071867,California,Sutter County,Conventional,6101,Sutter County,CA,"Sutter County, CA"
7.935386763,California,Fresno County,Conventional,6019,Fresno County,CA,"Fresno County, CA"
7.916049725,California,Kern County,Conventional,6029,Kern County,CA,"Kern County, CA"
7.930516479,California,Kings County,Conventional,6031,Kings County,CA,"Kings County, CA"
7.922284578,California,Madera County,Conventional,6039,Madera County,CA,"Madera County, CA"
7.939677757,California,Merced County,Conventional,6047,Merced County,CA,"Merced County, CA"
7.927115211,California,San Joaquin County,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
7.93182399,California,Stanislaus County,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
7.929390782,California,Tulare County,Conventional,6107,Tulare County,CA,"Tulare County, CA"
7.916336951,California,Amador County,Conventional,6005,Amador County,CA,"Amador County, CA"
7.919790443,California,Calaveras County,Conventional,6009,Calaveras County,CA,"Calaveras County, CA"
7.913368941,California,El Dorado County,Conventional,6017,El Dorado County,CA,"El Dorado County, CA"
7.909919318,California,Nevada County,Conventional,6057,Nevada County,CA,"Nevada County, CA"
7.918216014,California,Placer County,Conventional,6061,Placer County,CA,"Placer County, CA"
7.9289788,California,Shasta County,Conventional,6089,Shasta County,CA,"Shasta County, CA"
7.936621741,California,Siskiyou County,Conventional,6093,Siskiyou County,CA,"Siskiyou County, CA"
7.939970787,California,Trinity County,Conventional,6105,Trinity County,CA,"Trinity County, CA"
7.899309333,California,Imperial County,Conventional,6025,Imperial County,CA,"Imperial County, CA"
7.899312234,California,Riverside County,Conventional,6065,Riverside County,CA,"Riverside County, CA"
7.896372269,California,San Bernardino County,Conventional,6071,San Bernardino County,CA,"San Bernardino County, CA"
7.914159056,California,San Diego County,Conventional,6073,San Diego County,CA,"San Diego County, CA"
7.921512837,California,Ventura County,Conventional,6111,Ventura County,CA,"Ventura County, CA"
8.367769164,Colorado,Arapahoe County,Conventional,8005,Arapahoe County,CO,"Arapahoe County, CO"
8.375145187,Colorado,Douglas County,Conventional,8035,Douglas County,CO,"Douglas County, CO"
8.371535027,Colorado,El Paso County,Conventional,8041,El Paso County,CO,"El Paso County, CO"
8.368929676,Colorado,Elbert County,Conventional,8039,Elbert County,CO,"Elbert County, CO"
8.37036581,Colorado,Boulder County,Conventional,8013,Boulder County,CO,"Boulder County, CO"
8.370184964,Colorado,Larimer County,Conventional,8069,Larimer County,CO,"Larimer County, CO"
8.348914705,Colorado,Logan County,Conventional,8075,Logan County,CO,"Logan County, CO"
8.356482213,Colorado,Morgan County,Conventional,8087,Morgan County,CO,"Morgan County, CO"
8.36065619,Colorado,Weld County,Conventional,8123,Weld County,CO,"Weld County, CO"
8.380862645,Colorado,Jackson County,Conventional,8057,Jackson County,CO,"Jackson County, CO"
8.405271123,Colorado,Rio Blanco County,Conventional,8103,Rio Blanco County,CO,"Rio Blanco County, CO"
