True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
86.57708759,Alabama,Mobile,Conventional,1097,Mobile County,AL,"Mobile County, AL"
76.76490123,Alabama,Morgan,Conventional,1103,Morgan County,AL,"Morgan County, AL"
81.04339034,Alabama,Marshall,Conventional,1095,Marshall County,AL,"Marshall County, AL"
58.14798977,Alabama,Lauderdale,Conventional,1077,Lauderdale County,AL,"Lauderdale County, AL"
67.47277035,Alabama,Colbert,Conventional,1033,Colbert County,AL,"Colbert County, AL"
78.34123736,Alabama,Jackson,Conventional,1071,Jackson County,AL,"Jackson County, AL"
94.36702422,Arkansas,Phillips,Conventional,5107,Phillips County,AR,"Phillips County, AR"
54.24888402,California,Contra Costa,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
51.4579965,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
50.13145962,California,Colusa,Conventional,6011,Colusa County,CA,"Colusa County, CA"
65.14509304,Florida,Marion,Conventional,12083,Marion County,FL,"Marion County, FL"
53.71092897,Florida,Escambia,Conventional,12033,Escambia County,FL,"Escambia County, FL"
54.50668148,Florida,Okaloosa,Conventional,12091,Okaloosa County,FL,"Okaloosa County, FL"
65.16120905,Florida,Gulf,Conventional,12045,Gulf County,FL,"Gulf County, FL"
80.30598705,Mississippi,Jackson,Conventional,28059,Jackson County,MS,"Jackson County, MS"
77.89992787,Mississippi,Washington,Conventional,28151,Washington County,MS,"Washington County, MS"
73.6695385,Mississippi,Warren,Conventional,28149,Warren County,MS,"Warren County, MS"
72.38812445,Mississippi,Adams,Conventional,28001,Adams County,MS,"Adams County, MS"
67.45701551,Missouri,Scott,Conventional,29201,Scott County,MO,"Scott County, MO"
92.77874558,North Carolina,Onslow,Conventional,37133,Onslow County,NC,"Onslow County, NC"
65.1594816,North Carolina,Brunswick,Conventional,37019,Brunswick County,NC,"Brunswick County, NC"
66.65071049,North Carolina,Craven,Conventional,37049,Craven County,NC,"Craven County, NC"
60.54244787,North Carolina,Carteret,Conventional,37031,Carteret County,NC,"Carteret County, NC"
63.61464263,North Carolina,Beaufort,Conventional,37013,Beaufort County,NC,"Beaufort County, NC"
60.16982562,North Carolina,Chowan,Conventional,37041,Chowan County,NC,"Chowan County, NC"
70.39998307,North Carolina,Perquimans,Conventional,37143,Perquimans County,NC,"Perquimans County, NC"
63.13318027,North Carolina,Pamlico,Conventional,37137,Pamlico County,NC,"Pamlico County, NC"
66.07283032,North Carolina,Washington,Conventional,37187,Washington County,NC,"Washington County, NC"
62.96503894,North Carolina,Camden,Conventional,37029,Camden County,NC,"Camden County, NC"
61.86105036,North Carolina,Hyde,Conventional,37095,Hyde County,NC,"Hyde County, NC"
61.08431676,North Carolina,Tyrrell,Conventional,37177,Tyrrell County,NC,"Tyrrell County, NC"
77.21687098,Oklahoma,Washita,Conventional,40149,Washita County,OK,"Washita County, OK"
83.18680501,South Carolina,Horry,Conventional,45051,Horry County,SC,"Horry County, SC"
82.22858198,South Carolina,Georgetown,Conventional,45043,Georgetown County,SC,"Georgetown County, SC"
60.37804338,Tennessee,Shelby,Conventional,47157,Shelby County,TN,"Shelby County, TN"
62.68100325,Tennessee,Hardin,Conventional,47071,Hardin County,TN,"Hardin County, TN"
62.09431834,Tennessee,Decatur,Conventional,47039,Decatur County,TN,"Decatur County, TN"
54.71156676,Texas,Cameron,Conventional,48061,Cameron County,TX,"Cameron County, TX"
34.17787,Texas,Brazoria,Conventional,48039,Brazoria County,TX,"Brazoria County, TX"
33.56004741,Texas,Nueces,Conventional,48355,Nueces County,TX,"Nueces County, TX"
39.67415592,Texas,Willacy,Conventional,48489,Willacy County,TX,"Willacy County, TX"
35.2983741,Texas,Calhoun,Conventional,48057,Calhoun County,TX,"Calhoun County, TX"
44.09184085,Virginia,Accomack,Conventional,51001,Accomack County,VA,"Accomack County, VA"
47.96733489,Virginia,Northampton,Conventional,51131,Northampton County,VA,"Northampton County, VA"
45.22576916,Virginia,Northumberland,Conventional,51133,Northumberland County,VA,"Northumberland County, VA"
3.074514516,Texas,Cameron,Organic,48061,Cameron County,TX,"Cameron County, TX"
3.072500015,Texas,Brazoria,Organic,48039,Brazoria County,TX,"Brazoria County, TX"
3.075773579,Texas,Nueces,Organic,48355,Nueces County,TX,"Nueces County, TX"
3.076176479,Texas,Willacy,Organic,48489,Willacy County,TX,"Willacy County, TX"
3.075269953,Texas,Calhoun,Organic,48057,Calhoun County,TX,"Calhoun County, TX"
