True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
86.56911371,Alabama,Mobile,Conventional,1097,Mobile County,AL,"Mobile County, AL"
63.03876966,Alabama,Madison,Conventional,1089,Madison County,AL,"Madison County, AL"
85.27506433,Alabama,Baldwin,Conventional,1003,Baldwin County,AL,"Baldwin County, AL"
86.69395938,Alabama,Tuscaloosa,Conventional,1125,Tuscaloosa County,AL,"Tuscaloosa County, AL"
78.05940744,Alabama,Montgomery,Conventional,1101,Montgomery County,AL,"Montgomery County, AL"
119.156166,Alabama,Shelby,Conventional,1117,Shelby County,AL,"Shelby County, AL"
106.4156677,Alabama,Lee,Conventional,1081,Lee County,AL,"Lee County, AL"
76.72469612,Alabama,Morgan,Conventional,1103,Morgan County,AL,"Morgan County, AL"
69.18673975,Alabama,Calhoun,Conventional,1015,Calhoun County,AL,"Calhoun County, AL"
96.13756328,Alabama,Houston,Conventional,1069,Houston County,AL,"Houston County, AL"
65.06381709,Alabama,Limestone,Conventional,1083,Limestone County,AL,"Limestone County, AL"
77.49386527,Alabama,Etowah,Conventional,1055,Etowah County,AL,"Etowah County, AL"
88.92920795,Alabama,Cullman,Conventional,1043,Cullman County,AL,"Cullman County, AL"
102.53643,Alabama,Elmore,Conventional,1051,Elmore County,AL,"Elmore County, AL"
75.06391066,Alabama,Talladega,Conventional,1121,Talladega County,AL,"Talladega County, AL"
74.38225622,Alabama,DeKalb,Conventional,1049,DeKalb County,AL,"DeKalb County, AL"
80.01328268,Alabama,Walker,Conventional,1127,Walker County,AL,"Walker County, AL"
68.07352157,Alabama,Blount,Conventional,1009,Blount County,AL,"Blount County, AL"
80.07172052,Alabama,Russell,Conventional,1113,Russell County,AL,"Russell County, AL"
92.14840037,Alabama,Autauga,Conventional,1001,Autauga County,AL,"Autauga County, AL"
67.43678831,Alabama,Colbert,Conventional,1033,Colbert County,AL,"Colbert County, AL"
78.29236218,Alabama,Jackson,Conventional,1071,Jackson County,AL,"Jackson County, AL"
101.961908,Alabama,Dale,Conventional,1045,Dale County,AL,"Dale County, AL"
87.73587333,Alabama,Chilton,Conventional,1021,Chilton County,AL,"Chilton County, AL"
81.83143228,Alabama,Tallapoosa,Conventional,1123,Tallapoosa County,AL,"Tallapoosa County, AL"
87.49586993,Alabama,Dallas,Conventional,1047,Dallas County,AL,"Dallas County, AL"
77.76160631,Alabama,Escambia,Conventional,1053,Escambia County,AL,"Escambia County, AL"
82.00567118,Alabama,Chambers,Conventional,1017,Chambers County,AL,"Chambers County, AL"
59.75170406,Alabama,Lawrence,Conventional,1079,Lawrence County,AL,"Lawrence County, AL"
79.33645449,Alabama,Pike,Conventional,1109,Pike County,AL,"Pike County, AL"
85.86289914,Alabama,Franklin,Conventional,1059,Franklin County,AL,"Franklin County, AL"
77.80003154,Alabama,Marion,Conventional,1093,Marion County,AL,"Marion County, AL"
78.52286877,Alabama,Clarke,Conventional,1025,Clarke County,AL,"Clarke County, AL"
81.72765128,Alabama,Randolph,Conventional,1111,Randolph County,AL,"Randolph County, AL"
89.06494192,Alabama,Monroe,Conventional,1099,Monroe County,AL,"Monroe County, AL"
104.8093192,Alabama,Macon,Conventional,1087,Macon County,AL,"Macon County, AL"
76.33415058,Alabama,Marengo,Conventional,1091,Marengo County,AL,"Marengo County, AL"
79.44388044,Alabama,Pickens,Conventional,1107,Pickens County,AL,"Pickens County, AL"
83.86230959,Alabama,Fayette,Conventional,1057,Fayette County,AL,"Fayette County, AL"
86.8227854,Alabama,Washington,Conventional,1129,Washington County,AL,"Washington County, AL"
79.38289531,Alabama,Hale,Conventional,1065,Hale County,AL,"Hale County, AL"
78.35701309,Alabama,Lamar,Conventional,1075,Lamar County,AL,"Lamar County, AL"
87.40254685,Alabama,Sumter,Conventional,1119,Sumter County,AL,"Sumter County, AL"
90.71530711,Alabama,Conecuh,Conventional,1035,Conecuh County,AL,"Conecuh County, AL"
77.94624243,Alabama,Wilcox,Conventional,1131,Wilcox County,AL,"Wilcox County, AL"
77.79513895,Alabama,Lowndes,Conventional,1085,Lowndes County,AL,"Lowndes County, AL"
77.11483643,Alabama,Perry,Conventional,1105,Perry County,AL,"Perry County, AL"
76.82199208,Alabama,Greene,Conventional,1063,Greene County,AL,"Greene County, AL"
65.0333472,Arizona,Maricopa,Conventional,4013,Maricopa County,AZ,"Maricopa County, AZ"
80.42152611,Arizona,Pima,Conventional,4019,Pima County,AZ,"Pima County, AZ"
82.28015413,Arizona,Pinal,Conventional,4021,Pinal County,AZ,"Pinal County, AZ"
81.75208244,Arizona,Mohave,Conventional,4015,Mohave County,AZ,"Mohave County, AZ"
73.57949111,Arizona,Yuma,Conventional,4027,Yuma County,AZ,"Yuma County, AZ"
79.85965276,Arizona,Cochise,Conventional,4003,Cochise County,AZ,"Cochise County, AZ"
85.5211704,Arkansas,Pulaski,Conventional,5119,Pulaski County,AR,"Pulaski County, AR"
74.12242084,Arkansas,Craighead,Conventional,5031,Craighead County,AR,"Craighead County, AR"
89.73997721,Arkansas,White,Conventional,5145,White County,AR,"White County, AR"
85.29284173,Arkansas,Lonoke,Conventional,5085,Lonoke County,AR,"Lonoke County, AR"
81.1770115,Arkansas,Jefferson,Conventional,5069,Jefferson County,AR,"Jefferson County, AR"
90.10249751,Arkansas,Crittenden,Conventional,5035,Crittenden County,AR,"Crittenden County, AR"
85.70619134,Arkansas,Greene,Conventional,5055,Greene County,AR,"Greene County, AR"
85.45929812,Arkansas,Miller,Conventional,5091,Miller County,AR,"Miller County, AR"
81.96566675,Arkansas,Mississippi,Conventional,5093,Mississippi County,AR,"Mississippi County, AR"
89.01913389,Arkansas,Union,Conventional,5139,Union County,AR,"Union County, AR"
85.46286533,Arkansas,Independence,Conventional,5063,Independence County,AR,"Independence County, AR"
86.67746287,Arkansas,Poinsett,Conventional,5111,Poinsett County,AR,"Poinsett County, AR"
81.56330558,Arkansas,Clark,Conventional,5019,Clark County,AR,"Clark County, AR"
90.48857853,Arkansas,Ashley,Conventional,5003,Ashley County,AR,"Ashley County, AR"
79.58040246,Arkansas,Drew,Conventional,5043,Drew County,AR,"Drew County, AR"
84.84429197,Arkansas,Cross,Conventional,5037,Cross County,AR,"Cross County, AR"
84.62529503,Arkansas,Jackson,Conventional,5067,Jackson County,AR,"Jackson County, AR"
94.3358846,Arkansas,Phillips,Conventional,5107,Phillips County,AR,"Phillips County, AR"
86.96336735,Arkansas,Clay,Conventional,5021,Clay County,AR,"Clay County, AR"
83.91557695,Arkansas,Lincoln,Conventional,5079,Lincoln County,AR,"Lincoln County, AR"
83.45781945,Arkansas,Little River,Conventional,5081,Little River County,AR,"Little River County, AR"
83.88283933,Arkansas,Desha,Conventional,5041,Desha County,AR,"Desha County, AR"
91.34860517,Arkansas,Chicot,Conventional,5017,Chicot County,AR,"Chicot County, AR"
91.25508425,Arkansas,Lee,Conventional,5077,Lee County,AR,"Lee County, AR"
86.8798208,Arkansas,Prairie,Conventional,5117,Prairie County,AR,"Prairie County, AR"
87.84620753,Arkansas,Monroe,Conventional,5095,Monroe County,AR,"Monroe County, AR"
88.7943563,Arkansas,Lafayette,Conventional,5073,Lafayette County,AR,"Lafayette County, AR"
85.33385717,Arkansas,Woodruff,Conventional,5147,Woodruff County,AR,"Woodruff County, AR"
60.2838109,California,Riverside,Conventional,6065,Riverside County,CA,"Riverside County, CA"
54.11253581,California,Contra Costa,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
56.8694539,California,Fresno,Conventional,6019,Fresno County,CA,"Fresno County, CA"
58.76029912,California,Kern,Conventional,6029,Kern County,CA,"Kern County, CA"
48.25450241,California,Tulare,Conventional,6107,Tulare County,CA,"Tulare County, CA"
55.76577844,California,Merced,Conventional,6047,Merced County,CA,"Merced County, CA"
51.31597487,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
52.20032368,California,Imperial,Conventional,6025,Imperial County,CA,"Imperial County, CA"
56.5459865,California,Madera,Conventional,6039,Madera County,CA,"Madera County, CA"
43.2231101,California,Kings,Conventional,6031,Kings County,CA,"Kings County, CA"
50.01609561,California,Sutter,Conventional,6101,Sutter County,CA,"Sutter County, CA"
65.15888087,Florida,Marion,Conventional,12083,Marion County,FL,"Marion County, FL"
53.70240214,Florida,Escambia,Conventional,12033,Escambia County,FL,"Escambia County, FL"
54.50066206,Florida,Okaloosa,Conventional,12091,Okaloosa County,FL,"Okaloosa County, FL"
54.56957821,Florida,Santa Rosa,Conventional,12113,Santa Rosa County,FL,"Santa Rosa County, FL"
54.1077339,Florida,Walton,Conventional,12131,Walton County,FL,"Walton County, FL"
56.2943081,Florida,Columbia,Conventional,12023,Columbia County,FL,"Columbia County, FL"
54.25118582,Florida,Jackson,Conventional,12063,Jackson County,FL,"Jackson County, FL"
54.10596139,Florida,Washington,Conventional,12133,Washington County,FL,"Washington County, FL"
54.412102,Florida,Holmes,Conventional,12059,Holmes County,FL,"Holmes County, FL"
54.50176289,Florida,Madison,Conventional,12079,Madison County,FL,"Madison County, FL"
55.34157182,Florida,Jefferson,Conventional,12065,Jefferson County,FL,"Jefferson County, FL"
56.9255535,Florida,Hamilton,Conventional,12047,Hamilton County,FL,"Hamilton County, FL"
69.93667296,Georgia,Houston,Conventional,13153,Houston County,GA,"Houston County, GA"
73.76773638,Georgia,Fayette,Conventional,13113,Fayette County,GA,"Fayette County, GA"
77.34130675,Georgia,Lowndes,Conventional,13185,Lowndes County,GA,"Lowndes County, GA"
73.2051555,Georgia,Newton,Conventional,13217,Newton County,GA,"Newton County, GA"
73.16405327,Georgia,Bartow,Conventional,13015,Bartow County,GA,"Bartow County, GA"
70.95245237,Georgia,Floyd,Conventional,13115,Floyd County,GA,"Floyd County, GA"
88.0547999,Georgia,Walton,Conventional,13297,Walton County,GA,"Walton County, GA"
72.94844364,Georgia,Dougherty,Conventional,13095,Dougherty County,GA,"Dougherty County, GA"
85.63783223,Georgia,Barrow,Conventional,13013,Barrow County,GA,"Barrow County, GA"
91.08094512,Georgia,Effingham,Conventional,13103,Effingham County,GA,"Effingham County, GA"
75.56616098,Georgia,Gordon,Conventional,13129,Gordon County,GA,"Gordon County, GA"
78.78107063,Georgia,Laurens,Conventional,13175,Laurens County,GA,"Laurens County, GA"
71.23055341,Georgia,Thomas,Conventional,13275,Thomas County,GA,"Thomas County, GA"
72.68368603,Georgia,Bryan,Conventional,13029,Bryan County,GA,"Bryan County, GA"
72.28111587,Georgia,Coffee,Conventional,13069,Coffee County,GA,"Coffee County, GA"
72.9521581,Georgia,Polk,Conventional,13233,Polk County,GA,"Polk County, GA"
85.58807967,Georgia,Oconee,Conventional,13219,Oconee County,GA,"Oconee County, GA"
80.91712897,Georgia,Tift,Conventional,13277,Tift County,GA,"Tift County, GA"
88.48097132,Georgia,Ware,Conventional,13299,Ware County,GA,"Ware County, GA"
60.2322623,Georgia,Lee,Conventional,13177,Lee County,GA,"Lee County, GA"
77.54942531,Georgia,Wayne,Conventional,13305,Wayne County,GA,"Wayne County, GA"
93.91112967,Georgia,Sumter,Conventional,13261,Sumter County,GA,"Sumter County, GA"
63.60448189,Georgia,Decatur,Conventional,13087,Decatur County,GA,"Decatur County, GA"
73.02349667,Georgia,Jones,Conventional,13169,Jones County,GA,"Jones County, GA"
71.22032154,Georgia,Monroe,Conventional,13207,Monroe County,GA,"Monroe County, GA"
74.49049458,Georgia,Peach,Conventional,13225,Peach County,GA,"Peach County, GA"
73.59610578,Georgia,Upson,Conventional,13293,Upson County,GA,"Upson County, GA"
66.95486955,Georgia,Grady,Conventional,13131,Grady County,GA,"Grady County, GA"
78.86340996,Georgia,Butts,Conventional,13035,Butts County,GA,"Butts County, GA"
73.58371064,Georgia,Burke,Conventional,13033,Burke County,GA,"Burke County, GA"
79.34412141,Georgia,Putnam,Conventional,13237,Putnam County,GA,"Putnam County, GA"
84.80128772,Georgia,McDuffie,Conventional,13189,McDuffie County,GA,"McDuffie County, GA"
73.82665382,Georgia,Meriwether,Conventional,13199,Meriwether County,GA,"Meriwether County, GA"
63.65025473,Georgia,Crisp,Conventional,13081,Crisp County,GA,"Crisp County, GA"
96.32953249,Georgia,Morgan,Conventional,13211,Morgan County,GA,"Morgan County, GA"
64.32445375,Georgia,Dodge,Conventional,13091,Dodge County,GA,"Dodge County, GA"
78.95325987,Georgia,Washington,Conventional,13303,Washington County,GA,"Washington County, GA"
75.34421323,Georgia,Pierce,Conventional,13229,Pierce County,GA,"Pierce County, GA"
72.21324842,Georgia,Elbert,Conventional,13105,Elbert County,GA,"Elbert County, GA"
74.00027107,Georgia,Lamar,Conventional,13171,Lamar County,GA,"Lamar County, GA"
86.87100343,Georgia,Appling,Conventional,13001,Appling County,GA,"Appling County, GA"
76.67381702,Georgia,Brantley,Conventional,13025,Brantley County,GA,"Brantley County, GA"
76.53690754,Georgia,Cook,Conventional,13075,Cook County,GA,"Cook County, GA"
77.21995501,Georgia,Ben Hill,Conventional,13017,Ben Hill County,GA,"Ben Hill County, GA"
70.44960307,Georgia,Long,Conventional,13183,Long County,GA,"Long County, GA"
64.77109333,Georgia,Brooks,Conventional,13027,Brooks County,GA,"Brooks County, GA"
67.71697898,Georgia,Jefferson,Conventional,13163,Jefferson County,GA,"Jefferson County, GA"
98.12463426,Georgia,Jeff Davis,Conventional,13161,Jeff Davis County,GA,"Jeff Davis County, GA"
89.16861581,Georgia,Screven,Conventional,13251,Screven County,GA,"Screven County, GA"
69.19124523,Georgia,Telfair,Conventional,13271,Telfair County,GA,"Telfair County, GA"
75.33731191,Georgia,Bleckley,Conventional,13023,Bleckley County,GA,"Bleckley County, GA"
80.00090119,Georgia,Crawford,Conventional,13079,Crawford County,GA,"Crawford County, GA"
71.39679002,Georgia,Macon,Conventional,13193,Macon County,GA,"Macon County, GA"
65.96952737,Georgia,Dooly,Conventional,13093,Dooly County,GA,"Dooly County, GA"
