True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
4.114684377,Alabama,Jefferson County,Conventional,1073,Jefferson County,AL,"Jefferson County, AL"
4.48238919,Alabama,Mobile County,Conventional,1097,Mobile County,AL,"Mobile County, AL"
2.93143243,Alabama,Madison County,Conventional,1089,Madison County,AL,"Madison County, AL"
3.842379082,Alabama,Baldwin County,Conventional,1003,Baldwin County,AL,"Baldwin County, AL"
3.371287054,Alabama,Tuscaloosa County,Conventional,1125,Tuscaloosa County,AL,"Tuscaloosa County, AL"
3.948061235,Alabama,Montgomery County,Conventional,1101,Montgomery County,AL,"Montgomery County, AL"
3.977107957,Alabama,Shelby County,Conventional,1117,Shelby County,AL,"Shelby County, AL"
4.420113926,Alabama,Lee County,Conventional,1081,Lee County,AL,"Lee County, AL"
3.885743886,Alabama,Morgan County,Conventional,1103,Morgan County,AL,"Morgan County, AL"
3.840958607,Alabama,Calhoun County,Conventional,1015,Calhoun County,AL,"Calhoun County, AL"
4.038925357,Alabama,Houston County,Conventional,1069,Houston County,AL,"Houston County, AL"
3.351283262,Alabama,Limestone County,Conventional,1083,Limestone County,AL,"Limestone County, AL"
3.521954878,Alabama,Etowah County,Conventional,1055,Etowah County,AL,"Etowah County, AL"
3.378015498,Alabama,Cullman County,Conventional,1043,Cullman County,AL,"Cullman County, AL"
4.968783216,Alabama,Elmore County,Conventional,1051,Elmore County,AL,"Elmore County, AL"
3.929752194,Alabama,Talladega County,Conventional,1121,Talladega County,AL,"Talladega County, AL"
4.092058223,Alabama,DeKalb County,Conventional,1049,DeKalb County,AL,"DeKalb County, AL"
4.740909866,Alabama,Walker County,Conventional,1127,Walker County,AL,"Walker County, AL"
4.414626378,Alabama,Blount County,Conventional,1009,Blount County,AL,"Blount County, AL"
4.032407136,Alabama,Russell County,Conventional,1113,Russell County,AL,"Russell County, AL"
3.22837304,Alabama,Autauga County,Conventional,1001,Autauga County,AL,"Autauga County, AL"
3.334036571,Alabama,Colbert County,Conventional,1033,Colbert County,AL,"Colbert County, AL"
4.209707101,Alabama,Jackson County,Conventional,1071,Jackson County,AL,"Jackson County, AL"
4.897969157,Alabama,Dale County,Conventional,1045,Dale County,AL,"Dale County, AL"
4.390000737,Alabama,Chilton County,Conventional,1021,Chilton County,AL,"Chilton County, AL"
4.10164814,Alabama,Tallapoosa County,Conventional,1123,Tallapoosa County,AL,"Tallapoosa County, AL"
3.904613272,Alabama,Dallas County,Conventional,1047,Dallas County,AL,"Dallas County, AL"
3.96824545,Alabama,Escambia County,Conventional,1053,Escambia County,AL,"Escambia County, AL"
4.116562569,Alabama,Chambers County,Conventional,1017,Chambers County,AL,"Chambers County, AL"
3.101818573,Alabama,Lawrence County,Conventional,1079,Lawrence County,AL,"Lawrence County, AL"
3.999905533,Alabama,Pike County,Conventional,1109,Pike County,AL,"Pike County, AL"
4.307948545,Alabama,Franklin County,Conventional,1059,Franklin County,AL,"Franklin County, AL"
3.933606246,Alabama,Marion County,Conventional,1093,Marion County,AL,"Marion County, AL"
4.05993679,Alabama,Winston County,Conventional,1133,Winston County,AL,"Winston County, AL"
3.966669801,Alabama,Clarke County,Conventional,1025,Clarke County,AL,"Clarke County, AL"
4.155928773,Alabama,Bibb County,Conventional,1007,Bibb County,AL,"Bibb County, AL"
6.665269869,Alabama,Randolph County,Conventional,1111,Randolph County,AL,"Randolph County, AL"
4.290655968,Alabama,Monroe County,Conventional,1099,Monroe County,AL,"Monroe County, AL"
4.095061775,Alabama,Macon County,Conventional,1087,Macon County,AL,"Macon County, AL"
3.867947381,Alabama,Marengo County,Conventional,1091,Marengo County,AL,"Marengo County, AL"
3.989589371,Alabama,Butler County,Conventional,1013,Butler County,AL,"Butler County, AL"
4.008505543,Alabama,Pickens County,Conventional,1107,Pickens County,AL,"Pickens County, AL"
5.489011287,Alabama,Fayette County,Conventional,1057,Fayette County,AL,"Fayette County, AL"
4.350766472,Alabama,Washington County,Conventional,1129,Washington County,AL,"Washington County, AL"
4.335900872,Alabama,Cleburne County,Conventional,1029,Cleburne County,AL,"Cleburne County, AL"
4.003237711,Alabama,Hale County,Conventional,1065,Hale County,AL,"Hale County, AL"
4.058230024,Alabama,Clay County,Conventional,1027,Clay County,AL,"Clay County, AL"
3.96037092,Alabama,Lamar County,Conventional,1075,Lamar County,AL,"Lamar County, AL"
4.388481635,Alabama,Sumter County,Conventional,1119,Sumter County,AL,"Sumter County, AL"
4.850533692,Alabama,Conecuh County,Conventional,1035,Conecuh County,AL,"Conecuh County, AL"
3.942336478,Alabama,Wilcox County,Conventional,1131,Wilcox County,AL,"Wilcox County, AL"
4.057472456,Alabama,Coosa County,Conventional,1037,Coosa County,AL,"Coosa County, AL"
3.936572207,Alabama,Lowndes County,Conventional,1085,Lowndes County,AL,"Lowndes County, AL"
4.644273399,Alabama,Perry County,Conventional,1105,Perry County,AL,"Perry County, AL"
3.896304871,Alabama,Greene County,Conventional,1063,Greene County,AL,"Greene County, AL"
3.078596505,Arizona,Maricopa County,Conventional,4013,Maricopa County,AZ,"Maricopa County, AZ"
3.009764,Arizona,Pima County,Conventional,4019,Pima County,AZ,"Pima County, AZ"
2.998363151,Arizona,Pinal County,Conventional,4021,Pinal County,AZ,"Pinal County, AZ"
2.950894852,Arizona,Yavapai County,Conventional,4025,Yavapai County,AZ,"Yavapai County, AZ"
2.988324496,Arizona,Cochise County,Conventional,4003,Cochise County,AZ,"Cochise County, AZ"
2.88778355,Arizona,Navajo County,Conventional,4017,Navajo County,AZ,"Navajo County, AZ"
2.859824456,Arizona,Apache County,Conventional,4001,Apache County,AZ,"Apache County, AZ"
3.881169377,Arkansas,Pulaski County,Conventional,5119,Pulaski County,AR,"Pulaski County, AR"
3.952727296,Arkansas,Benton County,Conventional,5007,Benton County,AR,"Benton County, AR"
4.186347536,Arkansas,Sebastian County,Conventional,5131,Sebastian County,AR,"Sebastian County, AR"
4.073736277,Arkansas,Faulkner County,Conventional,5045,Faulkner County,AR,"Faulkner County, AR"
3.107184747,Arkansas,Craighead County,Conventional,5031,Craighead County,AR,"Craighead County, AR"
3.541198792,Arkansas,White County,Conventional,5145,White County,AR,"White County, AR"
3.347849875,Arkansas,Lonoke County,Conventional,5085,Lonoke County,AR,"Lonoke County, AR"
3.284919633,Arkansas,Jefferson County,Conventional,5069,Jefferson County,AR,"Jefferson County, AR"
4.197622525,Arkansas,Pope County,Conventional,5115,Pope County,AR,"Pope County, AR"
4.126521928,Arkansas,Crawford County,Conventional,5033,Crawford County,AR,"Crawford County, AR"
3.534721667,Arkansas,Crittenden County,Conventional,5035,Crittenden County,AR,"Crittenden County, AR"
3.29962473,Arkansas,Greene County,Conventional,5055,Greene County,AR,"Greene County, AR"
3.890418571,Arkansas,Miller County,Conventional,5091,Miller County,AR,"Miller County, AR"
4.179234973,Arkansas,Mississippi County,Conventional,5093,Mississippi County,AR,"Mississippi County, AR"
3.723337414,Arkansas,Independence County,Conventional,5063,Independence County,AR,"Independence County, AR"
4.183040859,Arkansas,Johnson County,Conventional,5071,Johnson County,AR,"Johnson County, AR"
3.22472605,Arkansas,Poinsett County,Conventional,5111,Poinsett County,AR,"Poinsett County, AR"
3.715445263,Arkansas,Clark County,Conventional,5019,Clark County,AR,"Clark County, AR"
4.239528019,Arkansas,Conway County,Conventional,5029,Conway County,AR,"Conway County, AR"
3.984524529,Arkansas,Hempstead County,Conventional,5057,Hempstead County,AR,"Hempstead County, AR"
3.536332322,Arkansas,Ashley County,Conventional,5003,Ashley County,AR,"Ashley County, AR"
3.256497525,Arkansas,Randolph County,Conventional,5121,Randolph County,AR,"Randolph County, AR"
3.246035189,Arkansas,Drew County,Conventional,5043,Drew County,AR,"Drew County, AR"
