True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.920279061,California,Los Angeles County,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
0.916652959,California,San Diego County,Conventional,6073,San Diego County,CA,"San Diego County, CA"
0.920581236,California,Orange County,Conventional,6059,Orange County,CA,"Orange County, CA"
0.937100143,California,Alameda County,Conventional,6001,Alameda County,CA,"Alameda County, CA"
0.940877332,California,Sacramento County,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
0.939165007,California,Contra Costa County,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
0.923602987,California,Ventura County,Conventional,6111,Ventura County,CA,"Ventura County, CA"
0.940726245,California,San Joaquin County,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
0.938057031,California,San Mateo County,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
0.944352347,California,Stanislaus County,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
0.938611019,California,Sonoma County,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
0.939567907,California,Solano County,Conventional,6095,Solano County,CA,"Solano County, CA"
0.925013138,California,Santa Barbara County,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
0.934884192,California,Monterey County,Conventional,6053,Monterey County,CA,"Monterey County, CA"
0.929293952,California,San Luis Obispo County,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
0.937200868,California,Marin County,Conventional,6041,Marin County,CA,"Marin County, CA"
0.942337846,California,Yolo County,Conventional,6113,Yolo County,CA,"Yolo County, CA"
0.94682011,California,Butte County,Conventional,6007,Butte County,CA,"Butte County, CA"
0.938812469,California,Napa County,Conventional,6055,Napa County,CA,"Napa County, CA"
0.944704884,California,Colusa County,Conventional,6011,Colusa County,CA,"Colusa County, CA"
0.465136737,Florida,Broward County,Conventional,12011,Broward County,FL,"Broward County, FL"
0.463611395,Florida,Palm Beach County,Conventional,12099,Palm Beach County,FL,"Palm Beach County, FL"
0.465165569,Florida,Hillsborough County,Conventional,12057,Hillsborough County,FL,"Hillsborough County, FL"
0.450157538,Florida,Duval County,Conventional,12031,Duval County,FL,"Duval County, FL"
0.464762669,Florida,Pinellas County,Conventional,12103,Pinellas County,FL,"Pinellas County, FL"
0.464236717,Florida,Lee County,Conventional,12071,Lee County,FL,"Lee County, FL"
0.458158582,Florida,Brevard County,Conventional,12009,Brevard County,FL,"Brevard County, FL"
0.452474214,Florida,Volusia County,Conventional,12127,Volusia County,FL,"Volusia County, FL"
0.457240883,Florida,Seminole County,Conventional,12117,Seminole County,FL,"Seminole County, FL"
0.458265904,Florida,Lake County,Conventional,12069,Lake County,FL,"Lake County, FL"
0.457006841,Florida,Marion County,Conventional,12083,Marion County,FL,"Marion County, FL"
0.476547499,Florida,Escambia County,Conventional,12033,Escambia County,FL,"Escambia County, FL"
0.460118384,Florida,Indian River County,Conventional,12061,Indian River County,FL,"Indian River County, FL"
0.462008395,Florida,Martin County,Conventional,12085,Martin County,FL,"Martin County, FL"
0.453582189,Florida,Putnam County,Conventional,12107,Putnam County,FL,"Putnam County, FL"
0.46452714,Florida,Hendry County,Conventional,12051,Hendry County,FL,"Hendry County, FL"
0.462992577,Florida,Glades County,Conventional,12043,Glades County,FL,"Glades County, FL"
0.548597328,Texas,Montgomery County,Conventional,48339,Montgomery County,TX,"Montgomery County, TX"
0.550410378,Texas,Cameron County,Conventional,48061,Cameron County,TX,"Cameron County, TX"
0.548395878,Texas,Brazoria County,Conventional,48039,Brazoria County,TX,"Brazoria County, TX"
0.546381377,Texas,Galveston County,Conventional,48167,Galveston County,TX,"Galveston County, TX"
0.547590077,Texas,Jefferson County,Conventional,48245,Jefferson County,TX,"Jefferson County, TX"
0.546280652,Texas,Orange County,Conventional,48361,Orange County,TX,"Orange County, TX"
0.552072342,Texas,Willacy County,Conventional,48489,Willacy County,TX,"Willacy County, TX"
