True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.804155284,California,Los Angeles County,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
0.810849602,California,San Diego County,Conventional,6073,San Diego County,CA,"San Diego County, CA"
0.807709159,California,Orange County,Conventional,6059,Orange County,CA,"Orange County, CA"
0.801473673,California,Riverside County,Conventional,6065,Riverside County,CA,"Riverside County, CA"
0.79596471,California,San Bernardino County,Conventional,6071,San Bernardino County,CA,"San Bernardino County, CA"
0.815786724,California,Santa Clara County,Conventional,6085,Santa Clara County,CA,"Santa Clara County, CA"
0.813837854,California,Alameda County,Conventional,6001,Alameda County,CA,"Alameda County, CA"
0.809699954,California,Sacramento County,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
0.812546492,California,Contra Costa County,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
0.810196325,California,Fresno County,Conventional,6019,Fresno County,CA,"Fresno County, CA"
0.804205826,California,Kern County,Conventional,6029,Kern County,CA,"Kern County, CA"
0.809461106,California,Ventura County,Conventional,6111,Ventura County,CA,"Ventura County, CA"
0.811397372,California,San Joaquin County,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
0.816130674,California,San Mateo County,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
0.814534843,California,Stanislaus County,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
0.807666112,California,Tulare County,Conventional,6107,Tulare County,CA,"Tulare County, CA"
0.810895227,California,Solano County,Conventional,6095,Solano County,CA,"Solano County, CA"
0.811431719,California,Santa Barbara County,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
0.8203601,California,Monterey County,Conventional,6053,Monterey County,CA,"Monterey County, CA"
0.802975331,California,Placer County,Conventional,6061,Placer County,CA,"Placer County, CA"
0.812978503,California,Merced County,Conventional,6047,Merced County,CA,"Merced County, CA"
0.816900191,California,San Luis Obispo County,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
0.815493048,California,Santa Cruz County,Conventional,6087,Santa Cruz County,CA,"Santa Cruz County, CA"
0.809862109,California,Yolo County,Conventional,6113,Yolo County,CA,"Yolo County, CA"
0.805270311,California,Butte County,Conventional,6007,Butte County,CA,"Butte County, CA"
0.834699242,California,Shasta County,Conventional,6089,Shasta County,CA,"Shasta County, CA"
0.798436883,California,Imperial County,Conventional,6025,Imperial County,CA,"Imperial County, CA"
0.811578246,California,Madera County,Conventional,6039,Madera County,CA,"Madera County, CA"
0.808397244,California,Kings County,Conventional,6031,Kings County,CA,"Kings County, CA"
0.802570197,California,Nevada County,Conventional,6057,Nevada County,CA,"Nevada County, CA"
0.807696791,California,Sutter County,Conventional,6101,Sutter County,CA,"Sutter County, CA"
0.806714742,California,Yuba County,Conventional,6115,Yuba County,CA,"Yuba County, CA"
0.820960973,California,San Benito County,Conventional,6069,San Benito County,CA,"San Benito County, CA"
0.831188339,California,Siskiyou County,Conventional,6093,Siskiyou County,CA,"Siskiyou County, CA"
0.81153113,California,Amador County,Conventional,6005,Amador County,CA,"Amador County, CA"
0.489159782,Florida,Broward County,Conventional,12011,Broward County,FL,"Broward County, FL"
0.486304337,Florida,Palm Beach County,Conventional,12099,Palm Beach County,FL,"Palm Beach County, FL"
0.480174413,Florida,Hillsborough County,Conventional,12057,Hillsborough County,FL,"Hillsborough County, FL"
0.478417085,Florida,Orange County,Conventional,12095,Orange County,FL,"Orange County, FL"
0.471533906,Florida,Duval County,Conventional,12031,Duval County,FL,"Duval County, FL"
0.482319694,Florida,Pinellas County,Conventional,12103,Pinellas County,FL,"Pinellas County, FL"
0.48062017,Florida,Polk County,Conventional,12105,Polk County,FL,"Polk County, FL"
0.481555148,Florida,Pasco County,Conventional,12101,Pasco County,FL,"Pasco County, FL"
0.476688867,Florida,Volusia County,Conventional,12127,Volusia County,FL,"Volusia County, FL"
