True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
1.07384667,California,Los Angeles County,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
1.073434807,California,San Diego County,Conventional,6073,San Diego County,CA,"San Diego County, CA"
1.074298422,California,Orange County,Conventional,6059,Orange County,CA,"Orange County, CA"
1.059193978,California,Riverside County,Conventional,6065,Riverside County,CA,"Riverside County, CA"
1.056374011,California,San Bernardino County,Conventional,6071,San Bernardino County,CA,"San Bernardino County, CA"
1.098265352,California,Santa Clara County,Conventional,6085,Santa Clara County,CA,"Santa Clara County, CA"
1.092467724,California,Alameda County,Conventional,6001,Alameda County,CA,"Alameda County, CA"
1.080619228,California,Sacramento County,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
1.090025299,California,Contra Costa County,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
1.093796076,California,Fresno County,Conventional,6019,Fresno County,CA,"Fresno County, CA"
1.075248305,California,Kern County,Conventional,6029,Kern County,CA,"Kern County, CA"
1.080488433,California,Ventura County,Conventional,6111,Ventura County,CA,"Ventura County, CA"
1.085862138,California,San Joaquin County,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
1.096242212,California,San Mateo County,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
1.090378723,California,Stanislaus County,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
1.095136488,California,Sonoma County,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
1.088044829,California,Tulare County,Conventional,6107,Tulare County,CA,"Tulare County, CA"
1.084462359,California,Solano County,Conventional,6095,Solano County,CA,"Solano County, CA"
1.093639308,California,Santa Barbara County,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
1.102274527,California,Monterey County,Conventional,6053,Monterey County,CA,"Monterey County, CA"
1.077326175,California,Placer County,Conventional,6061,Placer County,CA,"Placer County, CA"
1.097911928,California,Merced County,Conventional,6047,Merced County,CA,"Merced County, CA"
1.093564171,California,San Luis Obispo County,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
1.099597415,California,Santa Cruz County,Conventional,6087,Santa Cruz County,CA,"Santa Cruz County, CA"
1.092259937,California,Marin County,Conventional,6041,Marin County,CA,"Marin County, CA"
1.082335325,California,Yolo County,Conventional,6113,Yolo County,CA,"Yolo County, CA"
1.082112696,California,Butte County,Conventional,6007,Butte County,CA,"Butte County, CA"
1.072676941,California,El Dorado County,Conventional,6017,El Dorado County,CA,"El Dorado County, CA"
1.087649663,California,Shasta County,Conventional,6089,Shasta County,CA,"Shasta County, CA"
1.059191195,California,Imperial County,Conventional,6025,Imperial County,CA,"Imperial County, CA"
1.081228674,California,Madera County,Conventional,6039,Madera County,CA,"Madera County, CA"
1.08912458,California,Kings County,Conventional,6031,Kings County,CA,"Kings County, CA"
1.088383411,California,Napa County,Conventional,6055,Napa County,CA,"Napa County, CA"
1.069368119,California,Nevada County,Conventional,6057,Nevada County,CA,"Nevada County, CA"
1.079106279,California,Sutter County,Conventional,6101,Sutter County,CA,"Sutter County, CA"
1.096943493,California,Mendocino County,Conventional,6045,Mendocino County,CA,"Mendocino County, CA"
1.075297469,California,Yuba County,Conventional,6115,Yuba County,CA,"Yuba County, CA"
1.103138142,California,San Benito County,Conventional,6069,San Benito County,CA,"San Benito County, CA"
1.078597015,California,Tuolumne County,Conventional,6109,Tuolumne County,CA,"Tuolumne County, CA"
1.078836341,California,Calaveras County,Conventional,6009,Calaveras County,CA,"Calaveras County, CA"
1.094980648,California,Siskiyou County,Conventional,6093,Siskiyou County,CA,"Siskiyou County, CA"
1.075523808,California,Amador County,Conventional,6005,Amador County,CA,"Amador County, CA"
1.086905711,California,Glenn County,Conventional,6021,Glenn County,CA,"Glenn County, CA"
1.082922509,California,Colusa County,Conventional,6011,Colusa County,CA,"Colusa County, CA"
1.077809465,California,Mariposa County,Conventional,6043,Mariposa County,CA,"Mariposa County, CA"
0.617677689,Florida,Broward County,Conventional,12011,Broward County,FL,"Broward County, FL"
0.612310477,Florida,Palm Beach County,Conventional,12099,Palm Beach County,FL,"Palm Beach County, FL"
0.597388774,Florida,Hillsborough County,Conventional,12057,Hillsborough County,FL,"Hillsborough County, FL"
0.589384337,Florida,Orange County,Conventional,12095,Orange County,FL,"Orange County, FL"
0.567595459,Florida,Duval County,Conventional,12031,Duval County,FL,"Duval County, FL"
0.599622484,Florida,Pinellas County,Conventional,12103,Pinellas County,FL,"Pinellas County, FL"
0.612846641,Florida,Lee County,Conventional,12071,Lee County,FL,"Lee County, FL"
0.59718377,Florida,Polk County,Conventional,12105,Polk County,FL,"Polk County, FL"
