True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
7.26806089,Alabama,Mobile County,Conventional,1097,Mobile County,AL,"Mobile County, AL"
4.894680748,Alabama,Madison County,Conventional,1089,Madison County,AL,"Madison County, AL"
6.140522654,Alabama,Baldwin County,Conventional,1003,Baldwin County,AL,"Baldwin County, AL"
6.002784738,Alabama,Tuscaloosa County,Conventional,1125,Tuscaloosa County,AL,"Tuscaloosa County, AL"
5.284932182,Alabama,Montgomery County,Conventional,1101,Montgomery County,AL,"Montgomery County, AL"
5.378616077,Alabama,Shelby County,Conventional,1117,Shelby County,AL,"Shelby County, AL"
12.10468811,Alabama,Lee County,Conventional,1081,Lee County,AL,"Lee County, AL"
5.312655199,Alabama,Morgan County,Conventional,1103,Morgan County,AL,"Morgan County, AL"
5.525855387,Alabama,Calhoun County,Conventional,1015,Calhoun County,AL,"Calhoun County, AL"
4.91998911,Alabama,Houston County,Conventional,1069,Houston County,AL,"Houston County, AL"
6.834239876,Alabama,Etowah County,Conventional,1055,Etowah County,AL,"Etowah County, AL"
6.491983615,Alabama,Marshall County,Conventional,1095,Marshall County,AL,"Marshall County, AL"
5.214201847,Alabama,Lauderdale County,Conventional,1077,Lauderdale County,AL,"Lauderdale County, AL"
5.217518791,Alabama,Cullman County,Conventional,1043,Cullman County,AL,"Cullman County, AL"
5.445435547,Alabama,Elmore County,Conventional,1051,Elmore County,AL,"Elmore County, AL"
5.173738244,Alabama,Talladega County,Conventional,1121,Talladega County,AL,"Talladega County, AL"
6.658808245,Alabama,DeKalb County,Conventional,1049,DeKalb County,AL,"DeKalb County, AL"
6.194988141,Alabama,Walker County,Conventional,1127,Walker County,AL,"Walker County, AL"
6.326559609,Alabama,Blount County,Conventional,1009,Blount County,AL,"Blount County, AL"
5.718716048,Alabama,Russell County,Conventional,1113,Russell County,AL,"Russell County, AL"
5.478770949,Alabama,Autauga County,Conventional,1001,Autauga County,AL,"Autauga County, AL"
5.302636598,Alabama,Colbert County,Conventional,1033,Colbert County,AL,"Colbert County, AL"
5.888153981,Alabama,Coffee County,Conventional,1031,Coffee County,AL,"Coffee County, AL"
6.601087942,Alabama,Jackson County,Conventional,1071,Jackson County,AL,"Jackson County, AL"
5.753080073,Alabama,Dale County,Conventional,1045,Dale County,AL,"Dale County, AL"
5.975108902,Alabama,Chilton County,Conventional,1021,Chilton County,AL,"Chilton County, AL"
6.16948038,Alabama,Tallapoosa County,Conventional,1123,Tallapoosa County,AL,"Tallapoosa County, AL"
7.308690278,Alabama,Dallas County,Conventional,1047,Dallas County,AL,"Dallas County, AL"
5.665780494,Alabama,Covington County,Conventional,1039,Covington County,AL,"Covington County, AL"
8.578809992,Alabama,Escambia County,Conventional,1053,Escambia County,AL,"Escambia County, AL"
7.372893413,Alabama,Chambers County,Conventional,1017,Chambers County,AL,"Chambers County, AL"
5.120126643,Alabama,Lawrence County,Conventional,1079,Lawrence County,AL,"Lawrence County, AL"
4.11954554,Alabama,Pike County,Conventional,1109,Pike County,AL,"Pike County, AL"
5.448092391,Alabama,Franklin County,Conventional,1059,Franklin County,AL,"Franklin County, AL"
5.286266521,Alabama,Marion County,Conventional,1093,Marion County,AL,"Marion County, AL"
5.585968215,Alabama,Geneva County,Conventional,1061,Geneva County,AL,"Geneva County, AL"
7.220284701,Alabama,Cherokee County,Conventional,1019,Cherokee County,AL,"Cherokee County, AL"
5.483716445,Alabama,Barbour County,Conventional,1005,Barbour County,AL,"Barbour County, AL"
6.33492479,Alabama,Winston County,Conventional,1133,Winston County,AL,"Winston County, AL"
5.491731268,Alabama,Clarke County,Conventional,1025,Clarke County,AL,"Clarke County, AL"
5.855823665,Alabama,Bibb County,Conventional,1007,Bibb County,AL,"Bibb County, AL"
7.15224983,Alabama,Randolph County,Conventional,1111,Randolph County,AL,"Randolph County, AL"
5.74178591,Alabama,Monroe County,Conventional,1099,Monroe County,AL,"Monroe County, AL"
5.920083018,Alabama,Macon County,Conventional,1087,Macon County,AL,"Macon County, AL"
5.190122653,Alabama,Marengo County,Conventional,1091,Marengo County,AL,"Marengo County, AL"
5.50797739,Alabama,Butler County,Conventional,1013,Butler County,AL,"Butler County, AL"
5.487405052,Alabama,Pickens County,Conventional,1107,Pickens County,AL,"Pickens County, AL"
5.620308324,Alabama,Henry County,Conventional,1067,Henry County,AL,"Henry County, AL"
8.66954925,Alabama,Fayette County,Conventional,1057,Fayette County,AL,"Fayette County, AL"
6.06651272,Alabama,Washington County,Conventional,1129,Washington County,AL,"Washington County, AL"
6.003535666,Alabama,Cleburne County,Conventional,1029,Cleburne County,AL,"Cleburne County, AL"
5.498328784,Alabama,Hale County,Conventional,1065,Hale County,AL,"Hale County, AL"
6.16495519,Alabama,Clay County,Conventional,1027,Clay County,AL,"Clay County, AL"
5.310889041,Alabama,Lamar County,Conventional,1075,Lamar County,AL,"Lamar County, AL"
