True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
7.202969326,Alabama,Mobile County,Conventional,1097,Mobile County,AL,"Mobile County, AL"
4.842972807,Alabama,Madison County,Conventional,1089,Madison County,AL,"Madison County, AL"
6.074799082,Alabama,Baldwin County,Conventional,1003,Baldwin County,AL,"Baldwin County, AL"
5.944907616,Alabama,Tuscaloosa County,Conventional,1125,Tuscaloosa County,AL,"Tuscaloosa County, AL"
5.228587969,Alabama,Montgomery County,Conventional,1101,Montgomery County,AL,"Montgomery County, AL"
5.323814818,Alabama,Shelby County,Conventional,1117,Shelby County,AL,"Shelby County, AL"
12.05306559,Alabama,Lee County,Conventional,1081,Lee County,AL,"Lee County, AL"
5.260635087,Alabama,Morgan County,Conventional,1103,Morgan County,AL,"Morgan County, AL"
5.476129439,Alabama,Calhoun County,Conventional,1015,Calhoun County,AL,"Calhoun County, AL"
4.863545762,Alabama,Houston County,Conventional,1069,Houston County,AL,"Houston County, AL"
4.848533279,Alabama,Limestone County,Conventional,1083,Limestone County,AL,"Limestone County, AL"
6.783540391,Alabama,Etowah County,Conventional,1055,Etowah County,AL,"Etowah County, AL"
5.164301941,Alabama,Cullman County,Conventional,1043,Cullman County,AL,"Cullman County, AL"
5.389428699,Alabama,Elmore County,Conventional,1051,Elmore County,AL,"Elmore County, AL"
5.122072433,Alabama,Talladega County,Conventional,1121,Talladega County,AL,"Talladega County, AL"
6.609098068,Alabama,DeKalb County,Conventional,1049,DeKalb County,AL,"DeKalb County, AL"
6.140403045,Alabama,Walker County,Conventional,1127,Walker County,AL,"Walker County, AL"
6.274614177,Alabama,Blount County,Conventional,1009,Blount County,AL,"Blount County, AL"
5.666269438,Alabama,Russell County,Conventional,1113,Russell County,AL,"Russell County, AL"
5.421128329,Alabama,Autauga County,Conventional,1001,Autauga County,AL,"Autauga County, AL"
5.251363277,Alabama,Colbert County,Conventional,1033,Colbert County,AL,"Colbert County, AL"
6.551243769,Alabama,Jackson County,Conventional,1071,Jackson County,AL,"Jackson County, AL"
5.695689944,Alabama,Dale County,Conventional,1045,Dale County,AL,"Dale County, AL"
5.917849277,Alabama,Chilton County,Conventional,1021,Chilton County,AL,"Chilton County, AL"
6.114586553,Alabama,Tallapoosa County,Conventional,1123,Tallapoosa County,AL,"Tallapoosa County, AL"
7.24972411,Alabama,Dallas County,Conventional,1047,Dallas County,AL,"Dallas County, AL"
8.515952191,Alabama,Escambia County,Conventional,1053,Escambia County,AL,"Escambia County, AL"
7.322490589,Alabama,Chambers County,Conventional,1017,Chambers County,AL,"Chambers County, AL"
5.067065044,Alabama,Lawrence County,Conventional,1079,Lawrence County,AL,"Lawrence County, AL"
4.063057582,Alabama,Pike County,Conventional,1109,Pike County,AL,"Pike County, AL"
5.393452211,Alabama,Franklin County,Conventional,1059,Franklin County,AL,"Franklin County, AL"
5.232915754,Alabama,Marion County,Conventional,1093,Marion County,AL,"Marion County, AL"
6.282869048,Alabama,Winston County,Conventional,1133,Winston County,AL,"Winston County, AL"
5.430130615,Alabama,Clarke County,Conventional,1025,Clarke County,AL,"Clarke County, AL"
5.798248436,Alabama,Bibb County,Conventional,1007,Bibb County,AL,"Bibb County, AL"
7.101520371,Alabama,Randolph County,Conventional,1111,Randolph County,AL,"Randolph County, AL"
5.685080455,Alabama,Monroe County,Conventional,1099,Monroe County,AL,"Monroe County, AL"
5.867249083,Alabama,Macon County,Conventional,1087,Macon County,AL,"Macon County, AL"
5.12968485,Alabama,Marengo County,Conventional,1091,Marengo County,AL,"Marengo County, AL"
5.44815171,Alabama,Butler County,Conventional,1013,Butler County,AL,"Butler County, AL"
5.429731682,Alabama,Pickens County,Conventional,1107,Pickens County,AL,"Pickens County, AL"
8.61361742,Alabama,Fayette County,Conventional,1057,Fayette County,AL,"Fayette County, AL"
6.001358542,Alabama,Washington County,Conventional,1129,Washington County,AL,"Washington County, AL"
5.952408584,Alabama,Cleburne County,Conventional,1029,Cleburne County,AL,"Cleburne County, AL"
5.43915703,Alabama,Hale County,Conventional,1065,Hale County,AL,"Hale County, AL"
6.113220739,Alabama,Clay County,Conventional,1027,Clay County,AL,"Clay County, AL"
5.255372805,Alabama,Lamar County,Conventional,1075,Lamar County,AL,"Lamar County, AL"
5.269108047,Alabama,Sumter County,Conventional,1119,Sumter County,AL,"Sumter County, AL"
5.597828661,Alabama,Conecuh County,Conventional,1035,Conecuh County,AL,"Conecuh County, AL"
5.289808479,Alabama,Wilcox County,Conventional,1131,Wilcox County,AL,"Wilcox County, AL"
5.19526599,Alabama,Lowndes County,Conventional,1085,Lowndes County,AL,"Lowndes County, AL"
5.022181814,Alabama,Perry County,Conventional,1105,Perry County,AL,"Perry County, AL"
4.880567156,Alabama,Greene County,Conventional,1063,Greene County,AL,"Greene County, AL"
2.201651534,Arkansas,Pulaski County,Conventional,5119,Pulaski County,AR,"Pulaski County, AR"
2.789397868,Arkansas,Benton County,Conventional,5007,Benton County,AR,"Benton County, AR"
2.371230257,Arkansas,Sebastian County,Conventional,5131,Sebastian County,AR,"Sebastian County, AR"
2.303330871,Arkansas,Faulkner County,Conventional,5045,Faulkner County,AR,"Faulkner County, AR"
2.249504906,Arkansas,Craighead County,Conventional,5031,Craighead County,AR,"Craighead County, AR"
2.512593824,Arkansas,White County,Conventional,5145,White County,AR,"White County, AR"
2.181539483,Arkansas,Lonoke County,Conventional,5085,Lonoke County,AR,"Lonoke County, AR"
1.962702986,Arkansas,Jefferson County,Conventional,5069,Jefferson County,AR,"Jefferson County, AR"
2.475144792,Arkansas,Pope County,Conventional,5115,Pope County,AR,"Pope County, AR"
2.394177475,Arkansas,Crawford County,Conventional,5033,Crawford County,AR,"Crawford County, AR"
2.143038595,Arkansas,Crittenden County,Conventional,5035,Crittenden County,AR,"Crittenden County, AR"
2.323160398,Arkansas,Greene County,Conventional,5055,Greene County,AR,"Greene County, AR"
2.288082897,Arkansas,Miller County,Conventional,5091,Miller County,AR,"Miller County, AR"
2.117489983,Arkansas,Mississippi County,Conventional,5093,Mississippi County,AR,"Mississippi County, AR"
2.52546967,Arkansas,Independence County,Conventional,5063,Independence County,AR,"Independence County, AR"
2.545108145,Arkansas,Johnson County,Conventional,5071,Johnson County,AR,"Johnson County, AR"
2.015608348,Arkansas,Poinsett County,Conventional,5111,Poinsett County,AR,"Poinsett County, AR"
2.090459791,Arkansas,Columbia County,Conventional,5027,Columbia County,AR,"Columbia County, AR"
2.164435668,Arkansas,Clark County,Conventional,5019,Clark County,AR,"Clark County, AR"
2.366255704,Arkansas,Conway County,Conventional,5029,Conway County,AR,"Conway County, AR"
4.934616279,Arkansas,Polk County,Conventional,5113,Polk County,AR,"Polk County, AR"
2.028840799,Arkansas,Ashley County,Conventional,5003,Ashley County,AR,"Ashley County, AR"
2.531343942,Arkansas,Randolph County,Conventional,5121,Randolph County,AR,"Randolph County, AR"
1.873235529,Arkansas,Drew County,Conventional,5043,Drew County,AR,"Drew County, AR"
2.650725813,Arkansas,Franklin County,Conventional,5047,Franklin County,AR,"Franklin County, AR"
1.979116057,Arkansas,Arkansas County,Conventional,5001,Arkansas County,AR,"Arkansas County, AR"
2.024681521,Arkansas,Cross County,Conventional,5037,Cross County,AR,"Cross County, AR"
2.430390359,Arkansas,Jackson County,Conventional,5067,Jackson County,AR,"Jackson County, AR"
2.215891575,Arkansas,Phillips County,Conventional,5107,Phillips County,AR,"Phillips County, AR"
2.652518005,Arkansas,Lawrence County,Conventional,5075,Lawrence County,AR,"Lawrence County, AR"
2.315445784,Arkansas,Sevier County,Conventional,5133,Sevier County,AR,"Sevier County, AR"
2.173855719,Arkansas,Clay County,Conventional,5021,Clay County,AR,"Clay County, AR"
1.918696628,Arkansas,Lincoln County,Conventional,5079,Lincoln County,AR,"Lincoln County, AR"
2.826598765,Arkansas,Fulton County,Conventional,5049,Fulton County,AR,"Fulton County, AR"
3.25409768,Arkansas,Little River County,Conventional,5081,Little River County,AR,"Little River County, AR"
