True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.531472483,Michigan,Macomb,Conventional,26099,Macomb County,MI,"Macomb County, MI"
0.527796018,Michigan,Saginaw,Conventional,26145,Saginaw County,MI,"Saginaw County, MI"
0.527141306,Michigan,Bay,Conventional,26017,Bay County,MI,"Bay County, MI"
0.527393118,Michigan,Sanilac,Conventional,26151,Sanilac County,MI,"Sanilac County, MI"
0.531321395,Michigan,Delta,Conventional,26041,Delta County,MI,"Delta County, MI"
0.525982968,Michigan,Huron,Conventional,26063,Huron County,MI,"Huron County, MI"
0.534091334,Michigan,Oceana,Conventional,26127,Oceana County,MI,"Oceana County, MI"
0.524472092,Michigan,Mackinac,Conventional,26097,Mackinac County,MI,"Mackinac County, MI"
0.530565957,Michigan,Alger,Conventional,26003,Alger County,MI,"Alger County, MI"
0.527796018,Michigan,Schoolcraft,Conventional,26153,Schoolcraft County,MI,"Schoolcraft County, MI"
0.74456667,Oregon,Lane,Conventional,41039,Lane County,OR,"Lane County, OR"
0.758919988,Oregon,Linn,Conventional,41043,Linn County,OR,"Linn County, OR"
0.743760869,Oregon,Douglas,Conventional,41019,Douglas County,OR,"Douglas County, OR"
0.760430864,Oregon,Umatilla,Conventional,41059,Umatilla County,OR,"Umatilla County, OR"
0.685241764,Washington,Benton,Conventional,53005,Benton County,WA,"Benton County, WA"
0.684838864,Washington,Franklin,Conventional,53021,Franklin County,WA,"Franklin County, WA"
