True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.728529632,California,Fresno,Conventional,6019,Fresno County,CA,"Fresno County, CA"
0.717575376,California,Imperial,Conventional,6025,Imperial County,CA,"Imperial County, CA"
0.598574393,Colorado,Adams,Conventional,8001,Adams County,CO,"Adams County, CO"
0.598050363,Colorado,Larimer,Conventional,8069,Larimer County,CO,"Larimer County, CO"
0.598398643,Colorado,Boulder,Conventional,8013,Boulder County,CO,"Boulder County, CO"
0.593882862,Colorado,Morgan,Conventional,8087,Morgan County,CO,"Morgan County, CO"
0.59157257,Colorado,Logan,Conventional,8075,Logan County,CO,"Logan County, CO"
0.484531347,Idaho,Ada,Conventional,16001,Ada County,ID,"Ada County, ID"
0.485673944,Idaho,Canyon,Conventional,16027,Canyon County,ID,"Canyon County, ID"
0.475875235,Idaho,Bannock,Conventional,16005,Bannock County,ID,"Bannock County, ID"
0.473924531,Idaho,Bingham,Conventional,16011,Bingham County,ID,"Bingham County, ID"
0.483024096,Idaho,Elmore,Conventional,16039,Elmore County,ID,"Elmore County, ID"
0.487329693,Idaho,Payette,Conventional,16075,Payette County,ID,"Payette County, ID"
0.47773685,Idaho,Minidoka,Conventional,16067,Minidoka County,ID,"Minidoka County, ID"
0.480373811,Idaho,Gooding,Conventional,16047,Gooding County,ID,"Gooding County, ID"
0.480869562,Idaho,Washington,Conventional,16087,Washington County,ID,"Washington County, ID"
0.475901569,Idaho,Power,Conventional,16077,Power County,ID,"Power County, ID"
0.47862069,Idaho,Lincoln,Conventional,16063,Lincoln County,ID,"Lincoln County, ID"
0.475618732,Idaho,Butte,Conventional,16023,Butte County,ID,"Butte County, ID"
0.514544379,Michigan,Macomb,Conventional,26099,Macomb County,MI,"Macomb County, MI"
0.515932343,Michigan,Genesee,Conventional,26049,Genesee County,MI,"Genesee County, MI"
0.515119897,Michigan,Lapeer,Conventional,26087,Lapeer County,MI,"Lapeer County, MI"
0.518601871,Michigan,Clinton,Conventional,26037,Clinton County,MI,"Clinton County, MI"
0.516836904,Michigan,Shiawassee,Conventional,26155,Shiawassee County,MI,"Shiawassee County, MI"
0.519832952,Michigan,Ionia,Conventional,26067,Ionia County,MI,"Ionia County, MI"
0.546557915,Michigan,Delta,Conventional,26041,Delta County,MI,"Delta County, MI"
0.542314913,Michigan,Mackinac,Conventional,26097,Mackinac County,MI,"Mackinac County, MI"
0.54609385,Michigan,Alger,Conventional,26003,Alger County,MI,"Alger County, MI"
0.544932262,Michigan,Schoolcraft,Conventional,26153,Schoolcraft County,MI,"Schoolcraft County, MI"
0.786484422,Minnesota,Stearns,Conventional,27145,Stearns County,MN,"Stearns County, MN"
0.812389433,Minnesota,Clay,Conventional,27027,Clay County,MN,"Clay County, MN"
0.790742085,Minnesota,Otter Tail,Conventional,27111,Otter Tail County,MN,"Otter Tail County, MN"
0.786995922,Minnesota,Kandiyohi,Conventional,27067,Kandiyohi County,MN,"Kandiyohi County, MN"
0.786234358,Minnesota,Benton,Conventional,27009,Benton County,MN,"Benton County, MN"
0.788874278,Minnesota,Douglas,Conventional,27041,Douglas County,MN,"Douglas County, MN"
0.811025779,Minnesota,Becker,Conventional,27005,Becker County,MN,"Becker County, MN"
0.809219237,Minnesota,Polk,Conventional,27119,Polk County,MN,"Polk County, MN"
0.786470486,Minnesota,Brown,Conventional,27015,Brown County,MN,"Brown County, MN"
0.789940906,Minnesota,Lyon,Conventional,27083,Lyon County,MN,"Lyon County, MN"
0.78593478,Minnesota,Meeker,Conventional,27093,Meeker County,MN,"Meeker County, MN"
0.787680571,Minnesota,Redwood,Conventional,27127,Redwood County,MN,"Redwood County, MN"
0.796447479,Minnesota,Roseau,Conventional,27135,Roseau County,MN,"Roseau County, MN"
0.807246158,Minnesota,Pennington,Conventional,27113,Pennington County,MN,"Pennington County, MN"
0.788217046,Minnesota,Chippewa,Conventional,27023,Chippewa County,MN,"Chippewa County, MN"
0.785495231,Minnesota,Cottonwood,Conventional,27033,Cottonwood County,MN,"Cottonwood County, MN"
0.788059605,Minnesota,Pope,Conventional,27121,Pope County,MN,"Pope County, MN"
0.788766752,Minnesota,Swift,Conventional,27151,Swift County,MN,"Swift County, MN"
0.789726876,Minnesota,Stevens,Conventional,27149,Stevens County,MN,"Stevens County, MN"
0.789512269,Minnesota,Yellow Medicine,Conventional,27173,Yellow Medicine County,MN,"Yellow Medicine County, MN"
0.806119334,Minnesota,Marshall,Conventional,27089,Marshall County,MN,"Marshall County, MN"
0.7905265,Minnesota,Lac qui Parle,Conventional,27073,Lac qui Parle County,MN,"Lac qui Parle County, MN"
0.791884317,Minnesota,Wilkin,Conventional,27167,Wilkin County,MN,"Wilkin County, MN"
0.789921101,Minnesota,Grant,Conventional,27051,Grant County,MN,"Grant County, MN"
0.809378411,Minnesota,Mahnomen,Conventional,27087,Mahnomen County,MN,"Mahnomen County, MN"
0.790401575,Minnesota,Big Stone,Conventional,27011,Big Stone County,MN,"Big Stone County, MN"
0.804754829,Minnesota,Kittson,Conventional,27069,Kittson County,MN,"Kittson County, MN"
0.807637544,Minnesota,Red Lake,Conventional,27125,Red Lake County,MN,"Red Lake County, MN"
0.790612419,Minnesota,Traverse,Conventional,27155,Traverse County,MN,"Traverse County, MN"
0.606770589,Montana,Yellowstone,Conventional,30111,Yellowstone County,MT,"Yellowstone County, MT"
0.60970258,Montana,Big Horn,Conventional,30003,Big Horn County,MT,"Big Horn County, MT"
0.595446094,Montana,Richland,Conventional,30083,Richland County,MT,"Richland County, MT"
0.596284086,Montana,Roosevelt,Conventional,30085,Roosevelt County,MT,"Roosevelt County, MT"
0.609469115,Montana,Carbon,Conventional,30009,Carbon County,MT,"Carbon County, MT"
0.597838613,Montana,Dawson,Conventional,30021,Dawson County,MT,"Dawson County, MT"
0.603063463,Montana,Rosebud,Conventional,30087,Rosebud County,MT,"Rosebud County, MT"
0.610785003,Montana,Musselshell,Conventional,30065,Musselshell County,MT,"Musselshell County, MT"
0.599764699,Montana,McCone,Conventional,30055,McCone County,MT,"McCone County, MT"
0.599317974,Montana,Prairie,Conventional,30079,Prairie County,MT,"Prairie County, MT"
0.604385345,Montana,Treasure,Conventional,30103,Treasure County,MT,"Treasure County, MT"
0.651963005,Nebraska,Scotts Bluff,Conventional,31157,Scotts Bluff County,NE,"Scotts Bluff County, NE"
0.649516794,Nebraska,Box Butte,Conventional,31013,Box Butte County,NE,"Box Butte County, NE"
