True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.877049267,California,Fresno,Conventional,6019,Fresno County,CA,"Fresno County, CA"
0.854268118,California,Imperial,Conventional,6025,Imperial County,CA,"Imperial County, CA"
0.68570945,Colorado,Adams,Conventional,8001,Adams County,CO,"Adams County, CO"
0.688483126,Colorado,Larimer,Conventional,8069,Larimer County,CO,"Larimer County, CO"
0.688597321,Colorado,Boulder,Conventional,8013,Boulder County,CO,"Boulder County, CO"
0.679830503,Colorado,Morgan,Conventional,8087,Morgan County,CO,"Morgan County, CO"
0.675051988,Colorado,Logan,Conventional,8075,Logan County,CO,"Logan County, CO"
0.679335247,Colorado,Kit Carson,Conventional,8063,Kit Carson County,CO,"Kit Carson County, CO"
0.576053352,Idaho,Ada,Conventional,16001,Ada County,ID,"Ada County, ID"
0.57889298,Idaho,Canyon,Conventional,16027,Canyon County,ID,"Canyon County, ID"
0.566863947,Idaho,Twin Falls,Conventional,16083,Twin Falls County,ID,"Twin Falls County, ID"
0.551343698,Idaho,Bannock,Conventional,16005,Bannock County,ID,"Bannock County, ID"
0.555904813,Idaho,Bingham,Conventional,16011,Bingham County,ID,"Bingham County, ID"
0.57474468,Idaho,Elmore,Conventional,16039,Elmore County,ID,"Elmore County, ID"
0.581292314,Idaho,Payette,Conventional,16075,Payette County,ID,"Payette County, ID"
0.559705641,Idaho,Cassia,Conventional,16031,Cassia County,ID,"Cassia County, ID"
0.564196529,Idaho,Jerome,Conventional,16053,Jerome County,ID,"Jerome County, ID"
0.562483591,Idaho,Minidoka,Conventional,16067,Minidoka County,ID,"Minidoka County, ID"
0.58118911,Idaho,Gem,Conventional,16045,Gem County,ID,"Gem County, ID"
0.568644059,Idaho,Gooding,Conventional,16047,Gooding County,ID,"Gooding County, ID"
0.577895141,Idaho,Owyhee,Conventional,16073,Owyhee County,ID,"Owyhee County, ID"
0.58502841,Idaho,Washington,Conventional,16087,Washington County,ID,"Washington County, ID"
0.557004635,Idaho,Power,Conventional,16077,Power County,ID,"Power County, ID"
0.56691158,Idaho,Lincoln,Conventional,16063,Lincoln County,ID,"Lincoln County, ID"
0.562315046,Idaho,Butte,Conventional,16023,Butte County,ID,"Butte County, ID"
0.537789076,Michigan,Macomb,Conventional,26099,Macomb County,MI,"Macomb County, MI"
0.540729466,Michigan,Genesee,Conventional,26049,Genesee County,MI,"Genesee County, MI"
0.544431364,Michigan,Saginaw,Conventional,26145,Saginaw County,MI,"Saginaw County, MI"
0.546034991,Michigan,Bay,Conventional,26017,Bay County,MI,"Bay County, MI"
0.538742947,Michigan,Lapeer,Conventional,26087,Lapeer County,MI,"Lapeer County, MI"
0.547856017,Michigan,Midland,Conventional,26111,Midland County,MI,"Midland County, MI"
0.546499713,Michigan,Clinton,Conventional,26037,Clinton County,MI,"Clinton County, MI"
0.543060404,Michigan,Shiawassee,Conventional,26155,Shiawassee County,MI,"Shiawassee County, MI"
0.549862688,Michigan,Montcalm,Conventional,26117,Montcalm County,MI,"Montcalm County, MI"
0.54867554,Michigan,Ionia,Conventional,26067,Ionia County,MI,"Ionia County, MI"
0.549865131,Michigan,Isabella,Conventional,26073,Isabella County,MI,"Isabella County, MI"
0.54232149,Michigan,Tuscola,Conventional,26157,Tuscola County,MI,"Tuscola County, MI"
0.547028556,Michigan,Gratiot,Conventional,26057,Gratiot County,MI,"Gratiot County, MI"
0.538465702,Michigan,Sanilac,Conventional,26151,Sanilac County,MI,"Sanilac County, MI"
0.575099352,Michigan,Delta,Conventional,26041,Delta County,MI,"Delta County, MI"
0.542045466,Michigan,Huron,Conventional,26063,Huron County,MI,"Huron County, MI"
0.558997743,Michigan,Oceana,Conventional,26127,Oceana County,MI,"Oceana County, MI"
0.549758874,Michigan,Gladwin,Conventional,26051,Gladwin County,MI,"Gladwin County, MI"
0.550437331,Michigan,Ogemaw,Conventional,26129,Ogemaw County,MI,"Ogemaw County, MI"
0.548991258,Michigan,Arenac,Conventional,26011,Arenac County,MI,"Arenac County, MI"
0.565646137,Michigan,Mackinac,Conventional,26097,Mackinac County,MI,"Mackinac County, MI"
0.556214907,Michigan,Montmorency,Conventional,26119,Montmorency County,MI,"Montmorency County, MI"
0.574505778,Michigan,Alger,Conventional,26003,Alger County,MI,"Alger County, MI"
0.571608136,Michigan,Schoolcraft,Conventional,26153,Schoolcraft County,MI,"Schoolcraft County, MI"
0.851256847,Minnesota,Stearns,Conventional,27145,Stearns County,MN,"Stearns County, MN"
0.864541423,Minnesota,Clay,Conventional,27027,Clay County,MN,"Clay County, MN"
0.860772961,Minnesota,Otter Tail,Conventional,27111,Otter Tail County,MN,"Otter Tail County, MN"
0.851575008,Minnesota,Kandiyohi,Conventional,27067,Kandiyohi County,MN,"Kandiyohi County, MN"
0.849424218,Minnesota,Benton,Conventional,27009,Benton County,MN,"Benton County, MN"
0.85611536,Minnesota,Douglas,Conventional,27041,Douglas County,MN,"Douglas County, MN"
0.848100279,Minnesota,McLeod,Conventional,27085,McLeod County,MN,"McLeod County, MN"
