True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.654742228,Florida,Broward,Conventional,12011,Broward County,FL,"Broward County, FL"
0.653216887,Florida,Palm Beach,Conventional,12099,Palm Beach County,FL,"Palm Beach County, FL"
0.647764074,Florida,Brevard,Conventional,12009,Brevard County,FL,"Brevard County, FL"
0.642079706,Florida,Volusia,Conventional,12127,Volusia County,FL,"Volusia County, FL"
0.646846375,Florida,Seminole,Conventional,12117,Seminole County,FL,"Seminole County, FL"
0.647871396,Florida,Lake,Conventional,12069,Lake County,FL,"Lake County, FL"
0.646612333,Florida,Marion,Conventional,12083,Marion County,FL,"Marion County, FL"
0.651613887,Florida,Martin,Conventional,12085,Martin County,FL,"Martin County, FL"
0.654132632,Florida,Hendry,Conventional,12051,Hendry County,FL,"Hendry County, FL"
0.652598069,Florida,Glades,Conventional,12043,Glades County,FL,"Glades County, FL"
0.544021407,Texas,Cameron,Conventional,48061,Cameron County,TX,"Cameron County, TX"
0.541201106,Texas,Jefferson,Conventional,48245,Jefferson County,TX,"Jefferson County, TX"
0.53989168,Texas,Orange,Conventional,48361,Orange County,TX,"Orange County, TX"
0.54568337,Texas,Willacy,Conventional,48489,Willacy County,TX,"Willacy County, TX"
