True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.673237195,Florida,Broward,Conventional,12011,Broward County,FL,"Broward County, FL"
0.670577266,Florida,Palm Beach,Conventional,12099,Palm Beach County,FL,"Palm Beach County, FL"
0.663230064,Florida,Orange,Conventional,12095,Orange County,FL,"Orange County, FL"
0.66162018,Florida,Volusia,Conventional,12127,Volusia County,FL,"Volusia County, FL"
0.662390437,Florida,Seminole,Conventional,12117,Seminole County,FL,"Seminole County, FL"
0.660400159,Florida,Marion,Conventional,12083,Marion County,FL,"Marion County, FL"
0.669940795,Florida,Martin,Conventional,12085,Martin County,FL,"Martin County, FL"
0.667439609,Florida,Highlands,Conventional,12055,Highlands County,FL,"Highlands County, FL"
0.668634016,Florida,Okeechobee,Conventional,12093,Okeechobee County,FL,"Okeechobee County, FL"
0.657621921,Florida,Baker,Conventional,12003,Baker County,FL,"Baker County, FL"
0.658324808,Florida,Bradford,Conventional,12007,Bradford County,FL,"Bradford County, FL"
0.660783258,Florida,Taylor,Conventional,12123,Taylor County,FL,"Taylor County, FL"
0.557460744,Texas,Hidalgo,Conventional,48215,Hidalgo County,TX,"Hidalgo County, TX"
0.556063929,Texas,Cameron,Conventional,48061,Cameron County,TX,"Cameron County, TX"
0.53003999,Texas,Jefferson,Conventional,48245,Jefferson County,TX,"Jefferson County, TX"
0.529854865,Texas,Orange,Conventional,48361,Orange County,TX,"Orange County, TX"
0.545505365,Texas,Wharton,Conventional,48481,Wharton County,TX,"Wharton County, TX"
0.551589478,Texas,Jim Wells,Conventional,48249,Jim Wells County,TX,"Jim Wells County, TX"
0.554525691,Texas,Willacy,Conventional,48489,Willacy County,TX,"Willacy County, TX"
