True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
9.604849203,California,Los Angeles,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
9.625447474,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
9.625296387,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
9.622627173,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
9.623181161,California,Sonoma,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
9.624138049,California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
9.613864094,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
9.626907987,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
9.631390252,California,Butte,Conventional,6007,Butte County,CA,"Butte County, CA"
9.629275026,California,Colusa,Conventional,6011,Colusa County,CA,"Colusa County, CA"
7.531064559,Idaho,Nez Perce,Conventional,16069,Nez Perce County,ID,"Nez Perce County, ID"
2.674483934,Kansas,Leavenworth,Conventional,20103,Leavenworth County,KS,"Leavenworth County, KS"
4.623048903,Minnesota,Ramsey,Conventional,27123,Ramsey County,MN,"Ramsey County, MN"
4.502044769,Minnesota,Cook,Conventional,27031,Cook County,MN,"Cook County, MN"
2.734527993,Texas,Montgomery,Conventional,48339,Montgomery County,TX,"Montgomery County, TX"
2.736341044,Texas,Cameron,Conventional,48061,Cameron County,TX,"Cameron County, TX"
2.737600107,Texas,Nueces,Conventional,48355,Nueces County,TX,"Nueces County, TX"
2.738003007,Texas,Willacy,Conventional,48489,Willacy County,TX,"Willacy County, TX"
1.087167846,Kansas,Leavenworth,Organic,20103,Leavenworth County,KS,"Leavenworth County, KS"
1.28654225,New York,Suffolk,Organic,36103,Suffolk County,NY,"Suffolk County, NY"
1.290176034,New York,Erie,Organic,36029,Erie County,NY,"Erie County, NY"
1.286398844,New York,Monroe,Organic,36055,Monroe County,NY,"Monroe County, NY"
1.283173627,New York,Onondaga,Organic,36067,Onondaga County,NY,"Onondaga County, NY"
1.278987871,New York,Orange,Organic,36071,Orange County,NY,"Orange County, NY"
1.275462495,New York,Albany,Organic,36001,Albany County,NY,"Albany County, NY"
1.280595956,New York,Oneida,Organic,36065,Oneida County,NY,"Oneida County, NY"
1.289118421,New York,Niagara,Organic,36063,Niagara County,NY,"Niagara County, NY"
1.277376271,New York,Ulster,Organic,36111,Ulster County,NY,"Ulster County, NY"
1.27596612,New York,Rensselaer,Organic,36083,Rensselaer County,NY,"Rensselaer County, NY"
1.291888359,New York,Chautauqua,Organic,36013,Chautauqua County,NY,"Chautauqua County, NY"
1.286219568,New York,Tompkins,Organic,36109,Tompkins County,NY,"Tompkins County, NY"
1.286240075,New York,Steuben,Organic,36101,Steuben County,NY,"Steuben County, NY"
1.284887969,New York,Wayne,Organic,36117,Wayne County,NY,"Wayne County, NY"
1.281961378,New York,Clinton,Organic,36019,Clinton County,NY,"Clinton County, NY"
1.284182894,New York,Cayuga,Organic,36011,Cayuga County,NY,"Cayuga County, NY"
1.27616757,New York,Columbia,Organic,36021,Columbia County,NY,"Columbia County, NY"
1.277217412,New York,Washington,Organic,36115,Washington County,NY,"Washington County, NY"
1.279072985,New York,Herkimer,Organic,36043,Herkimer County,NY,"Herkimer County, NY"
1.271678752,New York,Otsego,Organic,36077,Otsego County,NY,"Otsego County, NY"
1.277213036,New York,Montgomery,Organic,36057,Montgomery County,NY,"Montgomery County, NY"
1.021185504,Ohio,Hamilton,Organic,39061,Hamilton County,OH,"Hamilton County, OH"
1.002249196,Ohio,Darke,Organic,39037,Darke County,OH,"Darke County, OH"
0.958038584,Ohio,Ottawa,Organic,39123,Ottawa County,OH,"Ottawa County, OH"
0.953585355,Pennsylvania,Allegheny,Organic,42003,Allegheny County,PA,"Allegheny County, PA"
0.961499953,Pennsylvania,Erie,Organic,42049,Erie County,PA,"Erie County, PA"
0.952124842,Pennsylvania,Schuylkill,Organic,42107,Schuylkill County,PA,"Schuylkill County, PA"
2.072844094,Wisconsin,Milwaukee,Organic,55079,Milwaukee County,WI,"Milwaukee County, WI"
2.073498807,Wisconsin,Racine,Organic,55101,Racine County,WI,"Racine County, WI"
2.190171763,Wisconsin,La Crosse,Organic,55063,La Crosse County,WI,"La Crosse County, WI"
2.067908567,Wisconsin,Kewaunee,Organic,55061,Kewaunee County,WI,"Kewaunee County, WI"
2.077829984,Wisconsin,Bayfield,Organic,55007,Bayfield County,WI,"Bayfield County, WI"
2.186998925,Wisconsin,Crawford,Organic,55023,Crawford County,WI,"Crawford County, WI"
