True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
9.479570288,California,Los Angeles,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
9.47707229,California,Riverside,Conventional,6065,Riverside County,CA,"Riverside County, CA"
9.490405307,California,Santa Clara,Conventional,6085,Santa Clara County,CA,"Santa Clara County, CA"
9.484735306,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
9.4863165,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
9.490725706,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
9.482840725,California,Tulare,Conventional,6107,Tulare County,CA,"Tulare County, CA"
9.485848738,California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
9.487789369,California,Merced,Conventional,6047,Merced County,CA,"Merced County, CA"
9.491442533,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
9.484886358,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
9.480608967,California,Butte,Conventional,6007,Butte County,CA,"Butte County, CA"
9.474243434,California,Imperial,Conventional,6025,Imperial County,CA,"Imperial County, CA"
9.483521795,California,Kings,Conventional,6031,Kings County,CA,"Kings County, CA"
9.482869303,California,Sutter,Conventional,6101,Sutter County,CA,"Sutter County, CA"
9.481954496,California,Yuba,Conventional,6115,Yuba County,CA,"Yuba County, CA"
9.48588098,California,Tehama,Conventional,6103,Tehama County,CA,"Tehama County, CA"
3.265985784,Colorado,Arapahoe,Conventional,8005,Arapahoe County,CO,"Arapahoe County, CO"
3.266243078,Colorado,Adams,Conventional,8001,Adams County,CO,"Adams County, CO"
3.266603923,Colorado,Douglas,Conventional,8035,Douglas County,CO,"Douglas County, CO"
3.266493842,Colorado,Weld,Conventional,8123,Weld County,CO,"Weld County, CO"
3.266067328,Colorado,Boulder,Conventional,8013,Boulder County,CO,"Boulder County, CO"
3.277233844,Colorado,Mesa,Conventional,8077,Mesa County,CO,"Mesa County, CO"
3.279652246,Colorado,Montrose,Conventional,8085,Montrose County,CO,"Montrose County, CO"
3.279453133,Colorado,Delta,Conventional,8029,Delta County,CO,"Delta County, CO"
3.261551547,Colorado,Morgan,Conventional,8087,Morgan County,CO,"Morgan County, CO"
3.264400657,Colorado,Elbert,Conventional,8039,Elbert County,CO,"Elbert County, CO"
3.259241255,Colorado,Logan,Conventional,8075,Logan County,CO,"Logan County, CO"
3.260538492,Colorado,Prowers,Conventional,8099,Prowers County,CO,"Prowers County, CO"
3.257663084,Colorado,Yuma,Conventional,8125,Yuma County,CO,"Yuma County, CO"
3.262615475,Colorado,Lincoln,Conventional,8073,Lincoln County,CO,"Lincoln County, CO"
3.267292042,Colorado,Bent,Conventional,8011,Bent County,CO,"Bent County, CO"
3.259594298,Colorado,Washington,Conventional,8121,Washington County,CO,"Washington County, CO"
3.264481901,Colorado,Baca,Conventional,8009,Baca County,CO,"Baca County, CO"
3.257332521,Colorado,Sedgwick,Conventional,8115,Sedgwick County,CO,"Sedgwick County, CO"
3.260319239,Colorado,Cheyenne,Conventional,8017,Cheyenne County,CO,"Cheyenne County, CO"
7.363388769,Idaho,Canyon,Conventional,16027,Canyon County,ID,"Canyon County, ID"
7.335868236,Idaho,Boundary,Conventional,16021,Boundary County,ID,"Boundary County, ID"
2.581631727,Kansas,Sedgwick,Conventional,20173,Sedgwick County,KS,"Sedgwick County, KS"
2.574478137,Kansas,Douglas,Conventional,20045,Douglas County,KS,"Douglas County, KS"
2.572982873,Kansas,Leavenworth,Conventional,20103,Leavenworth County,KS,"Leavenworth County, KS"
2.578208207,Kansas,Riley,Conventional,20161,Riley County,KS,"Riley County, KS"
2.582998348,Kansas,Reno,Conventional,20155,Reno County,KS,"Reno County, KS"
2.581066563,Kansas,Saline,Conventional,20169,Saline County,KS,"Saline County, KS"
2.578252318,Kansas,Crawford,Conventional,20037,Crawford County,KS,"Crawford County, KS"
2.589807367,Kansas,Finney,Conventional,20055,Finney County,KS,"Finney County, KS"
2.582125607,Kansas,Cowley,Conventional,20035,Cowley County,KS,"Cowley County, KS"
2.581781908,Kansas,Harvey,Conventional,20079,Harvey County,KS,"Harvey County, KS"
2.577678215,Kansas,Lyon,Conventional,20111,Lyon County,KS,"Lyon County, KS"
2.580104065,Kansas,Montgomery,Conventional,20125,Montgomery County,KS,"Montgomery County, KS"
2.581189096,Kansas,McPherson,Conventional,20113,McPherson County,KS,"McPherson County, KS"
2.585440279,Kansas,Ellis,Conventional,20051,Ellis County,KS,"Ellis County, KS"
2.57517323,Kansas,Franklin,Conventional,20059,Franklin County,KS,"Franklin County, KS"
2.577305801,Kansas,Pottawatomie,Conventional,20149,Pottawatomie County,KS,"Pottawatomie County, KS"
2.582656382,Kansas,Sumner,Conventional,20191,Sumner County,KS,"Sumner County, KS"
2.590160945,Kansas,Seward,Conventional,20175,Seward County,KS,"Seward County, KS"
2.579125745,Kansas,Labette,Conventional,20099,Labette County,KS,"Labette County, KS"
2.579287417,Kansas,Cherokee,Conventional,20021,Cherokee County,KS,"Cherokee County, KS"
2.580769731,Kansas,Dickinson,Conventional,20041,Dickinson County,KS,"Dickinson County, KS"
2.577071417,Kansas,Osage,Conventional,20139,Osage County,KS,"Osage County, KS"
2.57660009,Kansas,Jackson,Conventional,20085,Jackson County,KS,"Jackson County, KS"
2.580307521,Kansas,Marion,Conventional,20115,Marion County,KS,"Marion County, KS"
2.577313567,Kansas,Nemaha,Conventional,20131,Nemaha County,KS,"Nemaha County, KS"
2.575757022,Kansas,Linn,Conventional,20107,Linn County,KS,"Linn County, KS"
2.575799563,Kansas,Brown,Conventional,20013,Brown County,KS,"Brown County, KS"
2.58212036,Kansas,Cloud,Conventional,20029,Cloud County,KS,"Cloud County, KS"
2.590043504,Kansas,Thomas,Conventional,20193,Thomas County,KS,"Thomas County, KS"
2.576199227,Kansas,Anderson,Conventional,20003,Anderson County,KS,"Anderson County, KS"
2.58380011,Kansas,Russell,Conventional,20167,Russell County,KS,"Russell County, KS"
2.582469665,Kansas,Ellsworth,Conventional,20053,Ellsworth County,KS,"Ellsworth County, KS"
2.580807923,Kansas,Ottawa,Conventional,20143,Ottawa County,KS,"Ottawa County, KS"
2.588840509,Kansas,Gray,Conventional,20069,Gray County,KS,"Gray County, KS"
2.580023815,Kansas,Washington,Conventional,20201,Washington County,KS,"Washington County, KS"
2.584234019,Kansas,Harper,Conventional,20077,Harper County,KS,"Harper County, KS"
2.578766558,Kansas,Morris,Conventional,20127,Morris County,KS,"Morris County, KS"
2.583248254,Kansas,Republic,Conventional,20157,Republic County,KS,"Republic County, KS"
2.585359569,Kansas,Barber,Conventional,20007,Barber County,KS,"Barber County, KS"
2.590932571,Kansas,Kearny,Conventional,20093,Kearny County,KS,"Kearny County, KS"
2.577795005,Kansas,Woodson,Conventional,20207,Woodson County,KS,"Woodson County, KS"
2.583593638,Kansas,Jewell,Conventional,20089,Jewell County,KS,"Jewell County, KS"
2.585815401,Kansas,Edwards,Conventional,20047,Edwards County,KS,"Edwards County, KS"
2.586688432,Kansas,Trego,Conventional,20195,Trego County,KS,"Trego County, KS"
2.58829047,Kansas,Gove,Conventional,20063,Gove County,KS,"Gove County, KS"
2.590162493,Kansas,Logan,Conventional,20109,Logan County,KS,"Logan County, KS"
2.578532316,Kansas,Chase,Conventional,20017,Chase County,KS,"Chase County, KS"
2.592250924,Kansas,Hamilton,Conventional,20075,Hamilton County,KS,"Hamilton County, KS"
2.591521977,Kansas,Wallace,Conventional,20199,Wallace County,KS,"Wallace County, KS"
4.506965121,Minnesota,Ramsey,Conventional,27123,Ramsey County,MN,"Ramsey County, MN"
4.507220157,Minnesota,Washington,Conventional,27163,Washington County,MN,"Washington County, MN"
4.527498323,Minnesota,Crow Wing,Conventional,27035,Crow Wing County,MN,"Crow Wing County, MN"
4.536704746,Minnesota,Clay,Conventional,27027,Clay County,MN,"Clay County, MN"
4.515057398,Minnesota,Otter Tail,Conventional,27111,Otter Tail County,MN,"Otter Tail County, MN"
4.534851772,Minnesota,Beltrami,Conventional,27007,Beltrami County,MN,"Beltrami County, MN"
4.504826815,Minnesota,Mower,Conventional,27099,Mower County,MN,"Mower County, MN"
4.51318959,Minnesota,Douglas,Conventional,27041,Douglas County,MN,"Douglas County, MN"
4.506832701,Minnesota,Steele,Conventional,27147,Steele County,MN,"Steele County, MN"
4.52429738,Minnesota,Carlton,Conventional,27017,Carlton County,MN,"Carlton County, MN"
