True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
9.620584195,California,Los Angeles,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
9.610938008,California,Riverside,Conventional,6065,Riverside County,CA,"Riverside County, CA"
9.636659546,California,Santa Clara,Conventional,6085,Santa Clara County,CA,"Santa Clara County, CA"
9.625042718,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
9.62849424,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
9.635327669,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
9.634599747,California,Sonoma,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
9.629931153,California,Tulare,Conventional,6107,Tulare County,CA,"Tulare County, CA"
9.627572735,California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
9.63642688,California,Merced,Conventional,6047,Merced County,CA,"Merced County, CA"
9.633564657,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
9.626172462,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
9.626025901,California,Butte,Conventional,6007,Butte County,CA,"Butte County, CA"
9.619814137,California,El Dorado,Conventional,6017,El Dorado County,CA,"El Dorado County, CA"
9.610936176,California,Imperial,Conventional,6025,Imperial County,CA,"Imperial County, CA"
9.630641976,California,Kings,Conventional,6031,Kings County,CA,"Kings County, CA"
9.62404671,California,Sutter,Conventional,6101,Sutter County,CA,"Sutter County, CA"
9.621539288,California,Yuba,Conventional,6115,Yuba County,CA,"Yuba County, CA"
9.629956191,California,Tehama,Conventional,6103,Tehama County,CA,"Tehama County, CA"
9.629181247,California,Glenn,Conventional,6021,Glenn County,CA,"Glenn County, CA"
9.626559018,California,Colusa,Conventional,6011,Colusa County,CA,"Colusa County, CA"
3.35462635,Colorado,Arapahoe,Conventional,8005,Arapahoe County,CO,"Arapahoe County, CO"
3.353378135,Colorado,Adams,Conventional,8001,Adams County,CO,"Adams County, CO"
3.359283952,Colorado,Douglas,Conventional,8035,Douglas County,CO,"Douglas County, CO"
3.350134852,Colorado,Weld,Conventional,8123,Weld County,CO,"Weld County, CO"
3.356266007,Colorado,Boulder,Conventional,8013,Boulder County,CO,"Boulder County, CO"
3.378810825,Colorado,Mesa,Conventional,8077,Mesa County,CO,"Mesa County, CO"
3.385648528,Colorado,Montrose,Conventional,8085,Montrose County,CO,"Montrose County, CO"
3.379325012,Colorado,Delta,Conventional,8029,Delta County,CO,"Delta County, CO"
3.347499188,Colorado,Morgan,Conventional,8087,Morgan County,CO,"Morgan County, CO"
3.355359157,Colorado,Elbert,Conventional,8039,Elbert County,CO,"Elbert County, CO"
3.389314397,Colorado,Montezuma,Conventional,8083,Montezuma County,CO,"Montezuma County, CO"
3.342720673,Colorado,Logan,Conventional,8075,Logan County,CO,"Logan County, CO"
3.348639314,Colorado,Prowers,Conventional,8099,Prowers County,CO,"Prowers County, CO"
3.340797054,Colorado,Yuma,Conventional,8125,Yuma County,CO,"Yuma County, CO"
3.347003932,Colorado,Kit Carson,Conventional,8063,Kit Carson County,CO,"Kit Carson County, CO"
3.353850796,Colorado,Lincoln,Conventional,8073,Lincoln County,CO,"Lincoln County, CO"
3.355213817,Colorado,Bent,Conventional,8011,Bent County,CO,"Bent County, CO"
3.347699488,Colorado,Washington,Conventional,8121,Washington County,CO,"Washington County, CO"
3.340835526,Colorado,Phillips,Conventional,8095,Phillips County,CO,"Phillips County, CO"
3.350177599,Colorado,Baca,Conventional,8009,Baca County,CO,"Baca County, CO"
3.338867938,Colorado,Sedgwick,Conventional,8115,Sedgwick County,CO,"Sedgwick County, CO"
3.393870627,Colorado,Dolores,Conventional,8033,Dolores County,CO,"Dolores County, CO"
3.346569744,Colorado,Cheyenne,Conventional,8017,Cheyenne County,CO,"Cheyenne County, CO"
3.350001725,Colorado,Kiowa,Conventional,8061,Kiowa County,CO,"Kiowa County, CO"
7.456607805,Idaho,Canyon,Conventional,16027,Canyon County,ID,"Canyon County, ID"
7.466338876,Idaho,Nez Perce,Conventional,16069,Nez Perce County,ID,"Nez Perce County, ID"
7.466076287,Idaho,Idaho,Conventional,16049,Idaho County,ID,"Idaho County, ID"
7.460866637,Idaho,Boundary,Conventional,16021,Boundary County,ID,"Boundary County, ID"
7.455609966,Idaho,Owyhee,Conventional,16073,Owyhee County,ID,"Owyhee County, ID"
2.655217072,Kansas,Sedgwick,Conventional,20173,Sedgwick County,KS,"Sedgwick County, KS"
2.640151774,Kansas,Douglas,Conventional,20045,Douglas County,KS,"Douglas County, KS"
2.638543872,Kansas,Leavenworth,Conventional,20103,Leavenworth County,KS,"Leavenworth County, KS"
2.648531426,Kansas,Riley,Conventional,20161,Riley County,KS,"Riley County, KS"
2.65753946,Kansas,Reno,Conventional,20155,Reno County,KS,"Reno County, KS"
2.653505967,Kansas,Saline,Conventional,20169,Saline County,KS,"Saline County, KS"
2.643164833,Kansas,Crawford,Conventional,20037,Crawford County,KS,"Crawford County, KS"
2.671375474,Kansas,Finney,Conventional,20055,Finney County,KS,"Finney County, KS"
2.654125799,Kansas,Cowley,Conventional,20035,Cowley County,KS,"Cowley County, KS"
2.653862599,Kansas,Harvey,Conventional,20079,Harvey County,KS,"Harvey County, KS"
