True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
1.41092233,Alabama,Marshall County,Conventional,1095,Marshall County,AL,"Marshall County, AL"
1.405594205,Alabama,Colbert County,Conventional,1033,Colbert County,AL,"Colbert County, AL"
1.404079895,Alabama,Lauderdale County,Conventional,1077,Lauderdale County,AL,"Lauderdale County, AL"
1.321476479,California,Marin County,Conventional,6041,Marin County,CA,"Marin County, CA"
1.323046874,California,Sonoma County,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
1.334207896,California,Humboldt County,Conventional,6023,Humboldt County,CA,"Humboldt County, CA"
1.332188817,California,Butte County,Conventional,6007,Butte County,CA,"Butte County, CA"
1.325570723,California,Sacramento County,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
1.325402467,California,San Joaquin County,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
1.329440625,California,Stanislaus County,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
1.298593581,California,San Diego County,Conventional,6073,San Diego County,CA,"San Diego County, CA"
1.306333385,California,Ventura County,Conventional,6111,Ventura County,CA,"Ventura County, CA"
1.061204623,Delaware,Kent County,Conventional,10001,Kent County,DE,"Kent County, DE"
1.062718932,Delaware,New Castle County,Conventional,10003,New Castle County,DE,"New Castle County, DE"
1.060812024,Delaware,Sussex County,Conventional,10005,Sussex County,DE,"Sussex County, DE"
1.382007929,Florida,Clay County,Conventional,12019,Clay County,FL,"Clay County, FL"
1.396926682,Florida,Hillsborough County,Conventional,12057,Hillsborough County,FL,"Hillsborough County, FL"
1.389242964,Florida,Lake County,Conventional,12069,Lake County,FL,"Lake County, FL"
1.387840825,Florida,Marion County,Conventional,12083,Marion County,FL,"Marion County, FL"
1.388101463,Florida,Seminole County,Conventional,12117,Seminole County,FL,"Seminole County, FL"
1.382793127,Florida,Volusia County,Conventional,12127,Volusia County,FL,"Volusia County, FL"
1.378586712,Florida,Nassau County,Conventional,12089,Nassau County,FL,"Nassau County, FL"
1.409602013,Florida,Escambia County,Conventional,12033,Escambia County,FL,"Escambia County, FL"
1.409938526,Florida,Okaloosa County,Conventional,12091,Okaloosa County,FL,"Okaloosa County, FL"
1.396894573,Florida,Broward County,Conventional,12011,Broward County,FL,"Broward County, FL"
1.395892278,Florida,Lee County,Conventional,12071,Lee County,FL,"Lee County, FL"
1.393410738,Florida,Martin County,Conventional,12085,Martin County,FL,"Martin County, FL"
1.395195897,Florida,Palm Beach County,Conventional,12099,Palm Beach County,FL,"Palm Beach County, FL"
1.524291958,Idaho,Nez Perce County,Conventional,16069,Nez Perce County,ID,"Nez Perce County, ID"
1.341684849,Illinois,Tazewell County,Conventional,17179,Tazewell County,IL,"Tazewell County, IL"
1.328336492,Illinois,Cook County,Conventional,17031,Cook County,IL,"Cook County, IL"
1.344601297,Illinois,Will County,Conventional,17197,Will County,IL,"Will County, IL"
1.42069043,Illinois,Jackson County,Conventional,17077,Jackson County,IL,"Jackson County, IL"
1.434431386,Illinois,Adams County,Conventional,17001,Adams County,IL,"Adams County, IL"
1.426859839,Illinois,Madison County,Conventional,17119,Madison County,IL,"Madison County, IL"
1.335908039,Illinois,Pike County,Conventional,17149,Pike County,IL,"Pike County, IL"
1.101433566,Indiana,Lake County,Conventional,18089,Lake County,IN,"Lake County, IN"
1.142544264,Indiana,Perry County,Conventional,18123,Perry County,IN,"Perry County, IN"
1.361883154,Iowa,Clinton County,Conventional,19045,Clinton County,IA,"Clinton County, IA"
1.365304372,Iowa,Dubuque County,Conventional,19061,Dubuque County,IA,"Dubuque County, IA"
1.353189896,Iowa,Lee County,Conventional,19111,Lee County,IA,"Lee County, IA"
1.377474933,Iowa,Pottawattamie County,Conventional,19155,Pottawattamie County,IA,"Pottawattamie County, IA"
1.37916154,Kansas,Leavenworth County,Conventional,20103,Leavenworth County,KS,"Leavenworth County, KS"
1.69737753,Kentucky,Laurel County,Conventional,21125,Laurel County,KY,"Laurel County, KY"
1.666418315,Kentucky,Daviess County,Conventional,21059,Daviess County,KY,"Daviess County, KY"
1.010097801,Maine,Penobscot County,Conventional,23019,Penobscot County,ME,"Penobscot County, ME"
1.008639577,Maine,Waldo County,Conventional,23027,Waldo County,ME,"Waldo County, ME"
1.015313756,Maine,Aroostook County,Conventional,23003,Aroostook County,ME,"Aroostook County, ME"
1.005274445,Maine,Cumberland County,Conventional,23005,Cumberland County,ME,"Cumberland County, ME"
1.00785438,Maine,Kennebec County,Conventional,23011,Kennebec County,ME,"Kennebec County, ME"
