True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
1.500763168,California,Trinity County,Conventional,6105,Trinity County,CA,"Trinity County, CA"
1.457329343,California,Imperial County,Conventional,6025,Imperial County,CA,"Imperial County, CA"
1.457332442,California,Riverside County,Conventional,6065,Riverside County,CA,"Riverside County, CA"
1.454192025,California,San Bernardino County,Conventional,6071,San Bernardino County,CA,"San Bernardino County, CA"
1.473191547,California,San Diego County,Conventional,6073,San Diego County,CA,"San Diego County, CA"
1.481046722,California,Ventura County,Conventional,6111,Ventura County,CA,"Ventura County, CA"
1.462500923,Colorado,Arapahoe County,Conventional,8005,Arapahoe County,CO,"Arapahoe County, CO"
1.470379857,Colorado,Douglas County,Conventional,8035,Douglas County,CO,"Douglas County, CO"
1.466523549,Colorado,El Paso County,Conventional,8041,El Paso County,CO,"El Paso County, CO"
1.463740561,Colorado,Elbert County,Conventional,8039,Elbert County,CO,"Elbert County, CO"
1.465274613,Colorado,Boulder County,Conventional,8013,Boulder County,CO,"Boulder County, CO"
1.465081436,Colorado,Larimer County,Conventional,8069,Larimer County,CO,"Larimer County, CO"
1.442360933,Colorado,Logan County,Conventional,8075,Logan County,CO,"Logan County, CO"
1.450444408,Colorado,Morgan County,Conventional,8087,Morgan County,CO,"Morgan County, CO"
1.454902973,Colorado,Weld County,Conventional,8123,Weld County,CO,"Weld County, CO"
1.476487142,Colorado,Jackson County,Conventional,8057,Jackson County,CO,"Jackson County, CO"
1.502559833,Colorado,Rio Blanco County,Conventional,8103,Rio Blanco County,CO,"Rio Blanco County, CO"
1.486536476,Colorado,Routt County,Conventional,8107,Routt County,CO,"Routt County, CO"
1.493940215,Colorado,Conejos County,Conventional,8021,Conejos County,CO,"Conejos County, CO"
1.495185019,Colorado,Rio Grande County,Conventional,8105,Rio Grande County,CO,"Rio Grande County, CO"
1.49473565,Colorado,Saguache County,Conventional,8109,Saguache County,CO,"Saguache County, CO"
1.480889923,Colorado,Custer County,Conventional,8027,Custer County,CO,"Custer County, CO"
1.4814271,Colorado,Fremont County,Conventional,8043,Fremont County,CO,"Fremont County, CO"
1.477528438,Colorado,Las Animas County,Conventional,8071,Las Animas County,CO,"Las Animas County, CO"
1.467598935,Colorado,Otero County,Conventional,8089,Otero County,CO,"Otero County, CO"
1.5048449,Colorado,Archuleta County,Conventional,8007,Archuleta County,CO,"Archuleta County, CO"
1.504281898,Colorado,Delta County,Conventional,8029,Delta County,CO,"Delta County, CO"
1.495680874,Colorado,Garfield County,Conventional,8045,Garfield County,CO,"Garfield County, CO"
1.513814716,Colorado,La Plata County,Conventional,8067,La Plata County,CO,"La Plata County, CO"
1.503412085,Colorado,Mesa County,Conventional,8077,Mesa County,CO,"Mesa County, CO"
1.521180233,Colorado,Montezuma County,Conventional,8083,Montezuma County,CO,"Montezuma County, CO"
1.5239219,Colorado,San Miguel County,Conventional,8113,San Miguel County,CO,"San Miguel County, CO"
1.095727521,Delaware,Kent County,Conventional,10001,Kent County,DE,"Kent County, DE"
1.088947733,Delaware,New Castle County,Conventional,10003,New Castle County,DE,"New Castle County, DE"
1.100675744,Delaware,Sussex County,Conventional,10005,Sussex County,DE,"Sussex County, DE"
1.522711947,Florida,Alachua County,Conventional,12001,Alachua County,FL,"Alachua County, FL"
1.517565382,Florida,Clay County,Conventional,12019,Clay County,FL,"Clay County, FL"
1.52669945,Florida,Gilchrist County,Conventional,12041,Gilchrist County,FL,"Gilchrist County, FL"
1.53830453,Florida,Hernando County,Conventional,12053,Hernando County,FL,"Hernando County, FL"
1.54417525,Florida,Hillsborough County,Conventional,12057,Hillsborough County,FL,"Hillsborough County, FL"
1.535547368,Florida,Lake County,Conventional,12069,Lake County,FL,"Lake County, FL"
1.528452505,Florida,Levy County,Conventional,12075,Levy County,FL,"Levy County, FL"
1.527792398,Florida,Marion County,Conventional,12083,Marion County,FL,"Marion County, FL"
1.535261218,Florida,Orange County,Conventional,12095,Orange County,FL,"Orange County, FL"
1.541735229,Florida,Osceola County,Conventional,12097,Osceola County,FL,"Osceola County, FL"
1.53961958,Florida,Pasco County,Conventional,12101,Pasco County,FL,"Pasco County, FL"
1.54394695,Florida,Polk County,Conventional,12105,Polk County,FL,"Polk County, FL"
1.533544319,Florida,Seminole County,Conventional,12117,Seminole County,FL,"Seminole County, FL"
1.519689296,Florida,Union County,Conventional,12125,Union County,FL,"Union County, FL"
1.529482438,Florida,Volusia County,Conventional,12127,Volusia County,FL,"Volusia County, FL"
1.520897943,Florida,Columbia County,Conventional,12023,Columbia County,FL,"Columbia County, FL"
1.528856421,Florida,Lafayette County,Conventional,12067,Lafayette County,FL,"Lafayette County, FL"
1.509341415,Florida,Nassau County,Conventional,12089,Nassau County,FL,"Nassau County, FL"
1.525633361,Florida,Suwannee County,Conventional,12121,Suwannee County,FL,"Suwannee County, FL"
1.544352932,Florida,Escambia County,Conventional,12033,Escambia County,FL,"Escambia County, FL"
1.531553667,Florida,Gadsden County,Conventional,12039,Gadsden County,FL,"Gadsden County, FL"
1.534621772,Florida,Holmes County,Conventional,12059,Holmes County,FL,"Holmes County, FL"
1.544269256,Florida,Okaloosa County,Conventional,12091,Okaloosa County,FL,"Okaloosa County, FL"
1.542880862,Florida,Santa Rosa County,Conventional,12113,Santa Rosa County,FL,"Santa Rosa County, FL"
1.540061717,Florida,Walton County,Conventional,12131,Walton County,FL,"Walton County, FL"
1.566769724,Florida,Broward County,Conventional,12011,Broward County,FL,"Broward County, FL"
1.557775115,Florida,Charlotte County,Conventional,12015,Charlotte County,FL,"Charlotte County, FL"
1.54962656,Florida,Hardee County,Conventional,12049,Hardee County,FL,"Hardee County, FL"
1.561389694,Florida,Lee County,Conventional,12071,Lee County,FL,"Lee County, FL"
1.553513859,Florida,Martin County,Conventional,12085,Martin County,FL,"Martin County, FL"
1.551127555,Florida,Okeechobee County,Conventional,12093,Okeechobee County,FL,"Okeechobee County, FL"
1.560792601,Florida,Palm Beach County,Conventional,12099,Palm Beach County,FL,"Palm Beach County, FL"
1.322849857,Georgia,Jasper County,Conventional,13159,Jasper County,GA,"Jasper County, GA"
1.322706266,Georgia,Montgomery County,Conventional,13209,Montgomery County,GA,"Montgomery County, GA"
1.315377938,Georgia,Morgan County,Conventional,13211,Morgan County,GA,"Morgan County, GA"
1.319399531,Georgia,Putnam County,Conventional,13237,Putnam County,GA,"Putnam County, GA"
1.321085439,Georgia,Wilkinson County,Conventional,13319,Wilkinson County,GA,"Wilkinson County, GA"
1.319293129,Georgia,Bulloch County,Conventional,13031,Bulloch County,GA,"Bulloch County, GA"
1.310069187,Georgia,Burke County,Conventional,13033,Burke County,GA,"Burke County, GA"
1.313791201,Georgia,Effingham County,Conventional,13103,Effingham County,GA,"Effingham County, GA"
1.312798457,Georgia,Glascock County,Conventional,13125,Glascock County,GA,"Glascock County, GA"
1.315420292,Georgia,Dawson County,Conventional,13085,Dawson County,GA,"Dawson County, GA"
1.305808963,Georgia,Fannin County,Conventional,13111,Fannin County,GA,"Fannin County, GA"
1.314426515,Georgia,Forsyth County,Conventional,13117,Forsyth County,GA,"Forsyth County, GA"
1.311155936,Georgia,Hall County,Conventional,13139,Hall County,GA,"Hall County, GA"
1.30856096,Georgia,Jackson County,Conventional,13157,Jackson County,GA,"Jackson County, GA"
1.313490588,Georgia,Pickens County,Conventional,13227,Pickens County,GA,"Pickens County, GA"
1.30655068,Georgia,White County,Conventional,13311,White County,GA,"White County, GA"
1.306517623,Georgia,Banks County,Conventional,13011,Banks County,GA,"Banks County, GA"
1.304881301,Georgia,Elbert County,Conventional,13105,Elbert County,GA,"Elbert County, GA"
1.303555921,Georgia,Franklin County,Conventional,13119,Franklin County,GA,"Franklin County, GA"
1.30473461,Georgia,Habersham County,Conventional,13137,Habersham County,GA,"Habersham County, GA"
1.304538334,Georgia,Stephens County,Conventional,13257,Stephens County,GA,"Stephens County, GA"
1.316219859,Georgia,Bartow County,Conventional,13015,Bartow County,GA,"Bartow County, GA"
1.307040337,Georgia,Catoosa County,Conventional,13047,Catoosa County,GA,"Catoosa County, GA"
1.316747738,Georgia,Floyd County,Conventional,13115,Floyd County,GA,"Floyd County, GA"
1.312956511,Georgia,Gordon County,Conventional,13129,Gordon County,GA,"Gordon County, GA"
1.320265212,Georgia,Polk County,Conventional,13233,Polk County,GA,"Polk County, GA"
1.309980346,Georgia,Walker County,Conventional,13295,Walker County,GA,"Walker County, GA"
1.306749022,Georgia,Whitfield County,Conventional,13313,Whitfield County,GA,"Whitfield County, GA"
1.337397012,Georgia,Berrien County,Conventional,13019,Berrien County,GA,"Berrien County, GA"
1.346627152,Georgia,Brooks County,Conventional,13027,Brooks County,GA,"Brooks County, GA"
1.334216307,Georgia,Irwin County,Conventional,13155,Irwin County,GA,"Irwin County, GA"
1.341514678,Georgia,Tift County,Conventional,13277,Tift County,GA,"Tift County, GA"
1.331169896,Georgia,Wilcox County,Conventional,13315,Wilcox County,GA,"Wilcox County, GA"
1.327152435,Georgia,Appling County,Conventional,13001,Appling County,GA,"Appling County, GA"
1.328934415,Georgia,Brantley County,Conventional,13025,Brantley County,GA,"Brantley County, GA"
1.328542896,Georgia,Camden County,Conventional,13039,Camden County,GA,"Camden County, GA"
1.317968782,Georgia,Liberty County,Conventional,13179,Liberty County,GA,"Liberty County, GA"
1.328218524,Georgia,Pierce County,Conventional,13229,Pierce County,GA,"Pierce County, GA"
1.349209732,Georgia,Thomas County,Conventional,13275,Thomas County,GA,"Thomas County, GA"
1.321670135,Georgia,Douglas County,Conventional,13097,Douglas County,GA,"Douglas County, GA"
1.322962458,Georgia,Haralson County,Conventional,13143,Haralson County,GA,"Haralson County, GA"
1.333053113,Georgia,Harris County,Conventional,13145,Harris County,GA,"Harris County, GA"
1.327463378,Georgia,Heard County,Conventional,13149,Heard County,GA,"Heard County, GA"
1.321741414,Georgia,Henry County,Conventional,13151,Henry County,GA,"Henry County, GA"
1.326547079,Georgia,Lamar County,Conventional,13171,Lamar County,GA,"Lamar County, GA"
1.327712338,Georgia,Meriwether County,Conventional,13199,Meriwether County,GA,"Meriwether County, GA"
1.333499383,Georgia,Taylor County,Conventional,13269,Taylor County,GA,"Taylor County, GA"
1.531795017,Idaho,Bannock County,Conventional,16005,Bannock County,ID,"Bannock County, ID"
1.522010139,Idaho,Bear Lake County,Conventional,16007,Bear Lake County,ID,"Bear Lake County, ID"
1.539510732,Idaho,Bingham County,Conventional,16011,Bingham County,ID,"Bingham County, ID"
1.533403448,Idaho,Bonneville County,Conventional,16019,Bonneville County,ID,"Bonneville County, ID"
1.527307526,Idaho,Caribou County,Conventional,16029,Caribou County,ID,"Caribou County, ID"
1.565003893,Idaho,Custer County,Conventional,16037,Custer County,ID,"Custer County, ID"
1.527309592,Idaho,Franklin County,Conventional,16041,Franklin County,ID,"Franklin County, ID"
1.541362958,Idaho,Jefferson County,Conventional,16051,Jefferson County,ID,"Jefferson County, ID"
1.566201177,Idaho,Lemhi County,Conventional,16059,Lemhi County,ID,"Lemhi County, ID"
1.529963451,Idaho,Teton County,Conventional,16081,Teton County,ID,"Teton County, ID"
1.590408213,Idaho,Bonner County,Conventional,16017,Bonner County,ID,"Bonner County, ID"
1.585602549,Idaho,Boundary County,Conventional,16021,Boundary County,ID,"Boundary County, ID"
1.594415344,Idaho,Idaho County,Conventional,16049,Idaho County,ID,"Idaho County, ID"
1.586712025,Idaho,Kootenai County,Conventional,16055,Kootenai County,ID,"Kootenai County, ID"
1.597507208,Idaho,Latah County,Conventional,16057,Latah County,ID,"Latah County, ID"
1.594859548,Idaho,Nez Perce County,Conventional,16069,Nez Perce County,ID,"Nez Perce County, ID"
1.580888824,Idaho,Shoshone County,Conventional,16079,Shoshone County,ID,"Shoshone County, ID"
1.545940323,Idaho,Cassia County,Conventional,16031,Cassia County,ID,"Cassia County, ID"
1.56106081,Idaho,Gooding County,Conventional,16047,Gooding County,ID,"Gooding County, ID"
1.553537239,Idaho,Jerome County,Conventional,16053,Jerome County,ID,"Jerome County, ID"
1.558130099,Idaho,Lincoln County,Conventional,16063,Lincoln County,ID,"Lincoln County, ID"
1.550639585,Idaho,Minidoka County,Conventional,16067,Minidoka County,ID,"Minidoka County, ID"
1.558049522,Idaho,Twin Falls County,Conventional,16083,Twin Falls County,ID,"Twin Falls County, ID"
1.573594586,Idaho,Ada County,Conventional,16001,Ada County,ID,"Ada County, ID"
1.578398184,Idaho,Canyon County,Conventional,16027,Canyon County,ID,"Canyon County, ID"
